Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,50.0,"28,35,000",0.05,0.10,"10,80,000",-,0.10,60.62,19,-2,206,
-,-,-,-,-,-,-,-,-,-,-,51.0,"2,43,000",0.05,0.15,"94,500",-,0.20,-,-,-,2,
,4,4,4,-,13.15,-5.00,"94,500",13.10,13.80,"94,500",52.0,"6,88,500",0.05,0.15,"3,10,500",-0.10,0.10,53.11,25,15,16,
,-,-,-,-,-,-,"67,500",12.15,12.65,"94,500",53.0,"3,91,500",0.10,0.20,"2,02,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"67,500",11.15,11.60,"94,500",54.0,"8,50,500",0.10,0.15,"67,500",-0.05,0.15,49.52,40,-9,138,
,11,1,1,44.66,10.65,2.60,"27,000",10.30,10.60,"13,500",55.0,"8,77,500",0.15,0.20,"7,83,000",-0.15,0.15,45.68,432,38,269,
,-,-,-,-,-,-,"67,500",9.25,9.75,"40,500",56.0,"1,62,000",0.20,0.25,"1,89,000",-0.15,0.20,44.63,67,-4,140,
,-,-,-,-,-,-,"67,500",8.30,8.80,"40,500",57.0,"13,500",0.25,0.30,"40,500",-0.15,0.25,42.94,42,-4,101,
,34,-3,21,23.37,7.55,1.75,"13,500",7.50,7.80,"13,500",58.0,"1,89,000",0.30,0.40,"1,48,500",-0.20,0.35,42.60,74,9,130,
,15,9,19,38.60,6.90,1.85,"13,500",6.65,6.95,"40,500",59.0,"1,35,000",0.45,0.50,"54,000",-0.20,0.45,41.35,91,14,129,
,158,18,183,39.58,6.10,-0.20,"27,000",5.80,6.05,"13,500",60.0,"94,500",0.60,0.65,"54,000",-0.30,0.60,40.71,747,59,923,
,69,1,71,35.76,5.15,-0.25,"13,500",5.05,5.20,"13,500",61.0,"81,000",0.75,0.80,"27,000",-0.30,0.80,40.32,319,19,189,
,109,9,54,35.86,4.40,-0.20,"13,500",4.30,4.45,"13,500",62.0,"67,500",1.00,1.05,"67,500",-0.40,0.95,38.00,578,18,242,
,128,-5,325,35.73,3.70,-0.30,"13,500",3.60,3.75,"27,000",63.0,"81,000",1.30,1.35,"54,000",-0.35,1.30,38.65,830,-7,342,
