Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,250.0,"2,61,000",0.10,0.15,"27,000",0.05,0.10,41.91,34,-,322,
,-,-,-,-,-,-,"10,500",53.35,56.20,"10,500",260.0,"10,500",0.15,0.30,"6,000",-,0.20,39.27,32,-,411,
,5,-,-,-,42.10,-,"6,000",44.00,46.30,"6,000",270.0,"10,500",0.40,0.45,"12,000",0.05,0.40,36.69,208,-24,569,
,11,11,13,-,39.60,-25.00,"1,500",39.70,41.90,"4,500",275.0,"10,500",0.55,0.65,"9,000",0.05,0.60,35.88,421,40,224,
,43,3,5,-,34.20,-6.80,"1,500",35.00,36.75,"1,500",280.0,"13,500",0.75,0.85,"9,000",0.10,0.85,34.71,560,-88,529,
,36,7,17,26.68,30.60,-8.00,"10,500",29.70,32.20,"4,500",285.0,"7,500",1.05,1.15,"4,500",0.15,1.10,32.78,450,-23,264,
,60,5,25,22.06,25.55,-5.45,"10,500",25.45,27.20,"4,500",290.0,"7,500",1.45,1.55,"6,000",0.25,1.55,31.59,728,-22,399,
,103,11,39,27.62,21.85,-6.45,"1,500",21.40,22.40,"3,000",295.0,"6,000",2.00,2.10,"6,000",0.40,2.10,30.05,916,-35,365,
,334,-21,263,26.83,17.70,-4.65,"10,500",16.85,17.80,"1,500",300.0,"3,000",2.85,2.90,"6,000",0.50,2.85,28.52,"1,856",-213,"1,261",
,177,-6,237,25.96,13.85,-4.25,"1,500",12.95,14.65,"10,500",305.0,"10,500",3.95,4.10,"6,000",0.85,4.00,27.51,"2,465",-61,428,
,"1,536",-21,"1,052",24.93,10.35,-3.90,"1,500",10.25,10.45,"1,500",310.0,"4,500",5.55,5.60,"7,500",1.25,5.55,26.60,"3,434",111,945,
,"1,086",643,"3,042",24.67,7.55,-3.35,"1,500",7.50,7.60,"9,000",315.0,"1,500",7.55,8.05,"3,000",1.70,7.60,25.86,"1,812",-31,642,
,"2,558",562,"5,679",24.32,5.25,-2.70,"15,000",5.20,5.30,"6,000",320.0,"4,500",10.20,10.40,"1,500",2.35,10.25,25.46,"3,187",-146,801,
,"2,608",614,"4,339",24.08,3.50,-2.00,"3,000",3.50,3.55,"4,500",325.0,"1,500",12.75,14.25,"1,500",3.45,13.80,26.55,521,-33,387,
,"6,211",-99,"4,752",24.20,2.30,-1.30,"3,000",2.25,2.35,"12,000",330.0,"3,000",16.65,17.60,"1,500",3.80,17.30,25.91,344,-46,382,
,"1,261",-37,"1,908",25.09,1.60,-0.85,"15,000",1.50,1.60,"39,000",335.0,"1,500",21.25,22.65,"4,500",4.30,21.50,26.77,52,-9,224,
,"7,069",59,"3,492",24.84,0.95,-0.65,"28,500",0.95,1.05,"63,000",340.0,"1,500",25.65,26.55,"1,500",5.25,26.25,29.55,67,-18,591,
,669,-112,"1,073",26.17,0.70,-0.45,"9,000",0.70,0.75,"12,000",345.0,"4,500",29.30,31.70,"9,000",-,26.10,-,-,-,94,
,"4,348",341,"3,387",28.28,0.60,-0.25,"99,000",0.55,0.60,"58,500",350.0,"1,500",34.90,36.05,"1,500",5.30,35.85,34.56,13,-3,263,
,631,-7,235,28.75,0.40,-0.20,"1,500",0.40,0.45,"13,500",355.0,"6,000",39.30,41.35,"4,500",3.25,39.40,-,1,-,68,
,"1,212",-88,"1,086",29.84,0.30,-0.20,"1,17,000",0.30,0.35,"2,35,500",360.0,"6,000",44.05,45.80,"1,500",6.65,46.70,47.26,23,-5,131,
,303,-2,20,32.35,0.30,-0.10,"1,500",0.30,0.35,"15,000",365.0,"10,500",48.95,51.55,"4,500",-,43.20,-,-,-,3,
,"1,278",133,524,33.78,0.25,-0.05,"3,43,500",0.20,0.25,"3,85,500",370.0,"6,000",53.85,56.20,"6,000",-,42.00,-,-,-,28,
,238,-,-,-,0.30,-,"7,500",0.20,0.25,"60,000",375.0,"10,500",58.80,61.05,"6,000",-,55.50,-,-,-,5,
,617,68,167,37.11,0.20,-0.05,"4,81,500",0.15,0.20,"2,59,500",380.0,"4,500",63.70,66.25,"10,500",-,48.15,-,-,-,116,
,"2,536",-1,114,37.74,0.10,-0.10,"2,10,000",0.10,0.15,"2,40,000",390.0,"7,500",73.65,75.70,"1,500",-,69.00,-,-,-,"2,515",
,"1,716",4,24,41.58,0.10,-0.05,"8,61,000",0.10,0.15,"1,27,500",400.0,-,-,-,-,-,-,-,-,-,-,-
