Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,140.0,"5,900",0.3,0.45,"5,900",-,0.45,56.43,10,-6,112,
,-,-,-,-,-,-,"20,650",27.80,30.20,"11,800",145.0,"2,950",0.1,1.5,"2,950",-,-,-,-,-,-,
,15,-20,21,-,24.25,-1.75,"2,950",23.60,25.05,"11,800",150.0,"5,900",0.95,1.1,"5,900",-0.10,0.95,50.19,33,20,186,
,5,-,-,-,24.50,-,"20,650",20.70,23.55,"11,800",152.5,"8,850",0.3,2.3,"8,850",-,1.10,-,-,-,18,
,11,-,-,-,29.95,-,"35,400",19.30,20.75,"8,850",155.0,"5,900",1.6,1.75,"8,850",0.05,1.65,50.04,67,17,117,
,6,-,-,-,12.25,-,"44,250",17.05,18.75,"8,850",157.5,"2,950",2.0,2.2,"2,950",0.20,2.10,49.77,13,8,15,
,67,-4,6,45.56,16.75,-8.80,"2,950",15.45,16.60,"8,850",160.0,"5,900",2.65,2.7,"2,950",0.20,2.65,49.60,96,12,300,
,12,-,-,-,12.75,-,"29,500",13.50,14.80,"8,850",162.5,"2,950",3.15,3.4,"2,950",-0.10,3.00,47.16,3,-1,43,
,34,-,-,-,20.70,-,"8,850",11.80,13.10,"17,700",165.0,"2,950",4.0,4.1,"2,950",0.20,3.95,48.52,122,-25,155,
,36,-,-,-,13.90,-,"8,850",10.15,11.35,"2,950",167.5,"2,950",4.8,5.0,"2,950",0.75,4.90,48.93,26,10,56,
,311,2,20,40.43,9.20,-0.45,"8,850",8.70,9.90,"2,950",170.0,"2,950",5.9,6.5,"5,900",0.55,5.95,49.17,300,20,341,
,33,-1,10,40.71,7.85,-3.35,"1,47,500",4.60,9.05,"8,850",172.5,"64,900",5.95,7.9,"44,250",0.60,7.00,48.65,45,3,42,
,298,68,291,41.00,6.65,-0.35,"2,950",6.65,6.85,"2,950",175.0,"2,950",7.6,8.85,"2,950",0.65,8.20,48.31,251,30,250,
,54,-5,18,40.72,5.50,-0.45,"2,950",5.25,6.45,"53,100",177.5,"2,950",9.0,10.45,"2,950",0.55,9.80,49.65,17,-,54,
,656,22,458,41.73,4.70,-0.30,"8,850",4.65,4.75,"5,900",180.0,"8,850",10.55,11.7,"2,950",0.80,11.40,50.32,25,-11,201,
,167,-11,92,41.98,3.90,-0.35,"2,950",3.90,4.10,"5,900",182.5,"2,950",12.4,13.6,"5,900",1.05,13.50,53.46,22,-5,103,
,357,-33,302,42.47,3.25,-0.30,"5,900",3.25,3.35,"5,900",185.0,"11,800",14.0,15.4,"2,950",0.80,15.05,52.60,4,1,32,
,33,-5,14,40.72,2.40,-0.75,"2,950",2.55,2.90,"2,950",187.5,"11,800",15.95,17.45,"20,650",-,-,-,-,-,-,
,295,2,184,43.55,2.25,-0.20,"5,900",2.15,2.30,"5,900",190.0,"8,850",18.0,19.35,"2,950",-,14.40,-,-,-,30,
,41,7,10,44.38,1.90,-0.35,"2,950",1.80,1.95,"2,950",192.5,"8,850",20.05,21.6,"14,750",-,-,-,-,-,-,
,113,-,-,-,1.75,-,"2,950",0.60,1.65,"2,950",195.0,"5,900",21.6,23.65,"20,650",0.05,22.20,48.63,2,-,10,
,88,34,40,45.37,1.30,-0.80,"2,950",1.25,1.35,"5,900",197.5,"8,850",24.55,25.95,"14,750",-,-,-,-,-,-,
,595,8,187,45.57,1.05,-0.15,"11,800",1.00,1.10,"8,850",200.0,"8,850",26.8,28.2,"20,650",1.70,27.70,60.20,4,-1,32,
,29,-,-,-,1.05,-,"5,900",0.20,1.30,"5,900",202.5,"11,800",28.75,30.8,"20,650",-,-,-,-,-,-,
,47,15,23,47.12,0.75,-0.20,"2,950",0.70,0.80,"5,900",205.0,"8,850",31.15,32.9,"14,750",-,-,-,-,-,-,
