Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,400.00","1,050",0.70,1.45,"1,050",-0.70,1.30,51.32,11,-,13,
-,-,-,-,-,-,-,-,-,-,-,"1,440.00",350,1.15,8.00,350,-,4.00,-,-,-,53,
,-,-,-,-,-,-,"2,450",311.25,326.00,"1,050","1,480.00",700,1.00,3.30,350,1.80,2.80,47.31,628,-5,16,
,3,-,-,-,330.00,-,"1,050",291.80,311.00,"1,050","1,500.00",350,3.35,4.00,"1,050",0.90,3.50,46.63,730,34,215,
,-,-,-,-,-,-,"1,050",271.10,293.50,"1,400","1,520.00","1,400",2.00,9.25,"10,500",-,10.15,-,-,-,24,
-,-,-,-,-,-,-,-,-,-,-,"1,540.00","2,450",3.00,15.30,"1,400",-,5.60,-,-,-,17,
,-,-,-,-,-,-,"1,050",231.75,256.55,"1,050","1,560.00",350,2.15,9.00,350,-,4.95,-,-,-,22,
,-,-,-,-,-,-,"1,050",211.90,242.45,"1,050","1,580.00",350,2.20,14.85,"1,050",-,12.75,-,-,-,49,
,57,-,-,-,187.55,-,"2,450",197.75,215.25,"1,050","1,600.00","10,500",7.70,10.45,350,0.60,9.00,41.93,105,-1,182,
,11,-,-,-,98.80,-0.05,"1,050",180.20,197.70,"2,450","1,620.00","10,500",9.65,14.70,350,0.60,11.10,41.32,89,-4,45,
,62,-,-,-,200.60,-,"2,450",162.90,179.80,700,"1,640.00","10,500",11.30,17.40,"7,000",-0.25,13.55,40.65,153,10,121,
,19,-,-,-,179.80,-,"2,450",144.40,164.55,"2,100","1,660.00","10,500",14.80,21.45,"7,000",2.70,18.45,41.77,68,4,153,
,56,-,4,28.03,137.45,-18.50,700,130.30,148.70,"1,400","1,680.00","10,500",17.85,25.55,350,1.85,20.90,40.14,121,3,171,
,277,-,-,-,138.40,-,"1,400",114.55,136.25,"3,500","1,700.00","10,500",21.50,30.95,350,0.65,24.00,38.70,126,3,312,
,62,-6,53,29.70,107.15,-16.30,"1,750",100.35,119.85,"1,750","1,720.00",350,26.25,35.00,350,3.05,30.85,39.51,128,10,166,
,152,-,-,-,116.00,-,"1,400",86.65,105.80,"1,050","1,740.00","10,500",31.85,41.95,350,5.45,38.35,40.08,115,6,162,
,76,-11,82,30.31,80.35,-10.65,"3,500",73.80,94.60,"1,050","1,760.00",350,38.30,51.80,350,3.20,43.55,38.63,186,1,147,
,108,-8,71,30.55,68.65,-10.90,"1,050",62.75,80.75,700,"1,780.00","7,700",47.20,60.85,350,2.65,51.70,38.48,170,-8,80,
,437,-6,391,31.23,58.95,-9.85,350,58.05,61.45,700,"1,800.00",350,61.00,65.45,350,4.80,61.20,38.58,515,12,274,
,241,-9,355,30.95,48.80,-9.30,350,49.05,51.00,350,"1,820.00",350,67.60,80.55,700,5.20,71.90,38.82,203,26,91,
,340,104,576,31.31,40.90,-8.20,350,41.50,42.90,350,"1,840.00","1,050",77.15,89.95,"1,750",8.60,86.85,41.00,82,7,57,
,133,-9,312,31.80,34.30,-6.80,350,33.15,37.95,350,"1,860.00","1,050",89.30,103.90,700,17.25,99.80,41.53,13,2,24,
,140,2,157,31.93,28.10,-6.20,"10,500",23.80,31.95,350,"1,880.00","1,400",100.70,118.10,700,22.60,112.20,41.26,5,-5,16,
,606,-32,"1,059",31.87,22.55,-5.80,350,22.55,23.90,350,"1,900.00","1,400",118.65,132.95,"2,450",12.45,127.15,42.09,45,-11,56,
,106,-1,61,33.05,19.55,-4.10,"10,500",16.00,23.80,350,"1,920.00","2,450",128.40,149.80,"1,400",-,112.05,-,-,-,55,
,134,-2,39,32.93,15.45,-3.85,350,15.00,19.20,350,"1,940.00","1,050",150.60,165.90,"1,050",-,143.30,-,-,-,3,
,126,4,41,33.07,12.35,-3.45,350,11.80,16.20,350,"1,960.00","1,050",167.50,183.05,"1,050",-,152.50,-,-,-,5,
,67,-6,53,33.78,10.35,-3.05,"10,500",8.50,13.55,"7,000","1,980.00","1,750",180.80,200.30,"1,050",-,173.60,-,-,-,1,
