Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,350,"2,270.30","2,360.55",500,"7,000.00",50,8.00,14.00,50,-0.95,8.10,58.40,4,-,170,
,-,-,-,-,-,-,250,"1,779.40","1,859.15",200,"7,500.00",500,15.00,20.70,50,-,20.95,-,-,-,191,
,2,-,-,-,"1,225.90",-,350,"1,532.05","1,661.45",350,"7,750.00",100,15.00,-,-,-,11.70,-,-,-,52,
,11,-,-,-,"1,182.40",-,200,"1,311.20","1,392.10",200,"8,000.00",50,38.25,42.35,50,-6.55,38.70,47.41,265,24,596,
,23,-,1,47.13,"1,154.00",175.10,100,"1,095.15","1,170.95",150,"8,250.00",50,53.00,72.65,"1,000",-8.35,58.75,45.13,111,7,234,
,48,-2,4,37.91,900.00,50.00,100,881.55,941.95,200,"8,500.00",50,75.70,101.50,100,-10.40,90.60,43.29,452,-30,737,
,114,-2,4,47.79,771.05,80.20,100,668.30,769.25,150,"8,750.00",50,117.00,155.00,50,-13.40,138.25,41.68,240,4,241,
,628,-20,215,36.75,519.30,-6.05,100,517.90,536.25,50,"9,000.00",100,205.00,209.90,50,-18.65,205.50,40.10,632,-53,"1,109",
,447,22,648,36.65,372.15,-7.55,100,355.10,379.90,50,"9,250.00",50,298.70,317.95,50,-19.65,307.25,39.74,395,-17,363,
,"1,861",55,"2,397",36.53,255.00,-10.30,50,252.10,255.00,150,"9,500.00",300,405.10,447.20,50,-19.00,440.95,39.88,505,1,612,
,394,1,560,36.40,166.65,-15.20,50,157.05,170.00,50,"9,750.00",50,572.60,622.85,50,-64.55,568.55,36.01,5,2,152,
,"1,834",86,"1,306",37.33,111.00,-9.35,50,105.05,111.85,50,"10,000.00",50,770.20,796.75,50,-34.90,780.00,39.54,8,-,593,
,451,6,329,38.19,72.55,-7.65,50,57.75,75.00,50,"10,250.00",150,965.60,"1,039.90",150,4.60,"1,073.90",-,-,-,68,
,"1,526",10,846,38.95,46.50,-6.80,50,46.05,48.00,650,"10,500.00",200,"1,196.45","1,253.45",200,4.75,"1,249.50",-,-,-,77,
,370,2,204,39.68,29.45,-6.90,50,29.50,31.50,50,"10,750.00",150,"1,415.10","1,499.90",150,-,"1,275.00",-,-,-,8,
,"1,819",3,593,40.82,19.50,-5.35,50,19.55,20.50,50,"11,000.00",100,"1,652.05","1,734.10",50,2.15,"1,615.00",-,1,-,60,
,96,-,4,43.03,15.00,-3.45,50,11.00,53.20,200,"11,250.00",-,-,-,-,-,-,-,-,-,-,-
,345,-2,18,44.76,11.15,-2.40,50,11.15,14.30,200,"11,500.00",150,"2,129.50","2,217.20",100,79.15,"2,144.15",-,6,1,11,
,56,-1,1,44.51,6.30,0.30,200,6.25,15.95,"2,050","11,750.00",150,"2,380.50","2,484.50",150,-,511.15,-,-,-,1,
,589,-27,66,48.65,7.00,-4.30,500,7.05,9.50,350,"12,000.00",350,"2,621.40","2,722.45",200,-47.80,"2,619.90",-,2,-,21,
,20,-1,1,52.51,7.50,-2.40,300,3.50,-,-,"12,250.00",-,-,-,-,-,-,-,-,-,-,-
,51,-1,3,57.20,8.95,-0.05,50,6.00,9.00,50,"12,500.00",500,"3,133.05","3,224.90",250,-,"3,372.70",-,-,-,10,
,2,-,-,-,8.50,-,100,4.00,12.50,"2,000","12,750.00",200,"3,395.65","3,474.40",350,-,"3,280.00",-,-,-,2,
,1,-,-,-,500.00,-,"1,000",2.10,-,-,"13,250.00",-,-,-,-,-,-,-,-,-,-,-
,2,-,-,-,0.20,-,"2,000",1.40,-,-,"14,000.00",150,"4,622.80","4,714.40",350,-,"4,820.00",-,-,-,2,
,1,-,-,-,162.00,-,"2,000",0.30,-,-,"14,500.00",-,-,-,-,-,-,-,-,-,-,-
