Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,195.0,"5,775",0.05,0.10,"38,500",-,0.10,50.75,8,-,287,
,5,-,-,-,53.25,-,"1,925",52.05,53.35,"7,700",200.0,"4,92,800",0.05,0.10,"1,11,650",0.05,0.10,46.66,14,-,493,
-,-,-,-,-,-,-,-,-,-,-,205.0,"98,175",0.10,0.20,"3,850",-,0.15,45.11,21,13,89,
-,-,-,-,-,-,-,-,-,-,-,207.5,"98,175",0.05,0.50,"30,800",-,0.65,-,-,-,-,
,-,-,-,-,-,-,"1,925",42.00,43.55,"7,700",210.0,"7,700",0.20,0.25,"1,925",-,0.25,44.36,14,1,253,
-,-,-,-,-,-,-,-,-,-,-,212.5,"5,775",0.25,0.45,"5,775",-,0.30,43.51,107,-20,73,
,-,-,-,-,-,-,"1,925",37.00,38.60,"7,700",215.0,"1,925",0.30,0.40,"7,700",-,0.35,42.44,37,10,226,
-,-,-,-,-,-,-,-,-,-,-,217.5,"44,275",0.30,0.45,"1,925",-,0.40,41.20,49,26,79,
,14,-3,6,-,33.45,7.30,"1,925",32.30,33.50,"1,925",220.0,"9,625",0.40,0.50,"17,325",-,0.50,40.68,176,16,369,
-,-,-,-,-,-,-,-,-,-,-,222.5,"1,925",0.50,0.60,"1,925",0.10,0.65,40.56,29,-5,113,
,75,-,-,-,27.00,-,"1,925",27.35,29.50,"7,700",225.0,"9,625",0.60,0.70,"17,325",-,0.65,38.11,265,9,166,
,-,-,-,-,-,-,"1,925",25.05,27.05,"5,775",227.5,"17,325",0.40,0.85,"1,925",-,0.80,37.48,5,2,35,
,84,-,4,-,23.20,-4.55,"1,925",22.95,23.95,"1,925",230.0,"13,475",0.95,1.00,"32,725",0.10,1.00,37.04,489,34,798,
,12,3,3,-,20.45,0.85,"1,925",20.35,21.80,"1,925",232.5,"9,625",1.10,1.20,"1,925",0.10,1.20,36.23,223,-1,113,
,53,2,8,-,18.65,-4.95,"1,925",18.20,19.35,"3,850",235.0,"25,025",1.35,1.45,"11,550",0.20,1.45,35.51,582,-66,329,
,79,5,24,-,16.50,-4.70,"1,925",16.10,17.45,"3,850",237.5,"9,625",1.70,1.75,"5,775",0.25,1.80,35.16,890,4,207,
,377,-6,50,-,14.40,-4.85,"1,925",14.15,15.00,"3,850",240.0,"7,700",2.05,2.15,"11,550",0.25,2.10,34.08,"1,242",84,"1,386",
,142,4,32,-,12.50,-4.70,"1,925",11.95,13.15,"5,775",242.5,"7,700",2.55,2.65,"3,850",0.50,2.70,34.39,"1,096",-191,142,
,218,52,307,-,10.60,-4.50,"1,925",10.50,10.70,"1,925",245.0,"9,625",3.20,3.30,"11,550",0.60,3.25,33.90,"1,554",51,516,
