Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,15,-,-,-,154.65,-,"1,950",192.05,203.25,"4,550",600.00,650,1.70,2.00,650,-0.15,1.50,66.60,13,-7,185,
,10,-1,1,37.65,161.4,19.95,"2,600",153.9,163.45,"2,600",640.00,650,2.50,3.00,"1,300",-0.25,2.65,60.48,33,-9,208,
,3,-,-,-,130.1,-,"3,250",132.6,144.8,"1,300",660.00,"3,250",3.00,4.00,650,-0.25,3.75,58.33,59,1,236,
,25,-,-,-,128.85,-0.30,"1,950",117.6,125.05,"1,300",680.00,650,4.70,5.70,650,-0.35,5.20,56.03,30,5,323,
,123,9,20,35.81,103.15,-9.30,650,102.8,106.45,650,700.00,"1,950",7.50,7.95,650,-0.05,7.55,54.70,384,-49,714,
,91,2,8,43.84,88.0,-8.60,650,85.75,90.05,"1,300",720.00,"1,950",9.60,11.20,650,0.30,11.00,53.90,221,-12,231,
,237,-2,20,44.68,72.55,-7.85,"1,300",70.45,76.1,"1,950",740.00,650,15.00,16.00,"1,300",-,15.00,52.17,226,5,695,
,365,2,40,44.23,58.0,-7.85,650,55.25,60.05,"1,300",760.00,"1,300",20.45,21.90,650,0.50,20.95,51.63,216,-29,878,
,255,-19,179,42.82,44.45,-7.90,"9,750",39.55,48.05,"1,300",780.00,"15,600",24.40,29.65,650,1.75,29.00,51.92,329,5,574,
,977,-59,883,43.04,33.9,-6.95,"3,250",31.9,36.25,"1,300",800.00,"3,900",37.15,38.40,650,2.25,38.10,51.44,"1,299",16,"1,328",
,454,-7,740,43.51,25.45,-5.80,"1,300",25.0,26.8,650,820.00,650,47.05,50.25,650,2.80,48.95,51.18,173,-18,198,
,716,32,385,44.38,19.05,-4.30,650,17.0,19.75,650,840.00,650,58.75,64.25,"1,300",3.30,61.65,51.36,31,-6,87,
,596,-10,294,44.82,13.85,-3.65,650,12.05,13.95,650,860.00,"2,600",73.05,78.05,"1,300",4.95,75.40,51.04,26,2,178,
,282,15,393,45.50,10.05,-2.90,"19,500",8.1,11.1,"1,300",880.00,650,89.45,94.95,650,5.20,92.25,53.73,9,-1,54,
,"1,997",-202,888,46.74,7.5,-2.35,650,7.4,8.2,"1,950",900.00,650,107.35,116.10,"1,300",5.55,109.35,55.63,27,3,291,
,253,-5,149,47.81,5.55,-1.75,"19,500",4.05,6.0,650,920.00,650,124.25,131.80,"4,550",-0.40,121.25,44.03,5,1,53,
,229,-30,151,49.43,4.3,-1.20,650,3.8,4.35,"1,950",940.00,"2,600",142.80,151.15,"1,300",-25.80,131.95,-,13,4,14,
,226,-1,38,51.14,3.4,-0.75,650,2.8,3.4,650,960.00,650,161.75,170.10,"1,300",1.40,159.05,46.28,16,-2,25,
,81,3,9,52.33,2.6,-0.85,650,2.55,3.0,650,980.00,"2,600",181.80,191.15,"1,950",-,172.80,-,-,-,41,
,"1,003",-56,521,54.26,2.15,-0.55,"1,950",2.05,2.2,"1,300","1,000.00",650,200.45,205.65,"1,300",9.55,199.90,59.02,26,3,66,
,105,3,5,56.83,1.35,-,650,1.35,2.0,"1,300","1,040.00",-,-,-,-,-,-,-,-,-,-,-
,39,-,-,-,1.2,-,"1,300",0.5,3.55,"26,000","1,080.00","2,600",279.15,284.75,"2,600",-,270.55,-,-,-,7,
,143,-1,7,63.60,1.0,-0.10,650,0.6,1.1,650,"1,100.00","2,600",298.80,307.50,650,-0.90,288.85,-,4,-,8,
,7,-,-,-,0.45,-,650,0.45,1.2,650,"1,200.00",-,-,-,-,-,-,-,-,-,-,-
