Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,300.00",325,0.50,3.15,325,-,2.25,-,-,-,9,
,12,-,-,-,319.15,-,"2,275",292.10,307.20,"1,625","1,400.00",325,3.45,4.45,325,0.45,3.45,48.71,47,-14,189,
,2,-,-,-,232.80,-,"2,275",244.15,260.30,"1,300","1,450.00",325,4.50,7.65,325,3.00,5.60,46.13,27,2,40,
,60,-1,2,76.52,244.30,0.20,975,198.85,215.10,975,"1,500.00","9,750",7.95,10.55,325,4.60,10.40,45.45,292,-25,333,
,22,13,13,40.46,166.25,-16.30,650,156.85,170.30,975,"1,550.00","9,750",13.70,22.15,325,7.05,16.90,43.61,212,-31,148,
,91,7,11,38.46,125.20,-63.80,325,119.60,130.25,975,"1,600.00",325,25.00,30.00,"3,250",9.95,28.25,43.03,"1,447",63,694,
,116,6,55,39.34,92.80,-41.95,325,88.60,97.45,650,"1,650.00",325,43.65,48.05,325,14.10,45.05,42.86,499,-10,263,
,421,-7,541,40.94,67.95,-35.65,325,66.00,69.45,325,"1,700.00","1,300",64.00,71.70,325,24.85,71.90,45.46,"1,118",99,646,
,418,46,824,41.08,46.80,-29.95,"9,100",40.75,47.45,325,"1,750.00",325,91.90,100.85,325,29.70,96.70,43.32,489,16,116,
,750,-31,"1,708",40.48,30.00,-24.25,325,29.55,32.30,650,"1,800.00","1,625",127.40,137.95,650,39.20,129.70,43.02,18,3,129,
,163,34,303,40.76,19.15,-17.80,325,17.25,23.00,975,"1,850.00","1,300",163.05,176.60,650,19.15,147.90,21.51,1,-,25,
,453,71,387,41.64,12.40,-10.15,325,11.50,13.00,325,"1,900.00","2,925",207.10,219.25,975,35.40,200.10,31.71,3,2,21,
,98,15,127,41.88,7.50,-6.85,325,7.00,7.85,325,"1,950.00",975,252.40,264.55,650,-4.70,241.95,-,3,1,10,
,342,54,333,42.87,4.80,-4.30,325,4.20,5.15,325,"2,000.00",975,299.50,314.20,"1,950",33.35,281.80,-,10,1,9,
,131,-,52,46.13,4.00,-1.80,325,2.50,4.05,"6,500","2,050.00",-,-,-,-,-,-,-,-,-,-,-
,236,-5,40,46.95,2.60,-1.40,325,1.75,2.95,325,"2,100.00","1,300",394.35,409.10,325,-,342.20,-,-,-,17,
,80,-,-,-,2.65,-,325,1.35,6.00,325,"2,150.00",-,-,-,-,-,-,-,-,-,-,-
,26,2,7,47.23,0.90,-0.85,325,0.85,3.40,325,"2,200.00",-,-,-,-,-,-,-,-,-,-,-
,2,-,-,-,1.25,-,"9,100",0.30,8.50,"1,300","2,250.00",-,-,-,-,-,-,-,-,-,-,-
,9,-,-,-,0.60,-,"1,300",0.25,1.90,325,"2,400.00",-,-,-,-,-,-,-,-,-,-,-
