Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"4,400.00",750,3.00,17.25,125,0.90,6.00,-,-,-,120,
,8,8,8,90.10,"1,365.00","-1,238.25",500,"1,277.35","1,309.90",500,"4,600.00",125,6.00,14.00,125,-,8.00,-,-,-,56,
,-,-,-,-,-,-,500,"1,068.35","1,107.90",375,"4,800.00",125,7.70,11.00,250,0.60,7.70,46.93,195,21,251,
,-,-,-,-,-,-,500,968.45,"1,014.05",375,"4,900.00",125,6.15,16.40,125,-3.15,6.10,41.25,4,-1,47,
,3,-,-,-,844.95,-,125,878.65,914.15,500,"5,000.00","3,750",11.40,18.00,125,2.45,14.55,44.33,447,39,891,
,4,-,-,-,736.30,-,500,784.85,819.70,500,"5,100.00","3,750",16.30,21.35,125,0.50,20.50,43.38,54,-18,103,
,19,1,2,38.34,719.20,9.60,125,690.30,727.15,500,"5,200.00","3,875",23.00,34.40,"2,500",5.60,27.10,41.85,166,-5,265,
,50,2,8,51.28,671.95,24.20,500,603.45,637.40,500,"5,300.00","3,750",30.25,40.00,125,9.35,37.40,40.89,273,74,175,
,146,-,-,-,719.10,-,500,513.30,550.20,625,"5,400.00",125,44.15,51.70,125,11.65,49.00,39.37,208,46,309,
,70,4,13,38.19,466.85,-148.20,125,440.00,458.30,125,"5,500.00",125,67.05,68.75,125,18.75,67.10,38.63,518,20,678,
,65,1,9,35.61,382.00,-156.00,125,355.95,391.80,125,"5,600.00","3,750",79.45,99.00,125,27.55,89.95,37.82,377,41,439,
,268,-18,91,33.18,302.00,-146.00,125,281.05,309.80,125,"5,700.00","3,500",106.50,125.00,125,37.35,119.75,37.22,664,56,506,
,301,-1,274,33.57,243.00,-117.25,125,239.40,258.30,250,"5,800.00",125,155.00,160.00,250,52.80,159.50,37.20,"1,007",-52,606,
,324,70,915,33.56,190.30,-102.35,125,190.30,195.00,625,"5,900.00",125,200.10,213.80,"1,375",65.05,205.65,36.98,"2,290",160,527,
,"1,902",382,"2,212",33.67,146.65,-83.75,250,146.60,150.00,375,"6,000.00",875,250.20,267.05,125,82.70,263.80,37.56,"2,102",93,659,
,534,55,"1,083",34.20,113.00,-68.75,125,109.00,114.00,375,"6,100.00",250,312.55,334.20,125,91.05,326.50,37.68,334,9,317,
,576,128,"1,014",34.33,84.30,-54.70,"3,750",72.75,98.00,250,"6,200.00",125,393.55,427.10,125,107.35,393.55,37.36,99,13,130,
,476,72,564,34.58,62.25,-44.40,250,62.25,70.00,"1,125","6,300.00",375,457.15,502.60,500,120.75,474.85,38.82,25,2,147,
,464,41,582,35.02,46.05,-32.65,125,45.50,49.00,125,"6,400.00",125,552.40,584.20,125,167.70,564.95,41.49,8,-,95,
,"1,117",125,"1,136",35.58,34.15,-24.50,125,34.15,34.50,250,"6,500.00",125,639.10,670.85,125,132.55,619.55,33.12,8,2,143,
,694,84,570,35.86,24.50,-18.45,125,24.50,30.00,125,"6,600.00",125,722.55,761.95,375,172.10,726.80,39.52,2,2,21,
,493,30,394,36.68,18.55,-13.25,125,17.30,22.95,"2,500","6,700.00",500,812.25,853.70,375,-,661.55,-,-,-,14,
,617,40,380,37.34,13.80,-9.35,125,13.80,18.15,"2,500","6,800.00",500,907.25,950.85,500,-,731.00,-,-,-,55,
,121,5,45,38.59,11.15,-6.45,500,10.25,14.10,"2,500","6,900.00",-,-,-,-,-,-,-,-,-,-,-
,"2,054",175,700,39.63,8.85,-4.70,"1,250",8.90,10.00,500,"7,000.00",250,"1,106.25","1,141.25",375,216.60,"1,120.25",51.55,2,-2,102,
,29,-,-,-,9.05,-,500,4.10,14.80,500,"7,100.00",375,"1,194.75","1,245.45",625,-,"1,300.00",-,-,-,8,
,242,2,10,41.06,5.20,-2.80,"3,125",4.65,6.75,500,"7,200.00",250,"1,301.35","1,322.15",500,-45.30,"1,282.35",-,4,-2,49,
,55,-,-,-,7.50,-,500,3.20,7.50,250,"7,300.00",375,"1,395.55","1,441.85",625,-,"1,271.30",-,2,-2,4,
,27,-1,1,44.22,4.15,2.55,250,3.50,5.70,125,"7,400.00",-,-,-,-,-,-,-,-,-,-,-
,335,-33,60,48.17,5.35,0.50,125,3.15,5.25,125,"7,500.00",375,"1,594.50","1,638.30",500,-,"1,493.05",-,-,-,13,
,15,-,-,-,4.20,1.05,125,1.35,6.80,125,"7,600.00",-,-,-,-,-,-,-,-,-,-,-
,15,-1,2,48.17,2.05,-1.65,500,2.00,16.95,500,"7,800.00",-,-,-,-,-,-,-,-,-,-,-
,7,-,-,-,0.75,-,250,1.60,3.45,125,"7,900.00",-,-,-,-,-,-,-,-,-,-,-
,58,-,-,-,3.55,-,"1,750",1.35,18.50,500,"8,000.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,75.00,-,500,0.35,19.50,500,"8,400.00",-,-,-,-,-,-,-,-,-,-,-
,9,-,-,-,5.50,-,375,0.50,19.55,500,"8,600.00",-,-,-,-,-,-,-,-,-,-,-
