Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,250.0,"2,900",0.25,0.45,"11,600",-0.25,0.25,51.36,7,-4,190,
,18,-1,4,-,59.30,2.55,"10,150",57.70,60.80,"1,450",260.0,"1,450",0.30,1.85,"72,500",-,0.40,-,-,-,102,
-,-,-,-,-,-,-,-,-,-,-,265.0,"1,450",0.25,1.90,"1,450",-,0.80,-,-,-,19,
,6,-,-,-,39.25,-,"10,150",47.50,50.85,"4,350",270.0,"1,450",0.40,0.80,"2,900",-0.10,0.70,45.40,29,8,144,
,13,-,-,-,33.70,-,"5,800",42.80,47.30,"4,350",275.0,"44,950",0.15,2.35,"72,500",-,1.10,-,-,-,36,
,15,-,-,-,37.00,-,"5,800",38.25,41.20,"1,450",280.0,"4,350",1.15,1.45,"4,350",-0.05,1.40,44.50,75,2,153,
,-,-,-,-,-,-,"4,350",33.95,36.95,"4,350",285.0,"1,450",1.70,1.95,"1,450",-0.35,1.75,42.83,21,-2,45,
,24,-,-,-,28.70,-,"1,450",29.95,32.45,"14,500",290.0,"2,900",2.40,2.60,"4,350",-0.40,2.45,42.71,54,-9,165,
,27,3,4,-,26.95,2.85,"1,450",25.65,28.15,"1,450",295.0,"1,450",3.25,3.50,"1,450",-0.55,3.30,42.34,53,9,81,
,81,2,20,15.70,22.25,0.90,"2,900",22.15,24.50,"4,350",300.0,"1,450",4.40,4.60,"2,900",-0.60,4.45,42.34,205,-2,280,
,65,-1,7,28.09,19.60,2.60,"10,150",18.25,21.10,"5,800",305.0,"43,500",4.80,7.20,"29,000",-0.75,5.90,42.49,30,-2,101,
,308,-46,103,30.63,16.55,1.45,"4,350",16.30,17.20,"1,450",310.0,"1,450",6.85,8.75,"1,450",-0.90,7.70,42.86,146,-10,260,
,93,-2,87,31.57,13.60,1.35,"1,450",13.50,14.25,"1,450",315.0,"1,450",9.50,11.10,"5,800",-1.10,9.90,43.54,100,1,72,
,406,-63,976,31.73,10.85,0.85,"2,900",10.95,11.45,"1,450",320.0,"1,450",11.75,12.65,"1,450",-0.80,12.55,44.66,21,6,84,
,56,-1,103,33.66,9.05,1.05,"1,450",8.00,10.30,"5,800",325.0,"1,450",14.35,16.40,"1,450",-2.50,15.20,44.81,7,-2,58,
,291,-1,386,33.37,6.95,0.70,"1,450",6.10,7.15,"1,450",330.0,"4,350",16.90,18.45,"1,450",-6.30,18.20,45.18,4,1,23,
,86,-4,50,34.11,5.50,0.70,"1,450",5.20,5.45,"1,450",335.0,"10,150",20.40,22.80,"4,350",0.35,23.85,53.63,1,1,24,
,207,16,118,34.13,4.15,0.55,"43,500",3.30,4.20,"1,450",340.0,"5,800",24.10,26.65,"1,450",-,27.25,-,-,-,23,
,58,5,25,31.73,2.55,-0.15,"1,450",2.45,3.25,"1,450",345.0,"5,800",27.70,30.65,"10,150",-,-,-,-,-,-,
,199,-21,211,35.22,2.45,0.30,"1,450",2.35,2.45,"1,450",350.0,"1,450",32.10,34.65,"1,450",-4.75,35.05,56.32,1,-1,28,
,25,23,27,34.13,1.60,-2.40,"1,450",1.65,1.90,"1,450",355.0,-,-,-,-,-,-,-,-,-,-,-
,125,-,1,34.32,1.15,-0.15,"1,450",1.10,1.45,"1,450",360.0,"14,500",40.75,43.85,"10,150",-,53.95,-,-,-,10,
,153,-,15,36.66,0.75,-,"1,450",0.65,0.85,"1,450",370.0,"5,800",50.35,53.55,"10,150",-,-,-,-,-,-,
,11,-,-,-,0.40,-0.05,"1,450",0.15,0.60,"1,450",380.0,"4,350",59.95,62.65,"10,150",-,55.00,-,-,-,2,
