Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,19,-,-,-,328.0,-,325,260.75,269.7,"1,300","1,100.00",325,0.85,2.5,325,-,2.65,-,-,-,125,
,1,-,-,-,206.0,-,"2,275",211.95,221.95,"1,300","1,150.00","9,750",2.65,5.1,"6,500",-0.50,3.30,46.25,12,-4,69,
,3,-,-,-,223.45,-,"2,275",163.35,174.55,"1,300","1,200.00","9,750",5.25,8.35,"6,500",-0.65,5.75,42.46,98,35,130,
,11,-,-,-,202.1,-,"1,625",119.75,134.3,975,"1,250.00",650,10.75,11.75,325,-1.80,10.85,39.75,134,-21,113,
,189,26,48,36.08,90.0,-18.00,"3,250",79.45,96.7,"2,600","1,300.00",650,19.45,25.95,325,-0.65,22.75,39.83,385,-26,480,
,114,19,61,33.44,54.9,-18.85,325,50.0,59.55,325,"1,350.00",325,39.4,42.0,"1,950",1.10,41.80,40.07,457,52,188,
,571,149,721,35.07,33.5,-16.75,325,33.0,33.8,"3,575","1,400.00",325,67.8,70.4,325,4.40,69.65,41.28,216,-1,311,
,491,-41,257,37.03,20.15,-12.05,325,19.2,19.9,325,"1,450.00",975,92.8,111.05,"2,275",2.75,100.40,39.16,10,4,132,
,"1,017",34,850,38.04,11.25,-8.40,975,11.0,11.7,650,"1,500.00",650,143.8,155.0,650,14.10,139.10,38.34,4,-2,201,
,244,14,219,38.69,5.9,-5.75,"2,275",5.0,6.4,325,"1,550.00",650,187.9,196.45,325,13.85,190.10,48.57,10,-2,51,
,738,-95,934,40.01,3.25,-3.60,650,3.1,3.45,975,"1,600.00","2,600",232.75,243.3,"2,275",-0.05,182.75,-,-,-,38,
,225,-17,160,40.51,1.6,-2.70,975,1.8,4.2,650,"1,650.00","1,300",281.3,292.2,975,-,-,-,-,-,-,
,262,9,116,47.53,2.0,-1.05,650,1.5,1.95,325,"1,700.00","1,300",331.6,341.65,"1,625",-,359.95,-,-,-,1,
,121,5,26,50.31,1.5,-0.15,325,1.35,2.0,975,"1,750.00","1,300",381.1,391.35,975,-,496.00,-,-,-,1,
