Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"4,000",100.9,105.1,"4,000",320.0,"2,000",0.25,0.8,"1,000",-,-,-,-,-,-,
,44,-,-,-,87.20,0.80,"4,000",82.0,85.15,"4,000",340.0,"3,000",1.05,1.15,"6,000",0.10,1.10,58.06,795,-39,649,
,4,2,3,-,75.40,-2.10,"1,000",72.5,75.55,"1,000",350.0,"2,000",1.5,1.6,"4,000",0.15,1.55,56.03,547,93,229,
,23,-,6,-,66.50,-14.80,"4,000",63.0,66.0,"7,000",360.0,"3,000",2.1,2.2,"1,000",0.25,2.20,54.23,665,21,529,
,62,36,57,28.73,57.40,-8.95,"4,000",54.15,56.55,"4,000",370.0,"1,000",2.9,3.2,"3,000",0.40,3.05,52.24,668,144,397,
,184,30,70,-,47.20,-14.95,"3,000",45.45,47.6,"1,000",380.0,"4,000",4.5,4.6,"1,000",0.90,4.55,51.75,"1,748",189,861,
,136,15,58,28.91,38.55,-14.05,"1,000",37.5,39.55,"2,000",390.0,"2,000",6.3,6.5,"1,000",1.30,6.30,50.52,"1,933",189,646,
,493,-48,290,35.90,31.85,-12.20,"1,000",31.0,31.95,"1,000",400.0,"10,000",9.0,9.25,"2,000",2.30,9.05,50.36,"6,655",699,"2,079",
,421,19,339,35.66,24.60,-11.95,"1,000",24.05,25.55,"1,000",410.0,"1,000",12.25,12.85,"1,000",3.55,12.55,50.04,"4,154",217,"1,007",
,"1,013",314,"2,974",37.21,19.20,-10.40,"6,000",19.0,19.3,"5,000",420.0,"3,000",16.6,16.9,"2,000",4.60,16.60,49.96,"6,619",94,"1,420",
,"1,807",695,"7,110",38.34,14.60,-8.75,"1,000",14.15,14.6,"2,000",430.0,"1,000",21.75,22.35,"1,000",6.50,22.20,50.92,"7,606",275,"1,312",
,"3,553","1,333","12,809",39.12,10.60,-7.40,"11,000",10.5,10.7,"1,000",440.0,"1,000",27.4,28.4,"1,000",8.00,28.40,52.50,"4,011",125,"1,542",
,"4,161","1,283","12,224",39.72,7.75,-5.95,"7,000",7.7,7.85,"2,000",450.0,"2,000",34.45,36.2,"1,000",8.45,34.40,51.34,"1,379",143,997,
,"2,872","1,059","7,565",40.39,5.55,-4.65,"4,000",5.4,5.6,"10,000",460.0,"5,20,000",43.1,44.4,"1,000",10.75,43.25,56.22,416,-30,421,
,"2,067",571,"5,171",41.31,4.00,-3.50,"2,000",3.9,4.1,"3,000",470.0,"1,000",50.3,52.35,"2,000",11.50,50.95,56.81,133,52,354,
,"2,273",657,"6,226",42.34,2.90,-2.65,"3,000",2.85,2.95,"4,000",480.0,"1,000",59.1,61.45,"2,000",12.35,59.85,59.93,103,2,512,
,"1,240",229,"2,825",43.34,2.10,-2.00,"5,000",2.0,2.15,"3,000",490.0,"1,000",67.95,71.3,"7,000",12.20,67.30,57.02,20,4,199,
,"6,220","1,292","6,586",44.83,1.60,-1.55,"5,000",1.55,1.65,"7,000",500.0,"2,000",77.85,79.8,"1,000",13.20,78.50,67.06,143,19,915,
,878,213,"1,605",45.22,1.10,-1.20,"1,000",1.0,1.15,"3,000",510.0,"1,000",86.05,89.65,"1,000",10.50,81.30,-,29,4,51,
,"1,113",149,"1,152",46.66,0.85,-0.90,"4,000",0.75,0.85,"4,000",520.0,"1,000",96.3,99.4,"1,000",11.60,94.55,59.65,19,-1,406,
,532,-4,632,47.26,0.60,-0.70,"3,000",0.6,0.65,"19,000",530.0,"3,000",104.9,109.6,"7,000",-,94.00,-,-,-,249,
,468,20,414,49.86,0.55,-0.50,"3,000",0.5,0.6,"3,000",540.0,"3,000",114.7,119.2,"2,000",-,128.75,-,-,-,161,
,"1,457",180,"1,069",51.41,0.45,-0.45,"8,000",0.45,0.5,"10,000",550.0,"1,000",125.3,129.15,"1,000",10.05,123.65,66.73,26,5,719,
,163,-3,162,53.50,0.40,-0.35,"1,000",0.35,0.4,"1,000",560.0,"1,000",135.55,138.9,"1,000",-27.80,123.20,-,10,3,134,
,165,10,31,55.35,0.35,-0.30,"8,000",0.35,0.4,"6,000",570.0,"4,000",144.25,149.35,"3,000",-,164.20,-,-,-,102,
,295,10,69,55.57,0.25,-0.25,"11,000",0.25,0.4,"8,000",580.0,"1,000",154.9,158.0,"2,000",13.30,153.30,75.74,16,-,181,
,51,-,4,59.62,0.30,-0.10,"19,000",0.2,0.4,"10,000",590.0,"1,000",164.85,169.1,"1,000",-33.10,152.45,-,2,-,19,
,563,-44,96,59.12,0.20,-0.25,"37,000",0.2,0.35,"6,000",600.0,"1,000",175.15,177.0,"1,000",9.60,172.60,76.20,18,-1,320,
,67,-2,3,63.30,0.25,-0.10,"3,000",0.2,0.35,"1,000",610.0,"4,000",185.05,188.85,"1,000",-,169.00,-,-,-,56,
,201,-,26,63.99,0.20,-0.10,"13,000",0.15,0.3,"4,000",620.0,"7,000",194.9,198.9,"1,000",-6.40,182.10,-,7,-,168,
