Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"5,425",151.95,158.05,"3,100",380.0,775,0.15,1.90,"2,325",0.30,0.40,67.03,2,-,-,
,-,-,-,-,-,-,"2,325",132.80,136.85,"5,425",400.0,"20,925",0.30,0.50,"7,750",-0.20,0.40,58.21,65,-2,68,
,-,-,-,-,-,-,"5,425",123.05,130.90,"2,325",410.0,775,0.25,2.75,"38,750",-,1.10,-,-,-,1,
,4,-,-,-,97.60,-,"2,325",113.25,119.55,"3,100",420.0,"8,525",0.50,1.50,775,0.15,1.10,58.96,66,7,37,
,-,-,-,-,-,-,775,103.60,109.25,"5,425",430.0,775,1.00,2.85,"38,750",0.10,1.40,56.90,83,10,53,
,1,1,10,-,82.15,-151.25,"5,425",93.40,97.95,"5,425",440.0,"1,550",1.15,1.50,"1,550",-0.25,1.55,53.20,527,31,132,
,-,-,-,-,-,-,"2,325",84.25,88.25,775,450.0,"1,550",1.55,1.75,775,-0.80,1.65,49.02,383,6,108,
,2,-,-,-,66.55,-,"2,325",74.80,78.75,775,460.0,775,2.10,2.25,"1,550",-1.50,2.10,46.78,821,-7,93,
,-,-,-,-,-,-,"2,325",65.35,69.60,"2,325",470.0,"1,550",2.75,3.00,775,-2.35,2.90,45.53,659,55,96,
,68,-1,7,-,55.60,11.95,775,57.25,60.55,"3,100",480.0,"1,550",3.70,3.90,"1,550",-3.10,3.75,43.51,449,7,76,
,39,1,3,25.76,48.00,11.75,775,47.55,51.50,"3,100",490.0,"23,250",4.00,6.00,"15,500",-4.30,5.25,42.73,105,5,73,
,149,-15,152,35.56,42.00,12.85,"5,425",39.65,43.45,"2,325",500.0,775,6.85,7.20,775,-5.55,7.05,41.53,768,-27,463,
,54,-47,197,32.31,33.20,9.60,775,33.00,36.95,"2,325",510.0,"2,325",9.25,11.00,775,-7.10,9.95,41.72,174,13,84,
,271,-160,"1,463",36.41,28.20,10.00,775,28.05,28.60,775,520.0,775,13.00,13.80,"1,550",-8.60,13.35,41.46,390,8,231,
,164,56,"1,524",37.60,22.95,8.90,"2,325",22.90,23.00,775,530.0,775,17.00,18.00,"1,550",-10.15,17.85,41.96,497,92,129,
,177,63,"1,251",38.25,18.30,7.45,"1,550",18.25,18.40,"1,550",540.0,775,22.75,23.85,775,-11.05,23.15,42.55,105,21,33,
,303,111,"1,239",38.82,14.40,6.55,"1,550",14.35,14.50,"1,550",550.0,"3,875",27.55,30.90,"2,325",-10.55,31.00,46.78,61,-2,59,
,134,12,441,38.93,11.00,5.15,775,10.95,11.50,"1,550",560.0,"5,425",33.85,38.20,"2,325",-,59.70,-,-,-,7,
,131,49,922,40.27,8.80,4.45,775,8.60,9.00,"5,425",570.0,"2,325",41.30,45.85,"2,325",-,37.00,-,-,-,1,
,152,77,401,40.55,6.65,3.30,"1,550",6.55,6.70,"3,875",580.0,"2,325",49.45,54.05,"2,325",-,80.00,-,-,-,4,
,73,42,109,41.64,5.25,2.85,775,5.10,5.30,775,590.0,-,-,-,-,-,-,-,-,-,-,-
,591,104,"1,698",42.71,4.15,2.15,"11,625",4.05,4.20,"2,325",600.0,"5,425",67.10,70.10,"2,325",-15.75,69.25,51.10,13,5,39,
,8,8,14,43.80,2.40,-82.70,775,2.25,3.25,"3,875",620.0,"2,325",85.00,89.20,"3,100",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,630.0,"5,425",93.90,100.00,"5,425",-,90.00,-,-,-,2,
,250,84,359,46.32,1.60,0.70,775,1.40,1.60,775,640.0,"3,100",104.05,108.50,"2,325",-,137.00,-,-,-,4,
,25,-,-,-,0.85,-,775,0.35,2.70,"1,550",650.0,"5,425",113.00,119.45,"2,325",-,144.00,-,-,-,1,
,4,3,22,49.20,1.15,0.15,"2,325",0.35,3.05,"3,100",660.0,-,-,-,-,-,-,-,-,-,-,-
,81,24,51,50.31,0.70,0.25,775,0.50,0.70,"1,550",680.0,"5,425",142.95,147.75,"5,425",-,178.00,-,-,-,3,
