Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,250",116.2,122.2,"2,250",520.0,750,1.00,1.30,750,0.15,1.00,49.07,9,-6,91,
,-,-,-,-,-,-,"2,250",97.5,103.0,"5,250",540.0,750,1.50,4.40,"30,000",-,2.20,-,-,-,28,
,7,-,1,58.63,96.80,22.90,"2,250",87.65,91.55,"3,000",550.0,750,2.35,2.55,750,-0.55,2.35,45.72,128,73,126,
,1,-,-,-,70.00,-,"2,250",78.5,82.65,"5,250",560.0,750,3.15,3.60,750,-0.85,3.35,45.64,31,-13,39,
,-,-,-,-,-,-,"2,250",69.95,73.8,"3,000",570.0,750,4.55,4.90,750,-1.40,4.55,45.21,880,28,64,
,-,-,-,-,-,-,"2,250",61.5,65.45,"3,000",580.0,"22,500",5.20,7.75,"15,000",-1.70,6.00,44.57,128,15,147,
,1,-,-,-,39.90,-,750,53.1,60.65,"2,250",590.0,"30,000",4.65,12.70,"2,250",-4.50,10.00,48.92,12,11,13,
,67,9,13,41.47,50.50,4.15,"2,250",46.15,49.8,750,600.0,"22,500",9.15,12.00,750,-2.00,10.75,44.80,144,85,195,
,3,-,1,49.46,47.75,7.70,"2,250",36.8,48.0,"3,000",610.0,750,10.95,19.85,"30,000",-,17.00,-,-,-,49,
,82,5,23,39.05,35.70,-0.05,"2,250",33.55,37.35,"5,250",620.0,"2,250",15.70,20.45,"5,250",-2.20,17.40,44.63,79,22,115,
,200,-,147,38.86,29.70,1.35,"3,750",28.4,30.7,750,630.0,"2,250",20.00,24.95,"1,500",-2.05,22.30,45.78,59,-,113,
,472,30,"1,089",38.32,24.15,0.55,750,24.15,24.6,750,640.0,750,26.60,28.40,750,-2.20,26.85,45.34,146,48,93,
,438,187,"1,283",38.84,19.90,0.60,750,19.9,20.2,750,650.0,"2,250",30.45,34.90,750,-5.05,31.05,43.40,62,27,144,
,129,12,232,38.44,15.75,-0.50,750,15.3,17.0,750,660.0,"2,250",36.05,41.15,"3,000",-11.00,36.00,41.71,1,-,5,
,112,29,118,39.43,13.00,0.35,"22,500",11.0,14.85,750,670.0,750,42.55,46.65,750,0.85,48.70,52.36,23,6,27,
,60,27,100,38.82,9.90,-0.15,750,8.85,12.15,750,680.0,"2,250",49.00,56.65,"7,500",-11.30,49.75,41.97,2,-,6,
,8,4,16,39.47,7.95,-0.90,750,7.1,10.05,"15,000",690.0,"2,250",57.65,64.05,"5,250",-0.25,55.50,-,-,-,4,
,360,52,347,38.51,5.70,-0.25,750,5.5,5.85,750,700.0,"3,750",65.75,68.50,750,2.65,71.75,55.51,8,1,32,
,24,21,38,38.15,4.15,1.50,750,4.1,4.7,750,710.0,"3,000",74.20,77.00,750,-,95.10,-,-,-,4,
,94,17,58,39.12,3.35,-0.25,750,3.05,3.6,750,720.0,750,83.90,86.00,750,-,87.15,-,-,-,14,
,21,8,21,39.45,2.55,0.80,750,2.25,2.8,750,730.0,"3,000",92.30,95.10,"3,000",-,113.75,-,-,-,8,
,11,-10,20,40.54,2.10,0.10,"22,500",1.65,3.95,"30,000",740.0,"3,000",102.10,107.50,"3,750",-,-,-,-,-,-,
,156,42,140,39.77,1.40,-0.45,"1,500",1.35,1.75,"1,500",750.0,750,111.30,115.95,"3,750",-,131.00,-,-,-,39,
,5,-,-,-,1.00,-,"1,500",0.4,3.85,"3,000",760.0,"3,000",118.00,127.40,750,-16.90,121.10,51.56,8,5,9,
,7,-,-,-,0.95,-,750,0.25,3.85,"3,000",780.0,-,-,-,-,-,-,-,-,-,-,-
,60,-,-,-,0.75,-,750,0.4,1.3,"1,500",800.0,"3,000",160.25,165.15,"5,250",-,175.00,-,-,-,51,
,11,-,-,-,0.25,-,"1,500",0.25,0.75,"2,250",880.0,-,-,-,-,-,-,-,-,-,-,-
