Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"2,200",175.6,183.7,"1,650",760.00,"2,750",0.25,1.85,"22,000",-,-,-,-,-,-,
,2,-,-,-,126.70,-,"2,750",138.25,144.3,"1,100",800.00,"1,650",1.65,1.80,"1,100",-0.20,1.70,40.74,527,-30,922,
,1,-,-,-,97.05,-,"1,650",116.8,125.15,"1,650",820.00,"1,650",2.30,2.45,550,-0.20,2.50,38.76,292,8,191,
,25,-5,6,29.85,101.75,-0.60,550,99.5,104.9,"1,100",840.00,"1,650",3.30,3.55,550,-0.50,3.45,36.19,"1,093",31,918,
,59,-1,4,65.35,105.00,27.75,550,81.0,87.7,"1,100",860.00,"1,100",4.80,5.00,550,-0.65,4.95,33.91,708,-18,682,
,126,-10,22,38.03,71.60,4.85,"4,950",62.4,69.1,"3,300",880.00,550,7.35,8.00,550,-0.80,7.55,32.32,"1,077",-201,532,
,329,-126,504,29.27,50.85,-,550,50.1,56.1,"3,850",900.00,550,11.55,12.75,550,-1.25,11.70,31.22,"2,133",-307,"1,022",
,469,-142,997,29.39,37.65,-0.20,550,36.5,38.15,550,920.00,"16,500",15.85,18.60,550,-1.50,18.20,30.85,"1,647",-49,679,
,"1,032",-152,"3,408",29.63,26.90,-0.20,550,26.6,26.8,"1,100",940.00,550,26.60,28.00,550,-1.70,27.05,30.68,"2,044",45,747,
,"1,789",187,"5,727",30.07,18.70,-0.60,550,18.5,18.85,"1,100",960.00,550,38.20,40.10,"1,100",-1.75,38.85,31.29,997,-43,647,
,"1,019","-1,144","4,178",30.63,12.70,-0.65,550,12.3,12.8,550,980.00,"3,850",50.20,53.00,550,-2.25,52.45,31.61,309,-60,491,
,"2,306",39,"3,353",31.44,8.60,-0.45,550,8.45,8.7,"6,600","1,000.00",550,66.95,69.70,"1,100",-0.90,68.70,33.27,105,-5,807,
,600,-43,"1,022",31.96,5.60,-0.40,550,5.2,6.35,550,"1,020.00",550,83.25,89.60,"1,100",-13.95,72.65,-,3,-,125,
,574,-30,774,32.99,3.80,-0.25,550,3.75,3.85,"1,100","1,040.00","1,100",101.60,105.25,"1,100",-6.00,98.65,14.26,6,-,92,
,602,-144,745,34.36,2.70,-0.05,"1,100",2.6,2.9,"12,100","1,060.00",550,120.40,123.85,"1,100",-23.25,109.95,-,6,-3,93,
,517,4,278,36.48,2.15,-,"1,100",2.05,2.15,550,"1,080.00",550,139.05,144.55,"1,100",-34.40,122.60,-,1,1,39,
,"1,498",27,"1,017",38.12,1.65,-0.10,550,1.5,1.65,"1,100","1,100.00","1,100",158.60,162.75,"1,100",-,161.00,42.21,25,-2,495,
,285,-10,69,40.07,1.35,0.05,"1,650",1.35,1.45,550,"1,120.00","1,650",176.15,184.65,"2,200",-,163.30,-,-,-,15,
,124,-24,63,41.83,1.10,0.10,550,1.05,1.15,550,"1,140.00","5,500",196.10,201.70,"1,100",-,197.80,-,-,-,7,
,7,-,-,-,0.75,-,"3,850",0.3,1.3,"1,100","1,160.00","1,650",213.45,225.05,"3,850",-,223.00,-,-,-,-,
,23,-,-,-,0.70,-,"1,650",0.5,1.5,"1,100","1,180.00",-,-,-,-,-,-,-,-,-,-,-
,506,-40,100,47.46,0.70,0.05,550,0.55,0.7,"2,200","1,200.00","5,500",255.40,261.40,"2,200",-,258.70,-,-,-,85,
,27,-,-,-,0.40,-,"3,300",0.3,0.65,550,"1,280.00",-,-,-,-,-,-,-,-,-,-,-
