Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,750",308.35,325.55,"1,750","1,280.00",250,0.1,6.95,"12,500",-,-,-,-,-,-,
,-,-,-,-,-,-,750,268.65,289.3,750,"1,320.00",250,0.1,6.95,"12,500",-,2.05,-,-,-,-,
,-,-,-,-,-,-,750,228.05,241.35,"1,750","1,360.00","15,000",0.35,1.35,500,-1.40,1.10,33.67,150,89,137,
,-,-,-,-,-,-,750,208.65,222.45,750,"1,380.00",250,0.45,2.4,250,-1.55,2.35,35.54,3,2,2,
,-,-,-,-,215.00,-,750,189.65,203.75,"1,000","1,400.00",250,2.35,3.0,250,-0.35,2.80,33.81,102,-13,202,
,-,-,-,-,-,-,750,169.55,187.2,"1,000","1,420.00",250,0.65,7.95,"12,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",154.0,166.0,750,"1,440.00",250,4.8,5.2,250,0.65,5.20,32.32,111,-9,67,
,-,-,-,-,-,-,"1,000",136.25,148.45,750,"1,460.00",250,6.6,7.45,250,1.40,7.45,32.17,132,-21,117,
,-,-,-,-,-,-,750,118.65,130.5,750,"1,480.00",250,9.75,11.0,500,1.90,9.75,31.28,99,-23,67,
,11,1,1,42.99,120.60,-3.65,"1,000",102.25,114.5,"1,000","1,500.00",250,10.85,14.75,"5,000",3.10,13.50,31.16,281,12,327,
,-,-,-,-,-,-,750,84.75,98.35,750,"1,520.00",250,16.05,19.15,"5,000",3.40,17.00,29.99,117,1,90,
,45,2,3,30.79,77.60,-13.35,250,75.9,83.35,250,"1,540.00",250,22.8,24.1,500,5.80,23.65,30.55,356,-13,370,
,108,5,23,30.33,64.35,-12.95,750,59.45,70.05,250,"1,560.00",250,29.8,32.6,"5,000",7.00,30.00,29.91,297,4,230,
,229,25,130,31.23,54.40,-9.70,250,53.1,54.5,250,"1,580.00","2,250",37.0,37.95,250,7.95,37.85,29.44,421,103,282,
,574,135,"1,062",31.96,45.60,-6.70,500,43.6,45.5,250,"1,600.00",250,44.95,49.45,250,9.40,47.45,29.21,473,114,724,
,480,228,895,30.43,34.70,-7.05,250,33.05,35.0,250,"1,620.00",250,56.05,59.25,250,10.80,58.40,28.95,461,178,285,
,369,-10,428,29.78,26.50,-6.35,250,26.15,28.2,250,"1,640.00",500,67.25,75.75,250,10.70,69.05,27.48,75,-1,86,
,150,11,149,29.67,20.35,-5.20,"7,500",16.55,23.75,"5,000","1,660.00","1,000",79.0,88.25,250,9.85,80.35,25.22,21,6,61,
,148,6,98,29.69,15.50,-4.20,250,14.0,18.05,"5,000","1,680.00",750,94.45,106.65,750,-,84.00,-,-,-,3,
,912,36,451,30.07,12.00,-3.00,"1,250",10.5,12.8,250,"1,700.00",750,110.05,120.95,250,20.35,120.00,32.43,3,1,189,
,212,9,195,29.91,8.75,-2.30,250,6.75,10.7,"5,000","1,720.00",750,127.5,139.4,750,-,150.00,-,-,-,1,
,193,11,133,29.96,6.40,-2.00,250,5.65,8.0,"5,000","1,740.00",750,145.05,156.35,750,-,120.70,-,-,-,1,
,186,30,178,30.53,4.95,-1.55,250,4.75,5.3,250,"1,760.00","1,000",163.35,170.0,"1,000",-,146.40,-,-,-,104,
,17,7,48,30.47,3.50,-1.60,250,3.65,4.6,"5,000","1,780.00","1,000",181.6,194.55,750,-,173.10,-,-,-,1,
,952,61,441,31.40,2.85,-0.70,250,2.75,2.95,250,"1,800.00","1,000",201.05,209.75,250,-1.00,184.00,-,2,-2,257,
,1,-,-,-,4.20,-,500,0.75,8.3,"2,500","1,820.00",750,218.5,237.55,750,-,-,-,-,-,-,
,21,-,1,40.14,4.90,0.95,250,1.25,5.3,500,"1,840.00","1,000",240.05,255.1,750,-,211.80,-,-,-,6,
,8,-,-,-,3.05,-,250,0.65,7.65,"12,500","1,860.00",750,255.55,275.85,750,-,270.00,-,-,-,5,
,1,-,-,-,7.15,-,250,1.3,8.25,"12,500","1,880.00","1,000",280.0,298.5,750,-,-,-,-,-,-,
,624,-2,231,32.76,0.60,-0.40,500,0.6,0.8,"1,500","1,900.00",750,298.45,309.8,"1,000",-,264.00,-,-,-,372,
,-,-,-,-,-,-,"9,000",0.2,6.1,"12,500","1,920.00",750,313.9,334.0,750,-,-,-,-,-,-,
,145,-,4,41.21,0.65,0.10,250,0.35,0.65,500,"2,000.00","1,000",396.85,408.25,250,-,398.00,-,-,-,137,
,3,-,-,-,0.35,-,250,0.25,6.25,"12,500","2,040.00",750,437.3,453.25,"1,000",-,420.00,-,-,-,3,
