Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,600,456.55,493.85,450,"2,500.00",150,1.70,7.85,150,-,-,-,-,-,-,
,-,-,-,-,-,-,600,411.15,443.3,450,"2,550.00",150,6.05,10.95,150,-,-,-,-,-,-,
,-,-,-,-,-,-,600,370.15,401.05,450,"2,600.00",150,14.20,15.00,150,2.10,14.20,44.61,33,-3,90,
,-,-,-,-,-,-,600,321.75,358.95,450,"2,650.00",300,16.20,25.75,150,-0.30,16.80,41.90,12,7,19,
,-,-,-,-,503.20,-,600,282.2,312.25,450,"2,700.00","1,500",26.60,29.90,150,3.35,26.65,43.23,111,-11,211,
,3,-2,3,37.62,255.00,-20.00,600,239.9,271.25,"1,050","2,750.00",150,28.75,40.00,150,2.95,35.60,42.51,47,-15,72,
,1,1,2,39.81,221.45,-656.75,600,198.15,240.25,450,"2,800.00",150,40.15,49.95,150,5.10,47.10,41.91,131,-19,127,
,1,-,2,43.57,196.30,-102.40,600,156.0,218.75,450,"2,850.00",150,55.00,85.20,450,3.55,56.45,39.38,14,-3,12,
,6,4,9,38.47,152.05,-21.00,600,137.15,158.95,300,"2,900.00",150,80.00,84.90,150,8.70,81.15,41.73,197,-44,219,
,5,5,25,38.88,125.25,-636.70,300,120.0,136.45,150,"2,950.00","4,200",88.10,110.40,150,-1.40,90.80,37.26,32,7,12,
,284,142,564,37.59,97.30,-15.05,150,97.0,104.35,150,"3,000.00",450,118.10,129.95,150,15.55,129.95,42.13,300,17,321,
,81,10,59,39.54,82.00,-8.15,150,71.25,83.25,150,"3,050.00",150,147.00,176.85,150,3.90,146.00,37.56,8,-2,8,
,239,23,257,38.04,60.50,-10.10,150,54.05,62.85,150,"3,100.00",300,179.75,199.75,150,3.10,175.00,36.24,5,-1,100,
,54,11,46,38.75,48.00,-6.80,150,45.5,48.0,150,"3,150.00",450,205.15,243.40,450,-,91.45,-,-,-,22,
,397,98,340,39.12,37.20,-4.90,600,36.0,40.0,150,"3,200.00",600,252.35,275.35,150,-5.80,243.65,33.30,8,-7,102,
,64,50,84,38.40,26.50,-6.50,"4,500",19.35,29.45,150,"3,250.00",150,289.90,317.25,600,-,269.10,-,-,-,5,
,322,-19,234,39.03,20.45,-4.10,150,19.25,23.9,150,"3,300.00",450,331.50,358.85,150,-,313.00,-,-,-,89,
,12,-1,12,40.39,16.80,-2.75,"4,500",11.05,21.65,"3,000","3,350.00",450,374.05,408.70,600,-,353.80,-,-,-,5,
,132,18,85,40.14,11.95,-2.30,150,10.5,13.0,150,"3,400.00",450,426.80,449.50,150,-,393.00,-,-,-,15,
,25,-5,20,41.52,9.95,-1.40,900,9.0,10.3,150,"3,450.00",450,474.20,506.05,450,5.15,360.45,-,-,-,28,
,269,65,202,41.91,7.50,-1.50,600,7.65,9.35,"3,000","3,500.00",900,521.75,554.55,"1,050",-,406.70,-,-,-,12,
,5,-,-,-,15.30,-,"3,000",1.6,16.15,"7,500","3,550.00",450,565.55,603.70,600,-,538.85,-,-,-,31,
,87,2,10,44.05,5.05,-0.40,300,4.1,5.6,900,"3,600.00",450,609.30,641.65,600,-,600.00,-,-,-,22,
,10,-,-,-,4.55,-,"3,000",1.75,4.5,150,"3,650.00",450,663.45,699.60,"1,050",-,550.15,-,-,-,1,
,56,-,52,46.37,3.60,-0.05,300,3.55,3.8,150,"3,700.00","1,050",714.85,740.70,600,-,587.55,-,-,-,8,
,27,-2,4,49.86,4.15,-1.85,150,2.25,14.25,600,"3,750.00",-,-,-,-,-,-,-,-,-,-,-
,364,-33,218,50.90,3.55,-0.15,150,3.1,3.95,900,"3,800.00",450,815.45,898.65,450,-,795.00,-,-,-,2,
,79,4,106,51.25,2.80,-0.75,150,2.65,3.95,750,"3,850.00",-,-,-,-,-,-,-,-,-,-,-
,161,-,25,53.94,3.00,0.20,300,2.6,3.0,300,"3,900.00",-,-,-,-,-,-,-,-,-,-,-
