Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,-,-,-,-,-,-,"1,125",237.2,251.9,"1,125","1,120.00",375,4.25,4.9,375,-0.35,7.10,-,-,-,19,
,-,-,-,-,-,-,"1,125",216.55,233.9,"1,500","1,140.00","4,500",1.35,8.8,"4,125",-,-,-,-,-,-,
,1,-2,3,-,206.00,22.35,"1,500",196.95,214.75,"1,500","1,160.00",375,2.0,9.5,"2,250",-4.95,6.00,53.04,2,1,8,
,-,-,-,-,-,-,"1,125",179.95,197.3,"1,500","1,180.00",375,5.05,12.0,"1,500",-10.85,9.50,55.54,10,-7,6,
,-,-,-,-,-,-,"1,125",163.7,178.6,"1,125","1,200.00",375,9.2,12.2,375,-7.25,10.00,52.01,311,-19,146,
,-,-,-,-,-,-,"1,125",145.85,164.15,"1,125","1,220.00","1,500",9.8,19.95,"15,000",-11.05,9.70,47.19,5,1,5,
,-,-,-,-,-,-,"1,125",126.6,143.7,"1,125","1,240.00",750,12.05,17.0,750,-6.90,15.90,50.91,26,12,18,
,-,-,-,-,-,-,"1,125",114.0,132.95,"1,125","1,260.00","1,125",19.0,26.65,375,-14.15,19.20,49.77,20,-1,29,
,-,-,-,-,-,-,"1,125",92.25,122.45,"1,500","1,280.00",750,20.55,37.7,375,-10.15,25.80,51.28,3,-,16,
,21,5,38,24.97,89.95,16.70,"1,500",88.0,98.9,375,"1,300.00",375,32.0,33.0,750,-17.05,32.30,51.68,609,-45,175,
,21,-6,10,31.20,80.00,15.00,"1,500",74.2,88.5,375,"1,320.00","10,500",35.65,44.0,375,-25.00,36.00,48.93,16,-2,17,
,48,-43,174,34.34,70.00,15.15,375,68.05,79.0,"4,125","1,340.00",375,45.05,55.05,"6,000",-10.85,57.80,60.15,46,-6,26,
,86,-134,501,35.92,60.00,14.05,375,55.15,60.0,"1,125","1,360.00","1,500",52.5,65.75,"4,875",-22.85,60.15,54.90,78,-6,20,
,30,19,138,37.87,52.00,13.65,"8,250",44.65,54.95,375,"1,380.00",750,58.4,74.6,375,-17.80,70.10,54.99,4,-,3,
,841,-433,"2,035",38.05,43.00,11.20,750,42.2,43.15,375,"1,400.00",750,76.95,86.4,"1,125",-30.10,76.80,51.95,82,-13,60,
,11,-2,55,35.44,31.65,4.50,"1,875",31.0,40.1,750,"1,420.00",375,86.0,100.15,375,-6.70,97.95,59.26,1,-,4,
,73,-12,158,38.83,29.10,6.70,375,24.4,29.3,375,"1,440.00","1,125",98.35,113.55,"1,875",-5.95,136.90,79.76,1,-1,1,
,133,-87,380,39.86,24.45,5.95,375,24.0,24.45,375,"1,460.00","1,500",116.2,127.85,"1,500",-,123.00,-,-,-,1,
,154,-41,230,40.30,19.95,4.45,375,16.4,20.0,375,"1,480.00","1,500",128.5,142.35,"1,125",-,-,-,-,-,-,
,347,-89,696,39.85,15.35,2.55,375,15.0,15.4,750,"1,500.00","1,500",148.2,160.55,"1,125",-,163.05,-,-,-,2,
,2,2,2,41.32,13.25,3.20,375,7.75,18.55,"15,000","1,520.00","1,500",160.1,181.45,"1,125",-,-,-,-,-,-,
,72,7,41,38.41,8.20,-0.45,375,8.0,11.95,375,"1,540.00","1,500",182.15,194.15,"1,125",-30.30,193.45,69.95,1,-1,-,
,-,-,-,-,-,-,375,3.5,15.6,"15,000","1,560.00","1,125",196.8,218.7,"1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,500",1.85,17.6,"15,000","1,580.00","1,500",214.45,239.75,"1,125",-,-,-,-,-,-,
,128,6,213,43.84,6.00,0.65,750,4.55,6.5,"15,375","1,600.00","3,750",235.35,250.5,"1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,500",1.55,11.0,"1,500","1,620.00","2,625",254.6,273.05,"1,125",-,-,-,-,-,-,
,5,-1,6,39.38,2.05,-3.95,"1,875",2.1,6.0,"1,500","1,640.00","2,625",274.8,288.8,"1,125",-,322.00,-,-,-,1,
,10,-,1,44.02,2.10,-0.45,375,1.5,3.45,375,"1,680.00","2,625",313.3,325.75,"1,125",-,-,-,-,-,-,
