Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,680.00","1,600",1.15,3.40,"1,600",-2.60,3.00,49.30,13,-5,26,
,-,-,-,-,-,-,"2,800",353.65,370.60,"1,600","1,720.00",400,2.8,6.15,"1,600",-19.95,5.00,49.42,42,16,16,
,-,-,-,-,-,-,"1,200",314.85,336.10,"1,600","1,760.00",400,4.3,11.25,"12,000",2.60,7.45,48.74,2,-,55,
-,-,-,-,-,-,-,-,-,-,-,"1,780.00",800,2.05,16.65,"1,600",-,5.75,-,-,-,1,
,-,-,-,-,-,-,"2,800",278.95,299.35,"1,200","1,800.00",400,7.55,10.00,400,-4.35,9.00,45.73,610,-106,137,
,-,-,-,-,-,-,"2,000",236.50,279.65,"2,000","1,840.00","2,000",3.05,-,-,-,10.75,-,-,-,4,
,-,-,-,-,-,-,"1,200",211.25,259.75,"2,000","1,860.00",800,3.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",193.15,239.85,"2,000","1,880.00",800,3.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",191.75,211.40,"1,200","1,900.00",400,21.05,24.00,800,-6.20,21.55,43.57,384,-40,164,
,-,-,-,-,-,-,"1,200",161.95,207.80,"1,200","1,920.00",400,7.1,-,-,-,6.20,-,-,-,1,
,-,-,-,-,-,-,"1,200",144.25,187.90,"1,200","1,940.00","1,600",11.3,-,-,10.10,28.10,41.74,3,1,3,
,-,-,-,-,-,-,"1,200",144.85,164.85,"1,200","1,960.00",400,33.7,37.30,400,-9.50,34.70,42.48,50,14,42,
,-,-,-,-,-,-,"2,000",124.60,155.35,"1,600","1,980.00",400,35.3,-,-,2.85,24.60,-,-,-,14,
,66,61,153,39.02,123.95,0.40,400,120.25,139.65,"1,200","2,000.00",400,46.7,48.00,"2,000",-10.35,46.65,41.87,495,24,319,
,6,1,1,32.03,98.65,-40.95,"1,200",94.00,132.70,400,"2,020.00","1,600",39.55,-,-,27.05,50.00,39.60,1,1,3,
,9,3,21,37.38,96.55,-20.35,"4,000",86.30,113.15,"2,800","2,040.00","1,200",45.85,78.90,"2,800",9.55,57.05,39.01,6,4,9,
,-,-,-,-,-,-,"1,200",73.40,-,-,"2,060.00",800,61.2,85.85,"1,200",-,33.00,-,-,-,4,
,12,12,34,39.62,79.85,11.25,"5,200",68.80,90.70,"4,000","2,080.00",400,71.5,84.55,400,-9.20,80.00,41.13,41,6,18,
,417,210,"1,164",39.61,70.55,-1.05,400,70.80,71.75,"1,200","2,100.00","1,600",83.3,100.30,"2,000",-13.95,90.75,41.20,252,-5,183,
,27,-1,10,37.72,58.35,-3.00,400,60.25,76.90,"1,200","2,120.00",400,94.8,111.75,400,4.70,121.60,51.08,5,-1,20,
,4,-1,9,37.43,50.15,-3.30,400,39.55,70.25,400,"2,140.00","1,200",90.2,139.55,"2,800",-,-,-,-,-,-,
,90,-1,59,38.68,45.60,-2.80,400,47.00,49.80,400,"2,160.00","1,200",120.2,134.25,400,-3.30,134.00,44.88,16,-4,33,
,4,-2,11,38.77,39.55,-1.95,400,31.80,54.10,400,"2,180.00",400,132.0,150.60,"1,200",6.30,147.00,44.72,15,5,18,
,576,162,"1,783",39.79,35.75,-1.15,400,35.60,36.50,800,"2,200.00","1,600",150.15,161.70,"1,200",-12.95,161.30,44.95,10,-3,95,
,24,-,-,-,29.70,-,"1,600",17.85,-,-,"2,220.00","1,200",151.05,184.95,"1,600",76.05,182.95,49.08,3,-1,5,
,58,-4,7,38.97,25.05,-2.75,400,25.10,30.00,"1,600","2,240.00","1,600",179.15,193.55,400,-1.60,197.90,-,-,-,22,
,94,3,136,39.43,21.90,-1.60,400,17.75,26.90,400,"2,260.00","1,600",194.4,211.40,"2,000",-,211.35,-,-,-,2,
,14,14,15,39.75,18.95,-5.75,"2,800",9.40,-,-,"2,280.00","1,200",194.05,235.05,"1,200",-,-,-,-,-,-,
,304,38,365,39.76,16.00,-1.05,400,16.10,19.95,400,"2,300.00","1,600",228.45,245.50,"2,000",-,-,-,-,-,-,
,26,8,9,39.81,13.50,-0.40,"4,000",10.25,30.05,400,"2,320.00",400,242.2,268.00,"1,200",-,119.10,-,-,-,5,
,3,-,-,-,41.50,-,"3,200",3.80,-,-,"2,340.00","1,200",254.5,285.75,"2,000",-,-,-,-,-,-,
,29,-4,9,41.84,11.30,0.35,400,7.95,14.80,400,"2,360.00","1,600",281.65,300.20,"2,000",-,-,-,-,-,-,
,9,-,-,-,15.50,-,"8,000",3.15,-,-,"2,380.00","1,200",294.95,324.85,"2,000",-,-,-,-,-,-,
,229,6,177,41.05,7.35,-0.55,400,7.00,8.25,800,"2,400.00","1,200",318.85,336.75,"1,200",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",3.55,12.10,"1,600","2,420.00","1,600",335.9,359.65,"2,800",-,-,-,-,-,-,
,68,-,56,42.61,6.00,-0.25,800,4.20,6.60,400,"2,440.00","1,200",356.7,375.20,"1,200",-,-,-,-,-,-,
,102,31,78,43.05,5.25,0.05,"1,200",4.15,7.75,"12,000","2,460.00","1,200",376.3,394.30,"2,000",-,-,-,-,-,-,
,43,-19,53,43.68,4.70,0.65,400,4.30,12.60,"12,000","2,480.00","1,600",396.35,414.35,"2,800",-,-,-,-,-,-,
,32,-20,169,42.89,3.55,0.05,400,3.70,4.40,400,"2,500.00","1,600",414.25,431.30,"2,800",-,300.00,-,-,-,1,
,68,7,45,45.16,3.90,0.45,400,3.30,3.90,800,"2,520.00","1,200",428.6,452.65,"1,200",-,-,-,-,-,-,
,141,-27,184,44.25,2.90,-0.10,400,2.50,3.45,"1,200","2,540.00","1,600",453.15,471.90,"1,200",-,-,-,-,-,-,
,73,-23,147,43.46,2.15,-0.10,"5,600",2.10,2.65,400,"2,560.00","1,200",468.65,491.90,"1,200",-,-,-,-,-,-,
