Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,"1,180.00","1,750",1.05,1.45,350,-0.40,1.45,41.42,8,-4,178,
,-,-,-,-,-,-,"2,450",218.10,229.10,"1,750","1,200.00",350,1.35,2.50,"1,400",-0.50,1.50,38.49,15,2,92,
-,-,-,-,-,-,-,-,-,-,-,"1,220.00",350,0.80,4.80,350,-,2.75,-,-,-,16,
,1,-,-,-,247.75,-,"1,050",177.50,190.40,350,"1,240.00","10,850",1.15,4.70,"14,000",-3.20,2.75,36.29,26,8,10,
,-,-,-,-,-,-,"1,050",158.05,169.80,"1,750","1,260.00",350,3.00,3.30,700,-0.70,3.05,33.65,78,40,89,
,1,1,2,32.34,147.00,-109.30,"1,050",140.70,151.50,"1,750","1,280.00",350,3.95,4.35,350,-0.10,4.10,32.43,323,17,87,
,2,-1,1,54.77,148.75,-18.25,"2,450",121.05,132.85,"1,750","1,300.00","10,500",4.90,6.50,350,0.15,5.50,31.20,"1,431",1,450,
,7,1,1,39.79,119.00,-25.75,"2,450",103.55,116.65,350,"1,320.00","10,500",7.00,10.15,"7,000",0.50,7.75,30.47,141,25,96,
,26,2,4,30.49,94.75,-21.10,350,91.35,101.75,"1,050","1,340.00",350,9.75,13.65,350,0.80,10.55,29.50,197,-18,146,
,15,2,7,43.01,94.15,-13.60,350,75.35,84.15,"1,050","1,360.00",350,14.05,15.05,350,2.30,14.60,28.88,308,30,236,
,11,2,4,29.24,64.55,-58.25,"1,400",57.95,72.40,"1,400","1,380.00",350,18.80,24.00,"1,050",3.90,20.55,28.84,134,17,148,
,227,2,127,28.85,51.70,-16.65,350,50.05,53.05,350,"1,400.00",350,25.00,29.00,350,5.40,27.00,28.03,677,-7,511,
,228,60,270,28.50,40.45,-19.55,350,39.00,40.90,350,"1,420.00",350,33.10,36.45,350,8.25,36.50,28.35,299,12,163,
,345,59,446,28.25,30.95,-13.85,350,30.05,32.95,350,"1,440.00","1,400",42.85,50.00,350,11.20,48.25,29.12,398,-12,203,
,429,79,581,28.51,23.70,-11.80,700,23.10,25.00,700,"1,460.00","1,400",56.25,62.45,350,11.30,58.65,27.67,212,-3,128,
,199,19,255,28.83,17.95,-9.65,350,17.55,18.70,350,"1,480.00","1,400",70.55,75.05,350,16.10,75.05,29.84,69,-1,236,
,"1,045",40,916,29.14,13.40,-7.50,350,13.00,13.60,"6,300","1,500.00","1,050",86.10,95.20,"1,050",16.05,88.55,28.52,78,-1,545,
,260,-32,388,29.57,10.00,-5.85,350,9.35,12.05,"7,000","1,520.00","1,750",101.80,109.00,350,24.80,105.00,28.82,5,-1,135,
,342,59,301,29.87,7.30,-4.50,350,6.45,7.70,700,"1,540.00","1,050",119.00,127.20,"1,400",23.25,119.20,24.47,9,4,39,
,301,-19,414,30.67,5.60,-3.35,"9,100",5.25,6.70,"7,000","1,560.00","1,400",137.90,149.50,"1,050",-,102.70,-,-,-,21,
,121,-59,214,30.88,4.00,-2.65,350,4.05,4.25,350,"1,580.00","1,750",156.25,162.45,700,54.20,158.30,28.79,12,2,10,
,494,-13,366,32.07,3.25,-1.80,350,3.05,3.25,"1,400","1,600.00","1,400",174.95,180.75,350,29.45,175.80,23.41,8,-,173,
,94,-3,39,32.66,2.45,-1.40,350,2.40,2.60,350,"1,620.00","1,400",194.25,202.20,"1,400",60.65,200.00,38.06,10,1,17,
,41,8,19,35.49,2.60,-0.45,350,1.60,4.20,"14,000","1,640.00","1,750",214.10,227.15,"1,050",-,154.70,-,-,-,2,
,49,5,25,32.97,1.20,-1.30,"1,050",1.00,1.45,350,"1,660.00","1,750",231.50,244.10,"1,050",-,192.25,-,-,-,2,
,39,-2,19,34.09,1.00,-1.50,"19,950",0.60,2.50,350,"1,680.00","1,750",251.05,263.70,"1,050",-,-,-,-,-,-,
,301,8,57,37.85,1.35,-0.50,"1,050",0.95,1.30,"1,050","1,700.00","1,750",270.60,283.05,"1,050",-,265.00,-,-,-,2,
,-,-,-,-,-,-,350,0.45,3.55,"2,100","1,720.00","1,750",290.30,304.70,"2,450",-,-,-,-,-,-,
,12,-,-,-,1.35,-,350,0.35,6.25,"1,050","1,760.00",-,-,-,-,-,-,-,-,-,-,-
,15,-,-,-,0.25,-,350,0.35,1.85,"1,050","1,800.00",-,-,-,-,-,-,-,-,-,-,-
