Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,420.0,"17,615",0.15,0.45,"1,355",-0.10,0.3,76.82,6,-3,3,
-,-,-,-,-,-,-,-,-,-,-,440.0,"27,100",0.15,0.45,"1,355",-,0.4,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,450.0,"14,905",0.2,0.5,"2,710",-,0.25,64.23,4,-2,45,
-,-,-,-,-,-,-,-,-,-,-,460.0,"55,555",0.1,2.8,"9,485",-,0.6,-,-,-,10,
-,-,-,-,-,-,-,-,-,-,-,470.0,"55,555",0.1,0.95,"1,355",-,1.0,-,-,-,3,
,1,-,-,-,74.00,-,"9,485",162.95,169.75,"4,065",480.0,"4,065",0.25,0.4,"18,970",0.05,0.3,55.23,26,-19,144,
,8,-,-,-,140.00,-,"4,065",153.10,158.25,"5,420",490.0,"1,355",0.25,0.45,"2,710",-,0.45,-,-,-,33,
,22,-,-,-,138.50,-,"18,970",143.60,146.90,"2,710",500.0,"20,325",0.35,0.45,"6,775",-0.05,0.35,49.56,59,-30,396,
,5,-,-,-,73.50,-,"13,550",133.50,139.50,"4,065",510.0,"8,130",0.4,0.75,"1,355",-0.10,0.4,47.11,10,-,137,
,34,-1,3,-,122.20,-4.80,"13,550",123.55,127.10,"1,355",520.0,"1,355",0.45,0.6,"2,710",-0.05,0.45,44.54,33,3,330,
,19,-,-,-,115.00,-,"6,775",113.90,116.75,"5,420",530.0,"1,355",0.55,0.65,"2,710",0.05,0.65,43.69,13,-2,206,
,182,-4,4,-,102.10,1.65,"6,775",103.90,108.15,"1,355",540.0,"1,355",0.65,0.8,"10,840",-,0.75,41.22,55,-8,369,
,269,1,1,-,95.00,-3.00,"18,970",94.20,98.00,"1,355",550.0,"9,485",0.85,0.9,"1,355",-0.05,0.9,38.99,672,-275,979,
,448,-14,22,-,74.65,-12.15,"1,355",85.00,89.30,"5,420",560.0,"14,905",1.1,1.2,"1,355",-0.10,1.15,37.18,130,23,512,
,345,-13,17,-,76.30,-0.10,"5,420",75.10,79.70,"5,420",570.0,"5,420",1.45,1.5,"1,355",-0.05,1.5,35.48,175,11,500,
,864,-1,36,25.48,67.85,-0.70,"1,355",66.20,69.00,"5,420",580.0,"5,420",2.0,2.1,"2,710",0.05,2.05,34.15,499,-59,644,
,160,-5,20,-,55.70,-2.55,"1,355",57.20,61.00,"1,355",590.0,"4,065",2.85,3.05,"2,710",0.05,2.9,33.18,256,6,308,
,717,10,184,27.40,49.90,-0.50,"2,710",48.65,50.45,"1,355",600.0,"2,710",4.05,4.3,"1,355",0.20,4.2,32.59,"1,263",27,"1,240",
,472,16,118,28.09,41.80,0.05,"2,710",40.25,42.60,"1,355",610.0,"2,710",5.7,5.95,"2,710",0.05,5.75,31.54,554,15,502,
,747,30,252,27.24,33.75,-0.45,"2,710",32.85,35.45,"1,355",620.0,"1,355",8.05,8.5,"14,905",0.30,8.2,31.29,893,81,792,
,648,-3,446,26.92,26.65,-1.00,"4,065",26.15,26.90,"2,710",630.0,"6,775",11.0,11.5,"2,710",0.35,11.2,30.78,"1,200",-43,669,
,794,107,"1,350",26.74,20.50,-0.85,"1,355",19.30,20.70,"39,295",640.0,"2,710",14.6,15.15,"1,355",0.35,15.0,30.34,"1,392",2,724,
,793,40,"1,530",26.99,15.55,-0.60,"2,710",15.00,16.20,"4,065",650.0,"1,355",19.05,20.4,"1,355",0.45,19.8,30.20,534,40,330,
,434,26,"1,032",26.77,11.25,-0.55,"1,355",10.80,11.75,"1,355",660.0,"1,355",23.4,26.2,"2,710",0.75,25.8,30.67,76,-,132,
,380,-33,736,26.82,8.00,-0.40,"1,355",8.00,8.40,"1,355",670.0,"4,065",29.25,34.1,"4,065",0.90,32.35,30.77,6,-,3,
,699,-76,"1,198",27.22,5.70,-0.20,"1,355",5.60,6.20,"4,065",680.0,"1,355",38.2,41.8,"5,420",1.60,40.95,33.48,2,-,32,
,220,11,500,27.00,3.75,-0.35,"4,065",3.75,4.00,"2,710",690.0,"1,355",45.85,50.1,"4,065",-0.65,47.3,30.61,4,-,4,
,500,-35,854,27.51,2.60,-0.25,"2,710",2.60,2.70,"4,065",700.0,"8,130",54.75,58.2,"5,420",1.85,56.8,33.60,30,15,33,
,141,22,165,28.45,1.90,-,"1,355",1.75,2.25,"4,065",710.0,"1,355",63.4,67.3,"1,355",-11.05,69.1,43.16,1,-,1,
,175,12,555,28.40,1.20,-0.15,"1,355",1.15,1.35,"2,710",720.0,"4,065",72.05,77.65,"4,065",-,77.25,-,-,-,-,
