Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,6,-,-,-,99.00,-,"4,600",102.95,106.2,"8,050",340.0,"3,450",0.3,0.4,"3,450",-,0.35,54.56,74,-35,290,
,-,-,-,-,-,-,"8,050",83.0,87.1,"3,450",360.0,"19,550",0.4,0.5,"26,450",-0.10,0.5,47.11,75,-8,434,
,36,-,-,-,73.40,-,"1,150",73.25,76.65,"4,600",370.0,"10,350",0.6,0.7,"24,150",-0.10,0.65,43.98,53,-7,308,
,51,-,1,-,65.55,-0.45,"8,050",64.2,66.9,"2,300",380.0,"10,350",0.9,0.95,"6,900",-0.10,0.95,41.77,221,-35,814,
,105,-,4,-,55.55,-0.50,"1,150",55.35,56.7,"1,150",390.0,"5,750",1.35,1.4,"8,050",-0.15,1.35,39.28,312,-65,491,
,323,-7,116,24.50,46.15,-1.95,"1,150",45.75,47.2,"2,300",400.0,"1,150",2.0,2.05,"3,450",-0.25,2.0,37.17,"1,040",96,"2,184",
,319,-1,5,30.65,37.85,-1.55,"9,200",36.45,38.4,"2,300",410.0,"3,450",3.15,3.25,"3,450",-0.10,3.2,36.04,992,87,"1,143",
,617,-10,63,30.73,29.65,-1.20,"1,150",28.45,30.15,"3,450",420.0,"2,300",4.9,5.0,"2,300",-0.10,4.95,34.84,"1,257",71,"2,134",
,"1,924",-57,257,30.12,22.15,-1.20,"1,150",22.05,22.6,"2,300",430.0,"1,150",7.45,7.55,"1,150",0.05,7.5,33.80,983,-4,"2,057",
,"2,506",-102,"1,511",30.46,16.10,-0.80,"1,150",15.95,16.1,"1,150",440.0,"1,150",11.15,11.3,"1,150",0.10,11.3,33.53,"1,702",78,"1,933",
,"3,971",12,"2,847",30.37,11.10,-0.80,"1,150",11.1,11.2,"1,150",450.0,"1,150",15.9,16.45,"1,150",0.20,16.2,33.28,830,58,"1,651",
,"2,694",162,"1,794",30.69,7.45,-0.60,"3,450",7.4,7.5,"1,150",460.0,"1,150",22.15,23.2,"1,150",0.45,22.5,33.80,191,-5,"1,200",
,"1,690",73,"1,327",31.23,4.90,-0.50,"21,850",4.9,5.0,"8,050",470.0,"1,150",29.4,30.95,"1,150",0.30,29.2,32.81,15,-3,257,
,"2,387",-22,"1,362",32.15,3.25,-0.25,"1,150",3.2,3.25,"6,900",480.0,"1,150",37.65,38.35,"1,150",0.85,38.1,36.07,32,4,563,
,815,13,402,33.34,2.20,-0.20,"6,900",2.1,2.2,"2,300",490.0,"8,050",45.7,48.1,"2,300",-0.05,46.9,37.72,7,-,441,
,"4,654",75,"1,190",34.82,1.55,-0.15,"5,750",1.5,1.55,"4,600",500.0,"1,150",55.85,56.55,"2,300",0.25,56.1,39.70,16,-4,"1,749",
,551,26,201,35.86,1.05,-0.15,"14,950",1.0,1.1,"11,500",510.0,"4,600",64.35,66.75,"1,150",2.75,65.75,42.95,4,-3,145,
,706,-40,343,37.22,0.75,-0.10,"23,000",0.7,0.75,"6,900",520.0,"8,050",74.0,77.2,"2,300",-,72.75,-,-,-,187,
,253,-9,87,40.65,0.45,-,"5,750",0.4,0.45,"4,600",540.0,"4,600",93.55,95.8,"4,600",-,100.0,-,-,-,36,
,286,6,51,43.07,0.25,-0.05,"35,650",0.2,0.3,"20,700",560.0,"4,600",113.4,116.5,"1,150",-,126.0,-,-,-,8,
