Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
,2,-,-,-,376.00,-,"1,200",353.35,362.0,"1,500","1,000.00",300,0.70,1.00,"1,800",0.15,0.95,59.77,22,-2,364,
,4,-,-,-,373.50,-,"1,200",333.05,338.15,"1,200","1,020.00",300,0.45,2.00,"1,500",-,1.30,-,-,-,4,
,3,-,-,-,336.30,-,"1,200",313.15,323.15,"1,200","1,040.00",300,0.60,2.00,300,-,1.20,-,-,-,52,
,-,-,-,-,-,-,"1,200",294.1,303.45,"1,200","1,060.00","1,200",0.55,2.00,"1,500",-,0.40,-,-,-,1,
,8,-,-,-,297.50,-,"1,200",273.9,283.15,"1,200","1,080.00",300,1.00,1.80,300,-0.15,1.20,48.18,50,10,141,
,47,1,5,-,254.40,-28.95,"1,200",254.25,261.0,"1,200","1,100.00","3,000",2.00,2.20,300,0.70,2.15,49.58,"1,238",354,"1,024",
,29,-,13,-,235.30,-21.15,"1,200",234.7,241.35,300,"1,120.00",300,2.20,2.50,300,0.95,2.40,47.00,311,32,639,
,17,2,2,-,214.05,-16.45,"1,200",215.6,224.0,"1,500","1,140.00",300,2.95,4.30,"6,000",-0.25,3.45,46.79,72,8,89,
,40,3,10,-,196.95,-17.30,"1,200",196.6,204.8,"1,500","1,160.00",300,3.80,4.00,900,1.20,3.75,43.86,500,54,362,
,21,4,5,-,178.65,-18.60,"1,200",177.8,185.85,300,"1,180.00",600,4.65,5.65,300,0.60,4.90,42.74,90,13,137,
,159,-3,23,27.89,159.95,-44.15,300,159.15,164.55,300,"1,200.00","3,300",5.95,6.25,600,1.85,6.15,41.21,"3,424",125,"1,140",
,57,6,15,34.20,143.60,-71.80,300,141.2,149.25,"2,100","1,220.00",300,7.70,8.50,300,2.40,7.85,39.89,348,26,237,
,163,5,23,31.07,124.15,-39.15,300,123.55,131.75,900,"1,240.00",300,9.95,10.90,300,2.95,9.90,38.44,845,50,406,
,166,1,64,31.67,107.45,-41.60,"1,200",106.6,112.1,600,"1,260.00",300,11.35,13.20,"5,400",4.40,13.05,37.65,526,80,522,
,217,-13,66,31.19,91.00,-38.00,"1,200",90.4,97.65,300,"1,280.00",300,14.50,18.00,300,5.75,17.00,36.86,574,-7,381,
,"1,346",-,269,34.83,80.05,-34.70,300,79.4,80.05,300,"1,300.00",300,21.80,22.35,600,8.15,22.35,36.47,"3,620",335,"1,826",
,396,4,163,33.50,65.40,-35.95,600,63.25,70.55,"2,700","1,320.00",300,24.60,29.75,300,10.40,28.20,35.53,"1,298",5,514,
,680,40,461,34.05,54.30,-29.65,300,52.05,55.0,"1,800","1,340.00",600,32.95,38.80,300,13.65,36.25,35.39,"2,116",153,726,
,"1,053",106,"1,642",34.00,43.90,-26.15,300,43.6,43.95,300,"1,360.00",600,41.85,45.95,300,16.95,45.95,35.47,"3,234",141,729,
,957,248,"2,938",34.11,35.15,-22.45,300,34.7,35.2,600,"1,380.00",600,54.50,58.75,300,19.70,56.50,35.14,"2,318",38,832,
,"2,910",765,"5,930",34.43,28.00,-19.00,300,28.0,28.3,"1,200","1,400.00","2,700",68.60,70.00,"1,200",24.15,69.95,36.07,"2,504",50,"1,030",
,"1,234",260,"2,056",35.02,22.40,-15.15,"1,200",22.1,22.5,300,"1,420.00","3,600",79.70,85.90,300,27.60,84.00,36.56,585,-72,324,
,"1,299",79,"2,059",35.58,17.80,-12.75,300,17.45,18.0,900,"1,440.00","3,000",96.80,103.45,300,30.40,99.35,37.31,154,-9,378,
,955,174,"1,705",36.10,14.05,-9.80,600,13.55,14.45,300,"1,460.00",600,113.20,119.45,300,31.35,113.70,36.18,218,87,343,
,744,156,916,36.92,11.30,-7.60,300,10.05,13.0,600,"1,480.00","3,000",128.55,137.75,300,34.85,132.55,38.97,50,9,66,
,"3,712",521,"3,213",37.87,9.20,-5.75,600,9.15,9.8,"1,200","1,500.00",600,148.95,155.00,300,36.95,148.70,38.07,61,25,464,
,711,105,626,38.48,7.30,-4.35,300,7.0,7.45,300,"1,520.00",300,165.20,173.05,600,39.05,169.30,42.40,14,7,53,
,545,3,501,39.01,5.75,-3.35,300,5.75,7.05,"6,000","1,540.00",300,182.75,193.40,"2,100",4.95,153.95,-,4,1,125,
,389,85,335,40.00,4.75,-2.40,300,4.55,4.8,300,"1,560.00",300,202.40,210.65,"1,200",20.45,155.80,-,2,-1,26,
,430,-7,299,40.16,3.60,-2.10,300,3.6,3.85,300,"1,580.00","1,200",220.45,229.85,"1,200",-,171.25,-,-,-,27,
,"2,167",208,"1,474",41.69,3.20,-1.30,"1,800",3.15,3.25,900,"1,600.00","1,200",239.65,249.50,"1,500",-,174.40,-,-,-,108,
,171,5,56,42.07,2.50,-1.15,600,2.3,2.65,300,"1,620.00",300,259.20,268.55,"1,200",29.55,270.10,59.91,1,1,19,
