Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,170.0,"1,38,000",0.20,0.30,"6,000",-0.10,0.25,63.85,224,-133,317,
,16,-1,1,94.08,54.00,3.70,"16,000",49.90,51.70,"4,000",180.0,"18,000",0.45,0.50,"18,000",-0.05,0.50,60.40,132,4,676,
,23,-,-,-,40.15,-,"10,000",44.70,47.60,"6,000",185.0,"28,000",0.25,0.60,"2,000",-0.15,0.40,52.58,35,7,160,
,39,-,2,-,39.35,-6.35,"2,000",40.75,42.00,"4,000",190.0,"20,000",0.70,0.80,"22,000",-0.15,0.75,53.82,481,58,654,
,22,-,1,69.31,38.80,-0.80,"2,000",36.05,37.30,"8,000",195.0,"6,000",0.95,1.00,"6,000",-0.15,1.00,51.51,120,-23,264,
,375,-12,112,39.51,31.60,-1.85,"2,000",31.70,33.20,"22,000",200.0,"4,000",1.35,1.45,"18,000",-0.15,1.40,49.91,"1,111",121,"2,376",
,156,10,26,39.29,27.05,-2.05,"2,000",27.00,28.05,"6,000",205.0,"10,000",1.75,1.85,"14,000",-0.20,1.80,47.15,573,-8,639,
,381,8,46,40.84,22.95,-1.90,"6,000",22.70,23.35,"2,000",210.0,"12,000",2.45,2.60,"6,000",-0.30,2.50,45.65,"1,139",20,"1,757",
,334,6,52,40.12,18.90,-1.85,"2,000",18.75,19.60,"6,000",215.0,"4,000",3.35,3.40,"8,000",-0.35,3.35,43.70,915,-26,"1,163",
,"1,061",-490,"1,620",39.51,15.20,-1.90,"2,000",15.30,15.55,"2,000",220.0,"4,000",4.65,4.70,"6,000",-0.35,4.70,43.01,"2,122",42,"1,541",
,487,8,551,40.61,12.25,-1.65,"4,000",12.20,12.30,"2,000",225.0,"4,000",6.40,6.50,"2,000",-0.30,6.50,42.73,"1,700",40,791,
,"1,156",142,"3,230",40.93,9.60,-1.45,"6,000",9.55,9.65,"4,000",230.0,"4,000",8.60,8.75,"6,000",-0.20,8.80,42.85,"3,569",-66,"1,209",
,"1,326",169,"4,226",41.29,7.40,-1.30,"2,000",7.35,7.45,"8,000",235.0,"2,000",11.35,11.50,"2,000",-0.05,11.45,42.65,"2,293",-123,599,
,"3,049",164,"5,339",41.36,5.55,-1.20,"24,000",5.55,5.60,"8,000",240.0,"2,000",14.35,14.65,"2,000",0.10,14.70,43.39,690,-39,769,
,"1,155",54,"2,460",42.06,4.20,-0.95,"12,000",4.15,4.25,"10,000",245.0,"22,000",17.30,18.75,"2,000",0.30,18.30,44.16,178,4,342,
,"2,982",241,"3,140",42.75,3.15,-0.75,"16,000",3.10,3.15,"10,000",250.0,"2,000",21.85,22.50,"6,000",0.50,22.15,44.68,54,12,852,
,868,43,999,43.45,2.35,-0.60,"10,000",2.25,2.35,"10,000",255.0,"2,000",25.90,26.75,"2,000",1.40,27.10,50.50,13,-,64,
,"3,616",139,"1,575",43.80,1.70,-0.45,"22,000",1.65,1.70,"32,000",260.0,"2,000",30.35,31.10,"4,000",1.15,31.00,48.98,41,-1,235,
,831,29,751,44.94,1.30,-0.40,"14,000",1.25,1.35,"12,000",265.0,"2,000",34.40,35.85,"6,000",1.40,35.85,53.05,22,10,46,
,"1,177",-65,761,46.08,1.00,-0.35,"38,000",0.95,1.05,"28,000",270.0,"2,000",39.60,40.45,"6,000",2.20,41.15,60.28,12,7,299,
,428,-21,204,46.88,0.75,-0.25,"6,000",0.75,0.80,"8,000",275.0,"6,000",43.80,45.25,"2,000",8.90,45.70,61.49,2,-,83,
,"1,115",-4,915,48.28,0.60,-0.20,"1,40,000",0.55,0.60,"70,000",280.0,"2,000",48.85,49.95,"2,000",4.40,50.00,59.54,19,5,135,
,206,13,94,50.87,0.55,-0.10,"4,000",0.45,0.55,"12,000",285.0,-,-,-,-,-,-,-,-,-,-,-
,390,47,271,51.13,0.40,-0.10,"1,72,000",0.35,0.40,"22,000",290.0,"2,000",58.35,59.80,"8,000",0.90,56.00,-,3,-,17,
,46,-,-,-,0.50,-,"26,000",0.20,0.40,"8,000",295.0,-,-,-,-,-,-,-,-,-,-,-
,"2,760",71,371,54.60,0.30,-0.10,"4,20,000",0.30,0.35,"3,08,000",300.0,"2,000",68.60,69.80,"4,000",3.10,66.20,-,20,-13,113,
,84,4,8,58.56,0.25,-,"2,000",0.25,0.30,"30,000",310.0,"6,000",78.30,80.30,"14,000",-,91.00,-,-,-,2,
,1,-,-,-,1.75,-,-,-,1.15,"14,000",315.0,-,-,-,-,-,-,-,-,-,-,-
,59,-1,1,61.80,0.20,-,"16,000",0.15,0.25,"30,000",320.0,"6,000",88.15,90.20,"14,000",-,98.00,-,-,-,4,
,188,-15,24,65.43,0.10,-0.10,"56,000",0.10,0.15,"20,000",340.0,-,-,-,-,-,-,-,-,-,-,-
