Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,800.00,"9,000",0.25,0.35,900,-0.30,0.30,42.30,34,-,228,
-,-,-,-,-,-,-,-,-,-,-,810.00,"3,600",0.3,0.6,900,-0.80,0.55,43.77,14,12,23,
,-,-,-,-,-,-,"2,700",187.45,200.50,"3,600",820.00,900,0.15,4.35,"3,600",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,700",167.15,177.05,"3,600",840.00,900,0.6,0.9,900,-0.90,0.75,39.36,85,-27,172,
-,-,-,-,-,-,-,-,-,-,-,850.00,"3,600",0.75,0.85,"34,200",-1.25,0.80,37.62,188,3,112,
,9,-,-,-,120.00,-,"2,700",147.40,157.45,"3,600",860.00,900,1.0,1.7,900,-1.30,1.20,38.05,172,-10,96,
,-,-,-,-,-,-,"2,700",138.25,147.80,"2,700",870.00,"2,700",1.1,1.4,"2,700",-1.70,1.40,36.86,52,-5,45,
,1,-,-,-,90.05,-,"2,700",128.55,137.75,"3,600",880.00,900,1.2,1.7,900,-2.45,1.40,34.58,250,-70,115,
,5,-,-,-,81.25,-,"2,700",120.20,127.85,"2,700",890.00,900,1.55,1.7,"1,800",-3.25,1.50,32.75,352,6,140,
,58,-,16,31.78,115.00,28.80,900,112.85,116.20,900,900.00,"7,200",1.95,2.1,"5,400",-3.90,2.00,32.37,"1,937",-33,346,
,23,-,3,41.64,110.00,34.00,900,103.35,106.75,900,910.00,"2,700",2.35,2.55,900,-4.65,2.40,31.27,344,-21,94,
,16,-2,2,-,82.50,12.50,900,94.15,99.50,"3,600",920.00,900,2.95,3.1,900,-5.70,3.05,30.59,"1,087",15,195,
,20,-1,3,-,78.85,16.30,900,84.90,88.50,900,930.00,900,3.7,3.9,900,-7.15,3.75,29.66,728,-21,160,
,65,1,68,34.24,81.10,27.10,900,75.65,79.35,"1,800",940.00,900,4.25,4.7,"3,600",-8.75,4.65,28.80,"1,365",-47,325,
,126,-30,202,27.48,68.95,22.90,"1,800",67.25,71.40,"1,800",950.00,900,5.6,6.15,900,-10.10,6.25,28.76,"1,589",-33,332,
,273,-39,296,26.25,60.10,20.35,900,59.20,64.25,"7,200",960.00,900,7.5,8.0,900,-12.25,7.50,27.63,"1,838",30,353,
,164,-305,"1,035",26.04,52.25,18.05,"1,800",50.00,53.35,"1,800",970.00,900,8.95,9.95,900,-14.60,9.60,27.27,"1,759",-23,298,
,338,-489,"2,749",25.54,44.65,15.50,900,44.00,47.90,"1,800",980.00,900,11.5,12.75,900,-16.05,12.15,26.91,"2,920",174,494,
,185,-175,"2,620",25.61,38.05,13.65,"2,700",36.20,39.00,900,990.00,900,14.9,15.5,900,-19.25,15.20,26.54,"2,185",118,231,
,871,-832,"16,529",25.76,32.15,11.55,900,31.65,32.65,900,"1,000.00",900,19.05,19.85,"1,800",-20.05,19.20,26.60,"4,865",397,695,
,292,75,"5,383",26.03,27.00,10.20,"9,000",25.80,26.95,900,"1,010.00","1,800",21.5,24.95,900,-24.90,21.50,24.25,"1,729",104,124,
,795,387,"9,724",26.63,22.80,8.90,"6,300",22.25,22.85,900,"1,020.00",900,28.7,30.6,"1,800",-25.20,29.90,27.62,"1,767",184,205,
