CALLS\,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,-,-,-,-,-,330,"2,000",0.15,0.5,"1,000",-,0.2,-,-,-,9
-,-,-,-,-,-,-,-,-,-,-,340,"6,000",0.05,0.6,"1,000",-,0.95,-,-,-,6
,1,-,2,89.23,125,60,"1,000",118.9,122.4,"4,000",350,"1,000",0.2,0.45,"2,000",-0.45,0.2,54.68,2,-1,52
-,-,-,-,-,-,-,-,-,-,-,355,"1,000",0.15,1.5,"1,000",-,0.25,-,-,-,10
,2,-,-,-,86.5,-,"4,000",109.3,112.6,"4,000",360,"1,000",0.35,0.7,"1,000",-0.1,0.55,-,-,-,68
,-,-,-,-,-,-,"12,000",104,108.3,"4,000",365,"1,000",0.25,1.55,"1,000",-,-,-,-,-,-
,4,-,-,-,90.35,-,"4,000",99.6,102.65,"4,000",370,"5,000",0.3,0.6,"1,000",-0.45,0.55,53.05,5,-,49
,-,-,-,-,-,-,"4,000",94.5,99.25,"7,000",375,"1,000",0.25,2.4,"50,000",-,1.1,-,-,-,5
,9,-,-,-,70.55,-,"4,000",89.25,92.8,"4,000",380,"24,000",0.65,0.7,"1,000",-0.2,0.7,50.14,66,-12,305
,-,-,-,-,-,-,"3,000",84.6,89.25,"7,000",385,"1,000",0.3,1.95,"1,000",-,1.65,-,-,-,3
,1,-,-,-,50.5,-,"3,000",79.5,83.2,"3,000",390,"1,000",0.65,0.85,"1,000",-0.35,0.75,45.67,55,-37,74
,1,-,-,-,46.6,-,"3,000",74.75,79.5,"7,000",395,"1,000",0.4,2.45,"50,000",-,1.4,-,-,-,25
,29,-8,30,55.56,75.05,6.4,"2,000",70.05,72.7,"1,000",400,"4,000",0.85,0.9,"38,000",-0.4,0.85,41.64,190,-64,686
,-,-,-,-,-,-,"7,000",64.6,68.4,"3,000",405,"3,000",0.7,1.1,"1,000",-0.45,1,40.42,38,-20,101
,39,-5,6,-,62,13.5,"7,000",60,62.5,"1,000",410,"12,000",1.1,1.2,"4,000",-0.7,1.15,39,159,-3,174
,13,-,-,-,57.1,-,"6,000",55.25,58.75,"4,000",415,"3,000",1,1.5,"1,000",-0.75,1.45,38.38,18,6,52
,228,-4,11,44.84,55.55,7.85,"1,000",51.35,53.55,"1,000",420,"1,000",1.7,1.8,"1,000",-0.8,1.8,37.66,194,-13,356
,36,-1,1,-,47,1.6,"2,000",46.55,49.5,"3,000",425,"1,000",2.05,2.2,"1,000",-0.95,2.15,36.57,71,7,87
,201,-9,17,46.68,47.9,6.75,"7,000",41.55,44.35,"1,000",430,"1,000",2.55,2.65,"1,000",-1.15,2.65,35.83,338,-50,320
,25,-2,4,45.52,43.7,4.95,"1,000",37.85,40.55,"3,000",435,"1,000",3.1,3.25,"1,000",-1.25,3.25,35.06,86,-24,61
,345,-12,74,29.5,35,1,"1,000",33.8,35.6,"1,000",440,"1,000",3.85,3.95,"1,000",-1.65,3.95,34.23,447,3,311
,170,-9,37,29.49,30.95,0.05,"1,000",29.75,32.5,"10,000",445,"1,000",4.8,5,"2,000",-1.75,4.95,33.89,202,26,199
,894,-318,896,29.4,27.1,1,"3,000",26.25,27.55,"1,000",450,"1,000",5.85,6.2,"2,000",-2.05,6.15,33.57,803,-3,603
,233,-28,89,28.68,23.25,0.65,"1,000",23,24.5,"1,000",455,"30,000",6.45,8.75,"1,000",-2.3,7.55,33.23,220,31,141
,465,-365,"1,338",29.95,20.45,0.6,"2,000",20.3,20.75,"2,000",460,"30,000",8.2,9.6,"1,000",-2.3,9.5,33.64,564,-29,354
