CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,7,-,-,-,71.20,-,"10,400",58.75,62.05,"7,800",220.00,"2,600",0.20,0.90,"5,200",-,-,-,-,-,-,
,1,-,-,-,42.00,-,"7,800",44.75,52.35,"10,400",230.00,"44,200",0.25,1.50,"7,800",-,0.45,-,-,-,21,
,1,-,-,-,37.15,-,"10,400",39.45,42.70,"7,800",240.00,"5,200",1.00,1.25,"5,200",0.35,1.20,47.75,22,-7,128,
,-,-,-,-,-,-,"7,800",33.80,40.40,"7,800",245.00,"26,000",0.75,3.00,"10,400",-,5.50,-,-,-,1,
,26,2,2,57.57,34.20,-7.15,"2,600",30.60,32.70,"5,200",250.00,"2,600",1.95,2.05,"2,600",0.35,1.90,43.44,64,27,207,
,23,7,8,37.99,26.95,-5.95,"2,600",26.30,28.50,"7,800",255.00,"2,600",2.55,2.65,"2,600",0.60,2.75,43.41,23,1,150,
,36,-4,13,40.56,23.40,-4.60,"5,200",22.15,24.15,"2,600",260.00,"2,600",3.35,3.55,"2,600",0.70,3.50,41.55,62,17,219,
,15,-,-,-,25.95,-,"10,400",17.00,22.35,"10,400",265.00,"5,200",3.50,6.55,"78,000",-0.05,3.70,-,-,-,53,
,149,-3,19,37.88,15.80,-4.35,"2,600",14.65,16.20,"2,600",270.00,"72,800",5.10,6.20,"2,600",1.15,6.10,39.74,184,34,266,
,69,-2,36,37.48,12.70,-6.90,"5,200",10.80,14.65,"10,400",275.00,"54,600",6.70,8.55,"2,600",1.45,7.95,39.14,142,7,97,
,275,20,292,36.40,9.80,-3.80,"2,600",9.65,10.05,"5,200",280.00,"5,200",8.95,10.90,"2,600",1.80,10.15,38.49,317,-24,228,
,108,14,218,35.89,7.45,-3.35,"54,600",6.50,7.75,"2,600",285.00,"2,600",11.90,13.80,"2,600",2.15,12.65,37.54,38,2,89,
,724,101,609,35.98,5.65,-2.85,"2,600",5.55,6.80,"2,600",290.00,"5,200",14.85,17.10,"2,600",2.50,15.65,37.03,76,2,193,
,78,-12,137,35.61,4.10,-2.35,"2,600",4.05,4.30,"2,600",295.00,"5,200",18.00,20.15,"2,600",2.50,19.05,36.66,12,3,26,
,"1,044",31,637,35.79,3.00,-1.95,"2,600",2.95,3.10,"5,200",300.00,"2,600",22.15,23.90,"7,800",3.55,22.95,37.13,16,-3,535,
,122,1,57,35.92,2.15,-1.65,"2,600",2.10,2.30,"2,600",305.00,"7,800",25.70,28.15,"2,600",5.05,27.20,38.19,5,-3,17,
,374,71,205,36.64,1.60,-1.20,"2,600",1.55,1.70,"5,200",310.00,"13,000",30.40,32.45,"7,800",6.70,32.10,42.20,3,3,86,
,29,-1,6,36.61,1.10,-0.90,"2,600",0.95,1.20,"2,600",315.00,"13,000",34.65,37.80,"26,000",6.50,36.00,39.11,6,1,37,
,191,-4,158,38.24,0.90,-0.60,"5,200",0.85,1.00,"7,800",320.00,"10,400",39.55,42.75,"18,200",3.40,39.00,-,12,5,59,
,-,-,-,-,-,-,"2,600",0.25,1.90,"78,000",325.00,"7,800",43.90,48.55,"7,800",-,-,-,-,-,-,
,145,-4,47,38.86,0.45,-0.45,"2,600",0.45,0.55,"5,200",330.00,"7,800",48.50,52.15,"10,400",-,39.50,-,-,-,52,
,-,-,-,-,-,-,"2,600",0.15,0.65,"5,200",340.00,"10,400",58.80,62.20,"7,800",-,-,-,-,-,-,
