CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,600.00",300,0.60,7.75,"1,200",-,1.65,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,640.00",300,0.55,3.45,300,-,3.50,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,660.00",600,0.55,2.40,300,-,2.40,-,-,-,7,
,-,-,-,-,-,-,900,320.45,334.40,"1,200","1,680.00",300,0.60,5.50,"1,200",-,7.55,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,700.00",300,2.15,10.00,300,0.10,2.50,38.93,60,-16,87,
,-,-,-,-,-,-,900,281.75,299.55,900,"1,720.00",300,1.60,7.55,600,-,8.30,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,"1,740.00","1,500",2.70,11.40,900,-,4.00,37.75,1,1,87,
,-,-,-,-,-,-,900,243.80,255.00,900,"1,760.00","9,000",3.60,5.95,"6,000",-1.30,4.20,35.71,64,9,46,
,-,-,-,-,-,-,900,224.75,235.85,900,"1,780.00",600,5.00,6.85,"6,000",2.05,6.50,36.89,43,4,63,
,-,-,-,-,-,-,900,204.65,214.90,"1,500","1,800.00",300,6.10,6.90,300,0.85,6.40,34.14,203,27,463,
,-,-,-,-,-,-,900,186.95,199.85,"1,200","1,820.00","9,000",6.85,10.30,"6,000",0.15,8.00,33.49,14,3,24,
,10,-,-,-,177.85,-,900,168.00,181.55,"1,200","1,840.00",300,9.05,12.50,"6,000",1.80,9.80,32.69,82,-2,44,
,5,-,2,18.31,150.00,-71.95,900,150.35,163.10,900,"1,860.00","9,000",10.45,14.95,300,3.40,12.10,31.99,133,-1,76,
,28,-,3,44.10,161.60,24.20,900,134.40,146.85,"1,200","1,880.00","9,000",12.60,18.60,300,4.10,14.65,31.10,254,17,91,
,94,9,38,28.00,123.65,-58.35,300,120.00,129.10,300,"1,900.00",600,17.80,18.00,"24,300",5.45,18.00,30.41,"1,325",100,453,
,53,-,2,30.03,111.50,-54.45,300,101.95,123.75,"2,100","1,920.00",300,19.85,28.50,300,5.90,22.30,29.91,916,-20,74,
,41,-1,4,40.12,114.90,-15.95,300,86.95,104.65,"1,200","1,940.00","9,000",24.55,34.50,300,9.80,28.20,29.88,311,42,192,
