CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,500",174.90,180.25,"2,500",600.00,"1,250",0.80,1.20,625,-0.80,0.95,55.98,46,-26,48,
,12,1,1,44.08,136.85,7.40,"2,500",135.50,141.85,"2,500",640.00,625,1.95,2.20,"6,875",-0.90,2.20,51.64,59,-,68,
,8,-,1,46.13,118.45,18.50,"2,500",116.75,122.25,"3,125",660.00,625,2.55,2.90,625,-2.15,2.60,46.72,66,9,56,
,6,-,-,-,95.55,-,"2,500",97.65,103.70,"3,750",680.00,625,3.85,4.65,625,-2.60,4.20,45.31,48,8,202,
,69,-9,59,46.05,83.75,-7.05,625,81.55,87.85,"3,750",700.00,625,6.00,7.10,"1,875",-3.25,6.70,44.16,134,16,249,
,48,4,12,41.88,66.05,-7.65,625,65.50,68.80,625,720.00,625,8.55,12.75,"12,500",-4.30,10.00,42.40,87,14,139,
,181,-3,30,44.81,53.75,-5.70,625,50.20,54.50,625,740.00,"18,750",13.30,17.65,"1,250",-4.25,16.00,42.80,271,69,409,
,340,-29,273,41.40,39.25,-7.85,625,36.85,41.95,"1,250",760.00,625,22.05,23.75,"1,250",-5.95,22.10,40.57,247,1,340,
,"1,294",-24,659,41.66,29.20,-8.30,"2,500",27.80,30.40,625,780.00,625,30.90,33.15,625,-5.10,31.95,40.88,224,30,289,
,"1,165",-36,"1,405",41.26,20.70,-7.60,625,20.60,22.00,625,800.00,625,41.45,46.40,"1,250",-1.35,46.15,44.37,59,15,180,
,569,-57,561,40.99,14.20,-6.15,625,14.05,16.30,625,820.00,625,54.25,60.20,"1,250",-7.85,52.65,33.62,7,3,15,
,372,28,399,41.39,9.75,-5.25,"18,750",8.25,10.00,625,840.00,625,66.90,73.90,625,-0.90,73.50,42.74,45,18,63,
,265,131,410,42.72,7.00,-4.05,625,6.10,7.90,625,860.00,"1,875",85.10,92.60,625,-8.10,87.75,37.97,3,1,7,
,50,-8,70,44.57,5.25,-2.75,625,4.10,6.90,"12,500",880.00,"2,500",104.45,111.30,"1,250",-12.95,98.15,-,3,-,2,
,737,55,559,45.49,3.70,-2.25,"3,750",3.65,3.80,625,900.00,625,123.70,127.80,625,0.85,123.50,33.43,14,-,17,
,52,-4,18,47.91,3.00,-1.70,625,2.65,3.00,625,920.00,"2,500",142.05,149.05,"1,875",-,178.00,-,-,-,1,
,239,25,44,52.21,2.00,-1.00,"8,750",1.75,2.00,625,960.00,"2,500",180.35,186.40,"1,250",-,201.55,-,-,-,5,
