CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,860.00",900,2.30,5.15,300,-,5.00,54.60,14,-2,152,
-,-,-,-,-,-,-,-,-,-,-,"1,880.00","1,500",1.50,6.80,300,-2.05,4.75,51.89,11,-7,114,
-,-,-,-,-,-,-,-,-,-,-,"1,900.00",300,4.70,6.10,300,-1.60,5.00,50.25,36,8,340,
,-,-,-,-,-,-,900,371.75,438.55,900,"1,920.00","1,800",3.50,8.85,"9,000",-0.90,6.15,50.20,79,27,111,
-,-,-,-,-,-,-,-,-,-,-,"1,940.00",900,3.50,-,-,-,7.00,-,-,-,56,
,-,-,-,-,-,-,900,323.70,402.30,900,"1,960.00",300,6.60,11.55,300,-0.15,8.65,-,-,-,98,
-,-,-,-,-,-,-,-,-,-,-,"1,980.00",900,4.60,20.60,"2,400",-1.15,8.45,46.90,7,3,159,
,45,-,-,-,350.00,-,300,319.40,364.00,"1,800","2,000.00","1,200",9.40,10.75,"7,200",-1.55,9.50,45.91,937,42,"2,316",
,2,1,1,56.87,324.00,29.35,"9,000",273.20,331.70,900,"2,020.00",300,5.30,15.70,"9,000",-2.05,9.90,44.03,53,7,76,
,-,-,-,-,-,-,900,251.75,324.80,900,"2,040.00",300,11.20,12.50,300,-1.10,12.10,44.02,13,1,112,
,-,-,-,-,-,-,900,231.75,306.90,900,"2,060.00","1,500",7.00,16.00,300,-1.20,13.30,42.73,88,-16,75,
,9,-,-,-,194.50,-,900,211.70,316.80,"9,000","2,080.00",300,7.20,21.75,"9,000",-1.55,14.75,41.54,67,22,79,
,18,3,5,33.58,230.00,-7.85,"1,800",222.40,241.90,300,"2,100.00",300,15.05,17.50,300,-1.55,16.70,40.60,442,-17,826,
,17,-,-,-,165.05,-,900,162.75,254.95,300,"2,120.00","1,200",15.00,-,-,-1.85,18.75,39.54,19,-3,129,
,25,-,-,-,186.50,-,300,185.25,317.35,900,"2,140.00",300,8.55,39.20,600,-2.00,21.10,38.50,59,7,157,
,11,1,6,37.32,184.95,-23.90,"9,000",120.75,193.40,300,"2,160.00",300,16.05,35.75,600,-1.70,24.50,37.94,114,-16,116,
,14,-,-,-,186.50,-,-,-,181.05,900,"2,180.00",300,19.65,29.20,300,-0.30,29.40,37.99,233,-17,110,
,325,-82,208,34.75,150.75,-21.00,900,144.15,159.20,600,"2,200.00",300,31.30,33.85,300,-1.35,32.60,36.72,"1,082",-17,"1,153",
,128,-,-,-,158.30,-,600,129.30,158.70,"1,200","2,220.00",600,26.95,39.10,300,-,38.20,36.51,147,-3,165,
,165,4,63,33.46,120.75,-19.05,300,119.05,129.70,300,"2,240.00",300,39.00,60.00,300,1.60,45.00,36.55,181,-51,177,
,171,4,95,34.12,109.40,-16.85,"1,500",105.05,113.40,300,"2,260.00",300,49.00,62.00,"1,200",0.75,50.15,35.43,280,-26,189,
,283,10,144,34.17,97.70,-15.25,300,97.70,103.95,300,"2,280.00",300,51.35,67.50,600,1.20,57.65,35.12,416,16,244,
,"2,131",-5,"2,704",34.34,87.10,-14.00,300,85.05,87.00,600,"2,300.00",300,65.50,69.95,600,1.55,65.70,34.70,"1,664",-55,"1,198",
,697,103,996,34.55,77.45,-12.25,300,75.00,78.95,300,"2,320.00",300,65.20,76.10,300,2.70,75.65,34.79,703,26,270,
