CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,-,-,-,299.00,-,"1,125",302.50,311.25,"3,750",680.00,"7,875",0.60,1.35,"5,250",0.40,1.00,77.09,4,-1,60,
-,-,-,-,-,-,-,-,-,-,-,720.00,"1,125",0.45,1.00,375,-,1.00,66.99,17,7,44,
,-,-,-,-,-,-,"1,125",224.75,233.00,"1,500",760.00,375,1.80,3.95,375,0.25,1.70,62.62,97,16,36,
,5,-,-,-,174.85,-,"1,125",185.25,192.75,"1,500",800.00,"1,500",2.80,3.10,750,0.35,2.95,58.68,233,-13,217,
-,-,-,-,-,-,-,-,-,-,-,820.00,"15,000",1.40,7.15,"7,500",0.10,3.25,54.53,17,-11,39,
,16,-,-,-,186.00,-,"1,125",147.30,154.95,"1,125",840.00,375,5.10,5.35,375,0.65,5.25,55.34,150,14,212,
,9,-,-,-,144.90,-,750,127.95,137.10,"1,500",860.00,"18,750",3.60,7.90,"18,750",1.10,7.35,54.63,7,1,70,
,20,4,4,51.09,129.05,-18.65,750,113.60,118.55,375,880.00,375,9.20,10.70,375,1.80,10.25,54.20,67,12,179,
,47,-24,57,26.15,101.65,-27.40,750,97.30,103.20,"3,000",900.00,375,12.10,14.95,375,2.85,14.10,53.99,429,45,700,
,28,12,42,34.24,86.85,-28.85,750,82.15,86.50,750,920.00,750,17.65,19.30,375,4.15,19.10,54.00,132,29,262,
,51,5,30,38.30,73.75,-23.15,750,71.80,76.05,"2,250",940.00,375,25.35,28.00,375,6.20,25.45,54.30,130,9,307,
,150,3,90,38.97,60.40,-22.35,375,58.00,63.70,"1,125",960.00,375,33.05,33.95,375,8.85,33.90,55.58,610,7,416,
,506,9,345,40.95,50.00,-19.80,375,49.90,52.15,375,980.00,375,41.25,43.85,375,10.55,42.65,55.74,379,2,461,
,"1,638",303,"1,921",42.43,40.95,-18.25,"1,125",40.35,41.40,"1,875","1,000.00","2,250",52.25,54.00,"3,000",12.55,53.10,56.42,766,-9,676,
,708,99,"1,120",43.40,33.00,-16.10,375,31.00,33.00,375,"1,020.00",750,63.10,68.35,375,13.95,64.20,56.53,291,-2,245,
,904,93,849,44.79,26.85,-13.40,375,25.05,28.00,375,"1,040.00","3,000",75.90,81.95,375,15.95,77.50,57.81,33,-11,116,
,584,-41,715,45.39,21.20,-11.60,375,21.20,25.20,"7,500","1,060.00",375,92.55,96.60,375,20.40,94.70,62.32,77,14,112,
,543,38,475,46.46,17.00,-9.80,375,16.75,17.80,375,"1,080.00","2,250",105.50,112.90,"1,875",-,103.35,-,-,-,9,
,"2,505",190,"2,138",47.61,13.70,-8.10,750,13.80,14.80,"1,125","1,100.00",375,124.60,127.00,375,18.15,120.05,58.28,4,3,93,
,291,58,232,48.25,10.75,-6.35,375,10.55,11.90,750,"1,120.00",750,141.05,146.90,375,6.05,123.55,38.68,1,1,37,
,242,16,252,50.39,9.25,-4.70,375,8.35,10.05,375,"1,140.00","1,125",157.55,165.20,"2,625",-,130.45,-,-,-,12,
,258,5,58,49.80,6.70,-4.45,375,5.45,8.85,"7,500","1,160.00","2,625",174.70,182.50,"1,125",0.10,151.55,-,-,-,14,
,138,5,33,52.23,6.00,-2.95,375,5.40,7.35,"7,500","1,180.00","1,500",194.30,201.40,750,0.10,169.15,-,-,-,17,
,"1,229",53,642,52.20,4.50,-2.60,375,4.25,4.80,375,"1,200.00","1,125",211.50,220.45,"1,500",-1.35,187.60,-,-,-,59,
,92,16,84,54.39,3.05,-1.50,375,2.80,3.00,375,"1,240.00",-,-,-,-,-,-,-,-,-,-,-
,85,-17,103,56.95,2.90,-1.00,750,2.65,2.95,"1,125","1,260.00",-,-,-,-,-,-,-,-,-,-,-
,233,29,544,59.17,2.70,-0.75,750,2.45,2.70,"1,500","1,280.00","1,500",290.55,297.70,"1,500",-,300.00,-,-,-,5,
,759,28,135,69.08,1.55,-0.55,"5,250",1.50,1.70,750,"1,400.00",-,-,-,-,-,-,-,-,-,-,-
