CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,200",268.80,303.40,"1,200",880.00,800,0.65,0.90,800,-0.25,0.70,55.08,46,-14,530,
-,-,-,-,-,-,-,-,-,-,-,900.00,"1,200",0.90,1.00,"3,200",-0.20,1.00,54.04,53,-21,218,
,-,-,-,-,-,-,"1,200",231.40,308.30,"1,200",920.00,"6,800",1.30,1.70,"1,200",-0.15,1.40,52.92,16,2,327,
,6,-,-,-,133.85,-,"1,200",211.55,287.60,"1,200",940.00,"2,400",1.45,1.55,800,-0.40,1.50,49.49,106,-,189,
,28,-,-,-,158.05,-,"20,000",191.45,228.60,"1,200",960.00,800,1.85,2.10,400,-0.40,2.10,48.38,250,88,681,
,79,-,-,-,149.10,-,"1,200",178.85,210.00,"1,200",980.00,"22,400",2.25,2.40,400,-0.75,2.30,45.03,489,104,369,
,189,-39,68,-,171.75,20.35,400,170.00,180.30,"1,200","1,000.00",400,2.80,3.20,800,-0.85,3.00,43.23,"1,260",-38,"1,529",
,225,-4,15,-,147.90,9.70,"1,200",146.85,155.40,"2,800","1,020.00","1,600",3.25,3.55,"1,600",-1.55,3.50,40.33,730,-34,624,
,302,-38,53,-,130.45,12.25,400,130.50,135.70,400,"1,040.00",400,4.20,4.35,400,-2.35,4.30,37.83,"1,139",63,899,
,444,-58,118,25.98,113.70,17.35,"12,000",107.55,114.95,800,"1,060.00",800,5.00,5.40,"1,600",-3.40,5.40,35.45,"2,770",37,796,
,588,-89,284,25.60,95.15,15.00,400,93.25,96.95,400,"1,080.00",800,4.60,7.15,800,-4.60,7.05,33.39,"1,608",-35,805,
,"2,253",-789,"2,255",27.27,78.80,14.30,400,75.00,79.45,800,"1,100.00",400,9.60,10.00,"1,200",-6.80,9.70,31.89,"3,405",-380,"1,826",
,"1,413",-248,"1,479",25.73,61.80,11.45,"1,600",59.55,62.95,400,"1,120.00",800,12.65,13.85,"1,200",-9.25,13.35,30.46,"2,048",-189,"1,036",
,"1,360",-413,"4,191",25.92,47.75,9.15,"14,800",43.80,48.10,400,"1,140.00",800,18.35,19.40,"1,200",-11.20,19.40,30.18,"2,546",83,737,
,"2,065",-115,"6,651",26.25,35.90,7.05,"1,200",35.85,36.30,800,"1,160.00",800,26.15,27.55,"1,200",-13.45,27.40,30.09,"2,587",302,867,
,"1,388",551,"4,000",26.93,26.70,5.55,400,26.30,26.70,"1,200","1,180.00",400,36.90,37.95,400,-15.70,37.30,30.04,907,135,458,
,"3,902",-304,"8,865",27.24,19.10,3.70,400,18.95,19.15,800,"1,200.00","1,200",40.20,52.35,800,-17.15,49.35,30.27,"1,196",-33,"1,696",
,732,88,"1,332",27.58,13.35,2.40,"1,200",12.50,13.40,"1,200","1,220.00","2,800",55.30,67.10,400,-18.65,63.55,30.98,79,9,51,
,901,-3,"1,132",28.14,9.30,1.50,800,7.50,9.45,400,"1,240.00","1,600",72.95,82.95,"1,200",-17.30,81.15,33.99,15,3,91,
,549,35,876,28.85,6.50,0.75,400,6.15,6.75,400,"1,260.00","1,200",88.95,100.90,"1,600",-34.95,98.90,36.42,34,16,48,
,323,44,729,30.06,4.80,0.55,400,4.60,4.85,400,"1,280.00","1,600",101.30,123.65,"1,600",-,127.35,-,-,-,93,
,"2,553",157,"1,760",31.41,3.65,0.35,"1,600",3.50,3.70,800,"1,300.00",400,129.70,135.85,800,-9.55,137.70,43.94,75,-58,"1,288",
,165,-19,290,32.44,2.70,0.05,800,2.65,2.80,800,"1,320.00","1,600",141.70,165.10,"1,200",-,-,-,-,-,-,
,174,-4,42,33.91,2.15,0.25,"1,200",2.10,2.25,"1,200","1,340.00","1,600",167.90,183.50,"2,800",-26.80,178.20,52.95,3,-1,143,
,68,2,16,34.81,1.60,-0.15,400,1.55,2.25,400,"1,360.00",400,187.55,195.35,400,-6.90,195.00,51.82,7,-5,14,
,"1,180",28,"1,212",38.79,1.30,-0.10,400,1.30,1.45,"3,200","1,400.00",400,226.10,240.55,"1,200",-44.00,234.00,57.25,42,-26,434,
,131,4,13,41.68,0.95,0.15,400,0.85,1.15,800,"1,440.00","20,000",256.65,274.30,800,-60.00,280.00,74.52,4,-,70,
