CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,100.00",300,1.10,19.00,100,-,6.25,-,-,-,1,
,-,-,-,-,-,-,500,"1,025.60","1,094.30",300,"4,200.00",300,2.00,9.80,200,-2.00,5.00,49.10,11,-6,9,
,-,-,-,-,-,-,400,924.50,997.65,400,"4,300.00",300,3.00,-,-,-,14.95,-,-,-,10,
,-,-,-,-,-,-,400,831.65,897.85,300,"4,400.00",100,3.30,13.00,300,-5.15,10.55,46.51,11,-4,17,
,5,-,-,-,560.15,9.90,400,742.75,805.75,300,"4,500.00",200,12.55,16.00,100,-5.40,15.00,45.16,281,2,38,
,-,-,-,-,-,-,400,677.45,776.65,400,"4,550.00",100,4.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,400,633.55,726.90,400,"4,600.00",100,6.30,-,-,-,-,-,-,-,-,
,8,-,-,-,301.75,-,400,584.80,677.10,400,"4,650.00",100,7.30,-,-,-8.10,21.65,41.51,1,-,1,
,3,-,-,-,385.70,-,400,559.15,623.85,300,"4,700.00",100,25.00,37.60,"2,000",-9.00,34.00,44.32,80,-41,50,
,-,-,-,-,-,-,400,504.20,592.15,400,"4,750.00","2,000",26.25,-,-,-,-,-,-,-,-,
,16,-5,6,-,494.95,119.95,100,472.45,533.90,100,"4,800.00","3,000",37.10,54.85,100,-19.40,49.25,43.96,460,-10,221,
,48,-,-,-,160.45,-,400,410.05,-,-,"4,850.00",100,35.35,-,-,-,-,-,-,-,-,
,17,1,6,-,380.85,64.25,500,380.00,438.65,200,"4,900.00","5,000",52.35,78.65,"2,000",-24.15,69.55,43.66,216,20,158,
,4,-1,3,23.04,363.00,130.45,300,329.40,-,-,"4,950.00",100,50.35,112.50,400,-,-,-,-,-,-,
,186,25,240,27.26,332.75,99.40,100,326.50,350.00,300,"5,000.00",100,89.00,101.60,100,-28.00,101.60,44.80,"1,342",300,840,
,126,-24,57,30.84,307.65,97.55,"1,500",259.05,342.50,900,"5,050.00",100,76.45,151.50,700,-,-,-,-,-,-,
,142,-182,819,31.44,275.00,93.10,100,245.65,275.00,100,"5,100.00","3,000",110.05,138.00,100,-51.00,126.50,42.74,609,-16,271,
,124,-55,436,30.84,239.50,81.30,400,205.50,-,-,"5,150.00",500,84.75,184.95,300,-,248.80,-,-,-,13,
,570,428,"5,560",30.83,209.00,71.15,100,202.05,217.00,200,"5,200.00",100,161.00,187.00,600,-57.70,168.00,42.91,928,124,149,
,122,95,"1,181",32.63,190.00,61.90,"2,400",162.10,190.00,100,"5,250.00",500,146.20,212.90,300,-,369.25,-,-,-,1,
,417,159,"2,835",32.69,165.00,63.75,200,163.00,169.00,100,"5,300.00",300,198.05,244.05,100,-66.20,219.55,43.60,182,31,39,
,-,-,-,-,-,-,"1,900",115.15,-,-,"5,350.00",100,217.15,293.00,300,-,296.15,-,-,-,1,
,1,1,1,27.15,94.25,-310.45,"3,100",94.25,-,-,"5,400.00",300,225.10,322.80,300,-,400.20,-,-,-,20,
,-,-,-,-,-,-,800,76.35,-,-,"5,450.00",300,251.65,358.50,300,-77.90,316.40,45.89,13,3,5,
,388,125,"2,864",34.47,95.20,43.45,100,92.70,95.00,100,"5,500.00",300,334.40,369.70,400,-152.00,345.40,45.35,58,37,46,
,2,-,-,-,35.00,-,"1,900",48.70,-,-,"5,550.00",300,347.70,423.25,700,-6.40,382.35,46.13,10,3,6,
,146,104,305,35.06,70.30,32.40,"3,000",56.05,72.00,100,"5,600.00",300,376.85,433.30,400,93.10,441.85,51.51,16,16,16,
,-,-,-,-,-,-,"1,000",29.95,-,-,"5,650.00",300,385.45,500.90,500,-,-,-,-,-,-,
,31,1,1,27.70,25.20,-0.25,"5,700",25.20,-,-,"5,700.00",300,430.50,546.75,300,-,-,-,-,-,-,
,3,-,-,-,21.60,-,"1,400",22.45,-,-,"5,800.00",300,527.00,646.30,700,-,-,-,-,-,-,
,2,2,2,34.48,21.10,-95.25,"1,700",21.10,-,-,"5,900.00",300,625.20,748.35,500,-,-,-,-,-,-,
,170,88,490,39.96,24.80,14.60,100,20.50,24.80,"1,600","6,000.00",300,724.40,792.65,500,-,901.70,-,-,-,2,
