CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,600.00",400,1.35,3.90,400,0.90,3.00,86.83,3,-2,53,
,11,-,-,-,667.50,-,200,608.55,621.90,800,"1,800.00",200,2.85,4.55,"4,000",0.45,3.30,66.56,52,-27,399,
-,-,-,-,-,-,-,-,-,-,-,"1,900.00",200,3.45,4.90,"1,000",-0.65,4.95,60.70,36,-10,211,
,52,-,-,-,472.60,-0.05,200,411.55,426.55,"1,000","2,000.00",200,7.00,8.40,800,-1.25,8.40,56.29,425,25,517,
,128,-1,3,-,316.65,-63.45,200,321.95,334.35,400,"2,100.00",200,14.20,19.00,"1,000",-1.25,15.00,52.75,968,-11,829,
,252,16,41,-,235.10,-57.35,200,234.05,245.00,200,"2,200.00",200,26.90,30.50,800,2.85,30.00,51.88,"1,073",-38,"1,055",
,436,-16,88,26.40,165.10,-43.70,200,156.95,171.15,400,"2,300.00",200,50.70,56.00,"1,200",7.50,52.90,50.20,"1,113",61,910,
,744,59,966,31.50,102.75,-38.20,200,100.95,104.90,200,"2,400.00",400,88.00,90.70,200,14.45,90.05,49.81,"2,936",127,933,
,"1,419",101,"2,583",35.16,62.00,-26.95,400,60.10,62.80,200,"2,500.00","1,000",142.65,149.60,200,24.85,147.80,52.50,977,50,656,
,"1,071",91,"1,647",38.22,36.95,-17.00,200,36.40,37.00,200,"2,600.00",200,220.40,231.85,"1,200",41.00,229.10,60.45,52,-2,73,
,753,-51,"1,383",41.47,22.85,-9.60,"1,400",21.80,23.00,"6,200","2,700.00",200,304.20,317.05,200,51.70,318.90,69.18,16,5,88,
,967,215,"1,619",43.72,13.60,-6.30,200,13.40,14.50,200,"2,800.00",400,392.20,404.00,800,31.85,383.60,61.91,21,15,133,
,366,37,403,47.01,9.15,-3.05,200,9.00,9.25,600,"2,900.00",600,485.20,504.80,"2,000",38.25,480.00,69.49,1,1,8,
,691,122,431,49.31,5.85,-1.75,200,5.65,5.85,200,"3,000.00",600,581.75,601.00,"1,000",-,523.00,-,-,-,22,
,124,-21,74,51.56,3.85,-0.80,200,3.00,3.95,200,"3,100.00",800,679.05,696.55,600,-,594.25,-,-,-,4,
,33,-1,12,51.72,2.00,-0.85,"1,800",2.00,3.00,800,"3,200.00",600,778.40,795.90,"1,400",-,690.25,-,-,-,13,
,14,-,1,56.50,1.95,-0.55,"8,000",0.55,2.50,200,"3,300.00",200,876.30,894.55,600,62.55,859.60,84.77,1,1,5,
,5,-,-,-,1.90,-,200,1.30,1.90,400,"3,400.00",800,975.40,993.70,600,-,885.80,-,-,-,23,
-,-,-,-,-,-,-,-,-,-,-,"3,600.00",800,965.05,"1,193.35","1,400",-,"1,392.55",-,-,-,1,
