CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,400",221.85,238.05,"1,050","1,200.00",350,3.25,3.55,700,-0.15,3.30,45.40,409,-3,200,
,-,-,-,-,-,-,"1,750",202.65,222.60,"1,750","1,220.00",350,3.95,5.55,"7,000",-0.40,3.95,43.58,749,-48,35,
,-,-,-,-,-,-,"1,750",183.95,199.70,"1,050","1,240.00",700,4.75,5.20,350,-0.30,5.00,42.30,546,-64,108,
,-,-,-,-,-,-,"1,050",165.60,177.70,"1,400","1,260.00","10,500",4.40,7.90,"7,000",-1.10,5.65,39.82,50,33,49,
,6,-,-,-,163.10,-,"1,050",145.20,164.75,"1,400","1,280.00",700,4.00,14.20,"14,000",-0.70,7.50,39.03,11,4,33,
,-,-,-,-,-,-,"1,400",129.10,144.50,"1,050","1,300.00",700,7.80,12.10,"7,000",-0.60,9.30,37.51,88,-11,142,
,-,-,-,-,-,-,"1,400",111.35,128.70,"1,050","1,320.00","12,250",9.25,15.80,"7,000",-0.40,12.40,36.96,89,63,75,
,-,-,-,-,-,-,"2,450",94.65,106.15,"1,400","1,340.00","10,500",12.10,15.70,700,-0.30,15.65,35.76,113,51,99,
,11,1,1,33.31,86.10,-9.10,700,80.00,96.70,"1,050","1,360.00",350,19.10,24.90,"7,000",-2.15,19.10,34.04,100,30,111,
,-,-,-,-,-,-,"2,450",63.95,85.00,"1,750","1,380.00",350,20.85,30.85,350,-0.50,25.30,33.91,32,-,64,
,36,4,53,32.23,58.80,-9.10,350,57.00,64.10,"1,400","1,400.00",350,28.35,33.90,350,-0.95,32.90,33.87,206,9,184,
,37,11,60,32.38,48.05,-9.50,"9,450",41.90,58.30,"5,950","1,420.00","2,450",29.10,50.00,350,-3.15,39.45,32.04,7,-,49,
,85,6,52,32.34,38.50,-11.10,"10,500",33.40,47.45,"7,000","1,440.00","8,400",43.60,60.45,"5,600",2.00,52.00,33.64,23,8,102,
,262,-45,249,32.42,30.50,-9.20,"10,500",26.45,35.00,350,"1,460.00","1,050",55.65,71.20,"1,400",7.40,71.75,39.67,10,1,119,
,63,2,41,32.53,23.85,-8.85,350,20.00,29.65,"7,000","1,480.00","1,400",71.65,86.95,"3,500",-0.40,75.95,33.01,4,1,54,
,432,88,433,32.43,18.15,-8.15,350,18.05,19.90,"1,050","1,500.00","3,150",83.10,99.40,"2,450",0.90,90.70,33.43,17,2,349,
,92,34,67,34.30,15.60,-4.95,700,13.00,18.40,"7,000","1,520.00",350,101.95,116.25,"3,500",-,96.60,-,-,-,16,
,98,29,91,33.79,11.35,-4.55,"10,500",8.50,14.25,"7,000","1,540.00","3,500",115.95,130.95,"1,050",-0.25,120.15,-,-,-,22,
,55,25,117,33.56,8.25,-6.40,"10,500",6.00,11.10,"7,000","1,560.00","1,050",136.00,148.90,"1,050",-,79.55,-,-,-,6,
,384,338,402,34.59,6.70,-3.80,"10,500",4.90,6.75,"5,950","1,580.00","1,050",150.25,167.10,"1,050",-,89.00,-,-,-,1,
,532,119,351,35.64,5.50,-3.25,350,5.20,7.00,700,"1,600.00","1,400",165.20,185.10,350,5.45,176.70,36.27,3,-,179,
,17,-,-,-,7.20,0.25,"14,000",1.35,12.00,350,"1,620.00","1,050",187.15,210.05,"2,450",-,117.40,-,-,-,5,
,37,3,53,38.20,4.00,-1.85,"10,500",2.45,4.95,"7,000","1,640.00","3,500",209.05,222.70,"1,050",-,196.15,-,-,-,5,
,48,13,39,38.33,3.00,-1.15,"10,500",2.10,4.50,"7,000","1,660.00","3,500",228.50,243.90,"1,050",-,-,-,-,-,-,
,81,-14,64,40.83,3.05,-1.05,350,2.55,3.80,"3,500","1,680.00","3,500",247.25,262.80,"1,750",-,-,-,-,-,-,
,204,26,152,41.21,2.40,-0.80,700,2.30,2.60,"1,400","1,700.00",-,-,-,-,-,-,-,-,-,-,-
,81,65,354,43.24,2.35,-0.10,"10,500",1.30,4.00,350,"1,720.00","1,400",287.75,301.00,"1,400",-,-,-,-,-,-,
,185,173,422,45.98,1.95,0.05,350,1.70,2.05,350,"1,760.00","1,050",327.40,340.60,"1,750",-,-,-,-,-,-,
,68,45,236,47.15,1.75,0.05,"1,050",0.65,2.00,"1,750","1,780.00",-,-,-,-,-,-,-,-,-,-,-
,155,55,166,48.64,1.65,-0.25,350,1.40,1.70,700,"1,800.00",-,-,-,-,-,-,-,-,-,-,-
,28,-,1,53.83,1.95,0.80,"7,000",0.40,2.00,700,"1,840.00",-,-,-,-,-,-,-,-,-,-,-
