CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,500,"1,173.50","1,226.75",375,"5,700.00","3,500",1.20,7.00,250,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"1,069.30","1,130.15",375,"5,800.00",250,2.50,10.90,125,-3.30,3.35,34.93,5,-1,3,
,-,-,-,-,-,-,875,975.45,"1,041.50",375,"5,900.00",250,2.20,17.95,125,-,-,-,-,-,-,
,-,-,-,-,-,-,500,878.65,936.30,375,"6,000.00",125,8.05,10.50,"1,500",2.15,9.50,34.75,587,22,802,
,-,-,-,-,-,-,500,783.00,845.70,375,"6,100.00",125,5.95,25.70,"3,750",2.50,14.10,34.12,143,26,107,
,-,-,-,-,-,-,375,691.15,785.80,375,"6,200.00",125,17.85,22.05,125,3.65,20.65,33.51,735,19,350,
,-,-,-,-,-,-,375,637.30,736.65,625,"6,250.00","3,750",12.50,-,-,4.20,24.75,33.18,25,14,58,
,-,-,-,-,-,-,875,601.35,670.80,375,"6,300.00","3,750",20.30,36.00,"4,000",5.60,31.10,33.34,174,49,246,
,-,-,-,-,-,-,375,549.45,632.75,"1,250","6,350.00","3,750",16.45,-,-,-,-,-,-,-,-,
,14,-,-,-,543.00,-,500,517.60,567.00,125,"6,400.00",250,33.00,55.00,125,8.15,45.10,33.09,305,50,297,
,-,-,-,-,-,-,"1,250",446.40,554.60,"1,250","6,450.00","3,750",17.95,-,-,-,-,-,-,-,-,
,2,-,-,-,490.00,-,"1,375",439.60,503.20,"1,375","6,500.00",125,62.20,81.95,125,11.70,64.00,32.90,600,-9,328,
,3,-,4,22.62,397.15,-11.65,625,369.30,484.40,625,"6,550.00","3,750",40.05,-,-,-,62.10,-,-,-,2,
,-,-,-,-,304.30,-,500,361.30,427.85,"1,250","6,600.00",125,82.25,100.00,125,17.10,89.25,32.86,512,-42,189,
,6,-,-,-,412.95,-,375,313.75,384.55,625,"6,650.00",500,78.70,-,-,-,128.40,-,-,-,71,
,35,3,5,31.23,330.00,-44.75,125,294.60,356.85,375,"6,700.00",125,101.15,134.95,125,22.70,121.05,32.83,520,19,133,
,129,22,204,31.90,302.55,-43.70,125,275.05,310.00,125,"6,750.00",125,113.55,166.85,625,26.50,140.85,33.03,309,-13,87,
,213,-22,766,29.94,260.60,-54.65,"2,875",232.90,265.00,125,"6,800.00",125,148.05,160.00,500,28.95,160.25,32.88,"3,415",22,446,
,82,16,638,30.53,236.50,-43.50,125,220.00,236.00,125,"6,850.00",500,155.00,189.00,125,33.15,182.20,32.84,502,48,173,
,378,147,"1,929",30.68,211.60,-42.75,125,195.05,216.45,250,"6,900.00",125,192.05,207.95,125,33.20,204.00,32.51,"1,091",70,346,
,100,16,460,30.58,187.00,-41.25,125,180.50,192.75,125,"6,950.00",125,211.05,254.20,250,38.85,232.35,32.89,164,14,57,
,932,185,"1,706",30.58,165.05,-37.05,125,165.00,168.90,125,"7,000.00",125,248.25,264.65,250,44.15,262.65,33.30,392,27,348,
,73,8,155,30.71,145.75,-34.30,"3,750",105.25,157.05,125,"7,050.00","1,250",251.65,314.35,500,-,374.80,-,-,-,8,
,160,6,601,30.71,127.50,-29.70,125,126.65,133.85,250,"7,100.00","2,750",297.95,340.85,500,60.70,327.45,33.99,4,-,41,
,66,4,27,30.20,107.90,-27.05,375,79.50,115.95,125,"7,150.00",375,321.45,380.80,875,-,441.80,-,-,-,1,
,492,62,605,30.86,97.00,-23.95,125,91.05,99.95,125,"7,200.00",500,369.50,415.00,375,-,316.00,-,-,-,6,
,57,1,51,30.88,83.80,-20.30,125,80.85,87.60,250,"7,250.00",375,405.45,450.70,625,-,393.00,-,-,-,9,
,343,-24,729,30.98,72.50,-17.90,125,70.00,72.80,125,"7,300.00",500,447.20,490.95,375,-,538.00,-,-,-,13,
,82,16,122,30.88,61.50,-17.80,125,38.00,79.95,125,"7,350.00",625,460.00,539.10,"1,250",-,-,-,-,-,-,
,42,42,62,30.99,52.80,-169.45,375,20.65,73.30,125,"7,400.00",625,502.30,580.10,"1,250",-,551.75,-,-,-,3,
,68,14,82,30.65,43.35,-14.05,125,38.00,67.95,125,"7,450.00",375,544.30,627.00,375,-,-,-,-,-,-,
,465,25,712,30.82,37.10,-11.15,125,33.05,37.95,125,"7,500.00",500,608.85,649.70,125,90.00,630.00,34.76,8,-,8,
,6,6,9,30.77,30.90,-220.60,125,13.75,49.55,"3,750","7,550.00",375,607.65,706.85,"1,250",-,-,-,-,-,-,
,200,29,244,31.13,26.90,-6.20,125,24.20,28.05,125,"7,600.00",375,655.15,748.00,375,-,-,-,-,-,-,
,114,11,132,31.11,18.50,-6.25,125,18.45,33.15,125,"7,700.00",375,778.65,840.00,375,-,-,-,-,-,-,
,945,12,480,31.13,12.55,-4.15,125,10.70,15.90,125,"7,800.00","1,250",872.30,934.75,375,-,-,-,-,-,-,
,43,22,54,30.94,9.95,-4.55,125,8.00,-,-,"7,850.00",-,-,-,-,-,-,-,-,-,-,-
,2,-,-,-,22.00,-,"3,750",3.65,-,-,"7,900.00",375,962.25,"1,038.95",375,-,-,-,-,-,-,
,540,29,197,31.97,6.40,-2.00,125,5.45,7.80,125,"8,000.00",500,"1,072.25","1,132.85",375,-,574.95,-,-,-,-,
,3,-,-,-,3.00,-,"3,500",1.50,20.05,125,"8,400.00",-,-,-,-,-,-,-,-,-,-,-
