CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,840.00",200,0.80,1.00,200,-0.15,0.80,39.53,13,-2,120,
-,-,-,-,-,-,-,-,-,-,-,"1,880.00",200,0.65,1.00,200,0.30,1.05,37.40,108,-12,93,
,-,-,-,-,-,-,600,349.10,371.75,600,"1,920.00","1,200",1.35,1.50,200,-0.20,1.35,35.11,93,-36,450,
,-,-,-,-,-,-,600,309.55,332.05,600,"1,960.00",200,1.35,1.65,200,-0.30,1.70,32.65,120,35,339,
-,-,-,-,-,-,-,-,-,-,-,"1,980.00",400,1.95,2.00,600,-0.15,1.95,31.51,"1,648",-171,578,
,62,-1,5,36.02,282.70,-6.30,400,275.40,284.35,200,"2,000.00","7,800",2.50,2.60,600,-0.35,2.55,31.09,877,-56,"2,158",
-,-,-,-,-,-,-,-,-,-,-,"2,020.00",800,2.75,2.85,200,-0.50,2.95,29.96,222,-6,313,
,1,-,-,-,350.00,-,600,232.70,247.65,800,"2,040.00",200,3.15,3.35,800,-0.60,3.30,28.61,317,23,548,
,1,-,-,-,208.05,-,600,213.50,228.50,800,"2,060.00",600,3.95,4.05,600,-0.55,4.15,27.94,751,-71,226,
,1,-2,5,41.65,219.05,8.95,800,194.75,209.45,600,"2,080.00",800,4.80,4.95,400,-0.70,4.90,26.85,475,-65,267,
,155,-11,31,25.93,184.00,-9.25,200,180.65,186.15,400,"2,100.00",800,6.20,6.30,200,-0.70,6.25,26.26,"1,369",-204,"2,435",
,-,-,-,-,-,-,600,159.55,171.45,800,"2,120.00",200,6.50,11.80,200,-0.85,7.45,25.20,457,-53,319,
,49,-,4,28.63,152.95,3.95,200,143.50,151.45,200,"2,140.00","1,200",9.25,10.50,200,-0.80,9.40,24.53,492,-59,410,
,116,-,12,22.17,128.00,-9.45,600,124.50,135.55,200,"2,160.00",200,10.00,13.45,200,-0.55,11.90,23.91,489,-39,672,
,66,-3,52,22.93,112.95,-8.10,600,108.00,117.60,"1,400","2,180.00",400,11.50,15.00,"1,200",-0.30,15.10,23.36,"1,044",-63,449,
,611,-49,910,22.41,97.00,-9.20,200,95.50,97.50,200,"2,200.00",600,19.00,19.35,200,-,19.05,22.80,"4,167",-387,"2,338",
,224,18,225,22.21,82.55,-7.70,200,79.85,86.30,200,"2,220.00",200,23.90,24.95,200,0.85,24.55,22.59,"1,295",-178,422,
,451,-18,782,21.89,69.00,-7.40,200,66.10,69.95,400,"2,240.00",200,30.55,31.20,200,1.30,31.00,22.30,"1,816",-100,"1,081",
,"1,312",-23,"3,226",21.73,57.00,-6.70,200,55.90,57.00,"3,200","2,260.00",200,38.50,38.75,200,1.85,38.55,21.97,"3,348",-107,"1,411",
,"1,837",403,"5,008",21.72,46.65,-5.70,200,46.00,46.60,200,"2,280.00",200,42.70,48.00,200,2.80,48.00,21.92,"2,958",352,"1,233",
,"5,531",553,"12,391",21.66,37.50,-5.00,"5,200",37.20,37.50,"1,800","2,300.00",400,57.30,59.00,200,3.90,59.05,22.01,"3,134",134,"2,054",
,"1,993",161,"3,122",21.52,29.50,-4.45,200,29.00,29.85,400,"2,320.00",200,67.75,72.45,200,5.15,71.75,22.27,514,-59,418,
,"2,330",128,"2,833",21.81,23.60,-3.55,200,23.45,23.70,400,"2,340.00",200,82.50,86.70,200,5.55,85.00,22.24,385,-77,578,
,"1,982",-36,"2,784",22.17,18.85,-2.75,600,18.80,18.95,600,"2,360.00",400,99.25,101.10,200,5.75,100.05,22.58,366,-24,455,
,"1,372",69,"1,438",22.54,15.00,-2.25,200,14.70,15.35,400,"2,380.00",200,112.95,120.35,400,8.75,118.50,24.45,118,-24,363,
,"7,585",-30,"6,767",23.15,12.25,-1.70,800,12.20,12.50,"1,000","2,400.00",200,129.15,133.00,400,6.40,132.15,22.92,213,21,"1,130",
,750,-20,"1,058",23.51,9.70,-1.40,800,9.50,10.50,400,"2,420.00","1,400",145.15,160.80,200,-9.45,134.50,-,12,-,189,
,"1,123",103,"1,349",24.00,7.80,-1.20,200,7.70,7.90,200,"2,440.00",400,164.70,174.05,200,8.00,170.00,25.88,26,-14,81,
,"1,013",20,769,24.40,6.20,-1.10,200,5.90,6.30,200,"2,460.00",800,182.05,191.45,200,-5.30,172.00,-,7,-,150,
,574,109,695,25.18,5.25,-0.85,400,5.10,5.30,800,"2,480.00",800,199.25,212.75,800,-3.40,136.60,-,-,-,44,
,"6,326",74,"4,163",25.87,4.40,-0.70,"1,200",4.35,4.45,800,"2,500.00",400,222.10,225.60,200,7.00,224.00,25.79,40,-13,666,
,593,-47,277,26.38,3.60,-0.60,600,3.55,3.75,200,"2,520.00",800,237.20,255.40,800,0.75,176.20,-,-,-,52,
,393,-31,350,26.88,2.95,-0.50,600,2.90,3.00,600,"2,540.00",800,256.35,274.75,600,-,189.85,-,-,-,1,
,261,-78,"1,741",27.53,2.50,-0.40,400,2.40,2.55,800,"2,560.00",600,269.30,294.05,600,3.50,211.25,-,-,-,3,
,373,-7,124,27.63,1.90,-0.30,400,1.80,1.95,600,"2,580.00",600,288.60,313.60,600,-,300.00,-,-,-,3,
,"3,377",-79,"1,292",29.03,1.90,-0.25,"1,000",1.80,1.90,"5,600","2,600.00",200,315.50,323.95,200,8.45,321.00,29.07,25,21,"1,314",
,15,1,4,29.10,1.45,-0.15,200,1.45,1.95,200,"2,620.00",600,328.15,353.05,600,-,-,-,-,-,-,
,567,-90,175,29.17,1.10,-0.30,200,1.15,1.35,400,"2,640.00",800,354.05,369.45,200,-,265.35,-,-,-,22,
,-,-,-,-,-,-,200,0.65,1.65,200,"2,660.00",600,367.40,393.85,600,-,-,-,-,-,-,
,382,-38,177,31.67,1.10,0.05,800,0.95,1.15,200,"2,680.00",800,393.80,410.00,800,-,419.50,-,-,-,43,
,8,-5,8,31.98,0.90,-0.35,200,0.60,1.25,400,"2,700.00","2,000",415.85,430.75,600,-,411.00,-,-,-,1,
,551,-41,77,31.45,0.60,-0.15,200,0.55,0.75,"3,600","2,720.00",800,433.30,443.45,400,-,426.00,-,-,-,131,
,-,-,-,-,-,-,600,0.20,2.10,"1,200","2,740.00",600,446.40,474.35,600,-,438.00,-,-,-,-,
,"1,354",-49,127,34.66,0.45,-0.20,"5,200",0.45,0.50,"3,000","2,800.00",-,-,-,-,-,-,-,-,-,-,-
