CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,100",106.15,115.20,"7,750",520.00,775,1.40,5.80,"2,325",-,1.40,-,-,-,47,
,2,-,-,-,83.90,-,"2,325",85.90,95.90,"2,325",540.00,"2,325",1.00,6.90,"3,100",-,2.50,-,-,-,56,
,5,-,-,-,67.25,-,775,78.25,84.35,"2,325",550.00,775,3.50,4.45,775,-0.10,3.80,51.12,5,-2,78,
,-,-,-,-,-,-,"3,875",69.65,75.90,"2,325",560.00,"23,250",4.15,5.70,775,0.35,5.40,51.88,16,-10,51,
,1,-2,2,-,64.45,16.20,"5,425",61.45,68.20,"2,325",570.00,"23,250",5.40,8.45,"15,500",0.45,7.20,52.03,42,-18,53,
,9,-,-,-,65.30,-,"5,425",52.95,60.05,"1,550",580.00,"23,250",7.05,11.40,"15,500",0.65,9.00,51.24,26,6,99,
,15,-,-,-,49.25,-,"2,325",45.10,53.50,"1,550",590.00,"23,250",9.10,14.40,"15,500",0.25,11.00,50.14,13,-,67,
,74,-1,4,22.10,41.20,-7.00,"3,100",38.80,43.80,775,600.00,775,11.80,15.80,775,-0.15,14.00,50.28,111,32,337,
,52,-,-,-,40.90,-,775,32.95,40.25,"1,550",610.00,775,17.00,22.05,775,2.10,18.50,52.24,12,3,20,
,76,1,1,32.04,30.50,-4.25,"31,000",0.05,35.55,775,620.00,775,7.95,39.95,775,-0.10,21.30,-,-,-,69,
,124,1,13,32.88,25.00,-4.70,775,22.10,25.20,"1,550",630.00,"16,275",23.25,30.90,"10,850",1.55,27.75,53.53,19,8,38,
,114,-12,85,33.17,20.00,-4.90,775,19.05,21.45,775,640.00,"3,100",29.70,34.60,775,0.90,31.30,51.14,10,-3,34,
,358,-21,259,34.84,16.60,-4.20,"1,550",15.80,17.15,775,650.00,"3,100",34.85,40.85,"3,875",0.10,37.00,-,-,-,109,
,154,33,91,35.10,13.05,-4.95,775,12.10,15.70,775,660.00,"2,325",41.90,47.95,775,1.80,45.05,54.97,1,-,12,
,115,1,27,35.86,10.40,-3.70,775,9.20,13.25,775,670.00,"2,325",48.85,55.45,775,-,75.60,-,-,-,2,
,91,5,24,38.00,8.95,-2.95,"23,250",7.10,9.45,775,680.00,"3,100",56.35,63.25,"1,550",-,79.00,-,-,-,8,
,32,-,12,37.47,6.60,-2.80,"23,250",5.30,8.80,775,690.00,"3,100",65.20,71.35,"1,550",0.60,78.80,-,-,-,8,
,740,47,267,38.39,5.30,-2.45,"1,550",4.90,5.15,775,700.00,775,73.95,79.10,"5,425",2.00,72.00,53.18,3,-2,108,
,54,2,22,39.68,4.40,-2.35,775,3.35,4.90,775,710.00,"2,325",82.55,89.25,"1,550",-,85.10,-,-,-,1,
,74,5,26,40.54,3.55,-1.50,775,3.10,3.45,775,720.00,"2,325",91.60,98.60,775,-,84.85,-,-,-,6,
,87,16,24,41.32,2.85,-1.35,775,2.40,2.85,775,730.00,"2,325",101.00,107.40,"2,325",-,128.50,-,-,-,2,
,-,-,-,-,2.05,-,"1,550",2.00,4.70,"31,000",740.00,"2,325",110.65,118.90,"3,875",-,140.00,-,-,-,1,
,147,-6,72,44.06,2.10,-0.90,"1,550",1.70,2.05,775,750.00,"2,325",120.05,126.40,"5,425",-,109.00,-,-,-,1,
,13,-,-,-,1.80,-,"6,200",1.05,4.40,"5,425",760.00,-,-,-,-,-,-,-,-,-,-,-
,38,-,-,-,2.10,-0.05,"6,200",1.05,4.50,"3,100",770.00,-,-,-,-,-,-,-,-,-,-,-
,201,11,28,53.18,1.45,-0.30,775,1.25,1.50,"3,100",800.00,"2,325",168.75,176.50,"2,325",-,165.00,-,-,-,1,
,83,2,39,55.85,1.50,-0.45,775,1.30,3.75,"3,100",810.00,-,-,-,-,-,-,-,-,-,-,-
,86,43,169,57.79,1.45,-0.30,"2,325",1.00,3.65,775,820.00,-,-,-,-,-,-,-,-,-,-,-
,163,7,119,59.65,1.40,-0.35,775,0.80,1.95,775,830.00,-,-,-,-,-,-,-,-,-,-,-
,116,17,26,60.20,1.20,-0.25,"1,550",1.00,1.20,"2,325",840.00,-,-,-,-,-,-,-,-,-,-,-
,28,-,-,-,1.20,-,"2,325",0.35,1.65,"6,200",850.00,-,-,-,-,-,-,-,-,-,-,-
