CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,300,972.10,"1,070.15",300,"5,200.00",100,3.05,20.30,100,-,-,-,-,-,-,
,3,-,-,-,836.55,-,500,781.35,848.00,300,"5,400.00",100,5.15,20.50,100,-,21.50,-,-,-,1,
,-,-,-,-,-,-,300,686.90,755.55,300,"5,500.00",300,10.60,32.40,"2,000",1.50,23.05,38.16,22,2,13,
,-,-,-,-,-,-,300,588.15,649.80,400,"5,600.00",100,16.75,25.70,"2,000",-9.85,19.10,32.18,50,39,76,
,-,-,-,-,-,-,300,488.00,602.65,500,"5,700.00",300,15.00,-,-,-,-,-,-,-,-,
,6,-,-,-,420.55,-,300,418.35,479.45,700,"5,800.00",100,38.10,56.70,"2,000",-9.55,46.00,31.69,74,15,63,
,-,-,-,-,-,-,300,337.05,417.50,700,"5,900.00",100,56.60,95.00,100,-,78.05,33.68,3,2,11,
,7,7,8,29.86,296.00,"-1,085.55",300,265.90,332.85,100,"6,000.00",100,88.80,109.70,"2,000",-18.45,90.00,30.01,136,-8,111,
,6,3,7,29.03,229.00,-31.00,100,217.00,278.35,300,"6,100.00","4,000",90.20,159.35,300,-13.25,131.75,30.81,9,2,3,
,61,26,98,27.28,165.00,-31.10,100,163.55,180.00,100,"6,200.00","2,400",153.80,193.50,100,-16.30,172.20,29.85,43,5,60,
,93,20,122,29.57,133.90,-24.45,"3,000",119.40,144.95,100,"6,300.00",300,198.20,258.60,300,3.15,225.45,29.57,1,-,58,
,56,-15,41,29.03,95.00,-27.75,"3,000",91.95,110.55,100,"6,400.00",300,269.50,321.30,300,-,290.00,-,-,-,9,
,211,9,254,30.23,73.05,-22.25,100,73.00,76.00,200,"6,500.00",400,339.15,397.20,300,18.10,365.50,30.65,5,1,23,
,62,-,12,31.83,58.15,-13.75,100,52.00,71.90,100,"6,600.00",300,419.35,481.25,300,-,423.35,-,-,-,5,
,8,-,-,-,65.55,-,200,31.00,-,-,"6,700.00",300,489.90,596.90,700,-,531.20,-,-,-,5,
,115,5,27,31.81,28.00,-14.20,100,28.40,50.00,100,"6,800.00",300,594.90,654.80,300,-,480.00,-,-,-,4,
,-,-,-,-,-,-,300,15.00,-,-,"6,900.00",300,657.90,769.60,300,-,540.00,-,-,-,-,
,840,-61,600,35.78,20.65,-6.95,"2,100",18.50,20.70,500,"7,000.00",400,785.75,835.10,300,-,756.00,-,-,-,7,
,12,-,-,-,30.75,-,100,3.80,-,-,"7,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,500",2.00,-,-,"7,200.00",300,965.35,"1,041.60",700,-,-,-,-,-,-,
,1,-,-,-,46.35,-,900,1.20,-,-,"7,400.00",-,-,-,-,-,-,-,-,-,-,-
,13,1,3,37.61,4.00,-5.50,400,4.00,5.00,100,"7,500.00",400,"1,270.70","1,322.05",300,-,"1,125.00",-,-,-,2,
,12,-,-,-,5.00,-,100,2.40,3.90,100,"7,800.00",300,"1,549.00","1,608.30",100,-,"1,447.70",-,-,-,12,
,9,-,-,-,21.10,-,900,0.60,18.00,100,"8,000.00",-,-,-,-,-,-,-,-,-,-,-
