CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,460.00,"1,000",0.20,0.35,"1,000",0.05,0.30,47.71,13,-1,15,
-,-,-,-,-,-,-,-,-,-,-,470.00,"2,000",0.25,1.00,"3,000",-,1.75,-,-,-,8,
-,-,-,-,-,-,-,-,-,-,-,480.00,"1,000",0.35,0.40,"1,000",-0.40,0.40,42.29,12,1,35,
,7,-,2,-,86.60,-12.40,"1,000",86.70,89.75,"2,000",500.00,"2,000",0.70,0.85,"1,000",-,0.70,38.52,308,67,608,
,-,-,-,-,-,-,"3,000",76.65,80.65,"3,000",510.00,"3,000",1.00,1.10,"28,000",0.10,1.10,37.88,96,13,51,
-,-,-,-,-,-,-,-,-,-,-,515.00,"26,000",0.15,3.65,"3,000",-,11.10,-,-,-,1,
,3,-,-,-,33.95,-,"4,000",67.10,71.20,"4,000",520.00,"3,000",1.55,1.70,"1,000",0.50,1.95,38.57,70,11,283,
-,-,-,-,-,-,-,-,-,-,-,525.00,"40,000",0.25,3.00,"1,000",-,2.95,-,-,-,11,
,3,-,-,-,39.00,-,"4,000",58.05,62.10,"7,000",530.00,"1,000",2.35,2.45,"1,000",0.35,2.50,36.47,112,-1,144,
,2,-,-,-,23.70,-,"1,000",53.20,57.55,"4,000",535.00,"1,000",2.80,3.05,"1,000",0.05,3.35,37.25,40,6,30,
,31,-10,22,-,50.25,-12.30,"1,000",49.90,53.30,"4,000",540.00,"1,000",3.50,3.80,"1,000",0.40,3.50,35.27,142,11,205,
,5,-,3,-,45.10,9.50,"7,000",44.65,49.15,"4,000",545.00,"1,000",4.20,4.50,"1,000",2.60,5.70,39.10,19,13,27,
,125,-20,26,22.86,42.00,-10.25,"1,000",41.60,43.50,"1,000",550.00,"1,000",5.05,6.25,"2,000",0.85,5.30,35.26,370,-39,692,
,24,2,6,25.78,38.50,-15.50,"1,000",36.95,41.05,"4,000",555.00,"1,000",5.45,7.45,"20,000",1.05,6.20,34.72,98,11,48,
,116,-4,11,27.38,35.05,-6.80,"3,000",33.05,35.95,"1,000",560.00,"1,000",7.10,9.00,"20,000",1.00,7.20,34.10,263,14,411,
,40,-3,22,27.25,31.20,-15.10,"3,000",29.45,32.50,"1,000",565.00,"1,000",7.80,10.65,"20,000",1.65,8.95,34.77,80,-,52,
,142,11,43,28.26,28.10,-5.30,"3,000",27.00,29.45,"3,000",570.00,"1,000",9.75,10.55,"1,000",1.90,10.40,34.40,220,55,178,
,51,2,44,28.58,24.95,-6.45,"1,000",24.55,26.65,"1,000",575.00,"1,000",11.10,14.05,"23,000",2.15,12.20,34.36,114,14,65,
,230,70,354,28.80,22.00,-5.30,"1,000",21.80,22.75,"3,000",580.00,"1,000",14.00,14.25,"1,000",2.50,14.25,34.41,537,45,311,
,138,57,312,29.02,19.30,-4.65,"1,000",19.00,19.50,"1,000",585.00,"1,000",16.25,16.50,"1,000",2.80,16.45,34.36,289,29,87,
,192,62,641,28.99,16.70,-4.70,"2,000",16.60,17.00,"1,000",590.00,"1,000",18.70,20.60,"6,000",3.35,19.15,34.84,331,13,292,
,232,12,308,29.59,14.70,-4.10,"30,000",12.80,14.95,"1,000",595.00,"3,000",19.45,22.15,"1,000",3.60,21.85,34.95,156,-13,144,
,"1,175",289,"1,169",29.69,12.65,-3.85,"2,000",12.50,12.70,"2,000",600.00,"1,000",23.70,25.90,"2,000",4.00,24.75,35.08,302,-10,383,
,241,47,281,29.65,10.75,-3.60,"1,000",10.80,11.40,"1,000",605.00,"7,000",26.25,29.15,"1,000",4.80,28.35,36.13,31,-3,99,
,543,-14,363,29.78,9.15,-3.30,"1,000",8.90,9.45,"1,000",610.00,"3,000",30.25,33.25,"3,000",4.80,31.35,35.77,19,1,79,
,140,-8,109,30.01,7.80,-2.90,"1,000",6.85,9.00,"1,000",615.00,"2,000",33.15,36.50,"2,000",4.05,35.05,36.41,5,3,18,
,495,39,443,30.19,6.60,-2.65,"1,000",6.60,6.80,"2,000",620.00,"2,000",37.30,40.75,"7,000",6.85,40.10,39.47,33,13,49,
,127,-7,69,30.35,5.55,-2.35,"1,000",5.50,5.80,"1,000",625.00,"2,000",40.80,44.45,"1,000",-,39.75,-,-,-,10,
,286,24,329,30.51,4.65,-2.15,"2,000",4.60,4.75,"1,000",630.00,"2,000",44.85,47.80,"1,000",5.40,45.90,36.04,5,2,22,
,39,-14,66,31.01,4.00,-2.45,"1,000",3.80,4.00,"2,000",635.00,"3,000",48.80,52.75,"7,000",-,46.15,-,-,-,5,
,323,36,278,30.77,3.20,-1.70,"2,000",3.25,3.35,"2,000",640.00,"4,000",53.35,57.05,"9,000",6.05,56.65,42.67,2,-1,13,
,73,40,86,31.11,2.70,-1.35,"2,000",2.65,2.85,"2,000",645.00,"4,000",57.65,61.65,"7,000",-,49.90,-,-,-,4,
,884,39,452,31.72,2.35,-1.20,"9,000",2.25,2.40,"4,000",650.00,"5,000",62.30,65.85,"1,000",-,54.40,-,-,-,107,
,20,-1,14,32.74,2.15,-1.05,"30,000",1.75,3.70,"1,000",655.00,"4,000",66.95,72.30,"3,000",-,-,-,-,-,-,
,206,38,114,32.28,1.65,-1.00,"2,000",1.60,1.70,"4,000",660.00,"4,000",71.65,75.35,"2,000",-,60.00,-,-,-,6,
,-,-,-,-,-,-,"1,000",0.55,3.00,"40,000",665.00,"3,000",75.75,81.60,"5,000",-,-,-,-,-,-,
,38,1,25,33.11,1.20,-0.70,"1,000",1.05,1.25,"1,000",670.00,"2,000",80.60,84.90,"7,000",-21.40,82.20,43.06,19,7,13,
,84,-4,52,34.45,0.95,-0.45,"1,000",0.60,1.05,"2,000",680.00,"3,000",90.65,94.55,"7,000",-,107.75,-,-,-,2,
,30,-,-,-,1.10,-,"3,000",0.40,1.00,"5,000",690.00,"4,000",100.20,104.50,"7,000",-,-,-,-,-,-,
,679,-23,61,35.81,0.50,-0.25,"5,000",0.40,0.45,"4,000",700.00,"3,000",109.95,114.45,"6,000",-,88.20,-,-,-,59,
,36,-1,3,39.33,0.40,-0.10,"1,000",0.25,0.50,"2,000",720.00,-,-,-,-,-,-,-,-,-,-,-
