CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,850",270.70,284.60,"2,200",920.00,"1,100",0.30,4.00,"2,200",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,650",229.75,246.90,"1,650",960.00,550,1.30,1.60,550,0.30,1.70,50.55,179,-26,162,
,1,-,-,-,138.00,-,"1,650",190.35,204.15,"2,750","1,000.00",550,2.45,2.70,"3,850",-0.40,2.60,46.31,302,35,741,
,3,-,-,-,151.55,-,"1,650",171.25,185.50,"1,650","1,020.00",550,3.35,3.50,550,-0.25,3.40,44.69,46,-,60,
,18,-,-,-,140.00,-,"2,200",154.90,165.60,550,"1,040.00",550,4.35,4.50,550,-1.05,4.45,43.11,119,10,154,
,74,-,-,-,143.95,-,"1,650",133.60,147.50,"2,200","1,060.00",550,4.50,6.15,550,-1.20,5.80,41.49,215,-,405,
,7,1,4,33.29,122.15,-4.70,"3,850",118.25,132.45,"2,200","1,080.00",550,7.25,12.30,"16,500",-1.10,8.05,40.70,333,-3,142,
,92,10,71,34.01,105.20,-4.45,550,104.25,111.85,"2,200","1,100.00","1,650",10.50,11.10,"2,750",-1.70,10.80,39.63,"1,127",71,716,
,110,2,12,35.13,89.85,-0.85,"2,200",86.75,94.80,550,"1,120.00",550,13.90,19.60,550,-1.80,14.30,38.52,300,3,270,
,124,-25,158,35.08,75.00,-4.10,550,73.20,79.65,550,"1,140.00",550,18.10,19.95,550,-1.75,19.30,37.99,426,15,208,
,564,-6,335,35.61,62.15,-2.75,"5,500",56.95,67.95,"5,500","1,160.00",550,20.50,29.95,550,-2.40,25.00,36.96,600,-13,482,
,289,48,412,35.11,49.75,-3.95,550,49.20,51.30,550,"1,180.00",550,32.60,36.95,"3,300",-2.70,33.00,36.84,488,46,323,
,"1,819",295,"2,940",35.37,39.75,-3.50,550,38.40,39.60,"1,650","1,200.00",550,40.80,45.05,550,-2.30,42.00,36.28,"1,192",266,804,
,513,124,"1,887",34.92,30.50,-3.25,550,30.50,31.00,550,"1,220.00",550,50.20,55.60,550,-1.80,53.60,36.70,202,44,159,
,356,78,"1,176",34.16,22.45,-3.35,550,22.20,24.45,550,"1,240.00","1,100",62.95,69.25,"2,200",-1.35,67.10,37.58,56,16,77,
,684,62,"1,226",34.71,17.20,-2.15,"1,100",16.75,18.00,550,"1,260.00","1,100",76.80,81.90,550,-0.90,81.65,38.31,46,22,85,
,201,10,444,35.06,12.90,-1.75,550,8.45,14.00,550,"1,280.00","5,500",89.95,99.15,550,-1.75,95.05,36.64,7,4,22,
,997,152,"1,591",35.32,9.50,-1.20,"2,200",9.50,11.00,550,"1,300.00",550,107.25,114.85,550,3.45,114.85,41.19,41,-1,256,
,114,-18,362,35.56,6.90,-1.15,550,6.00,8.00,550,"1,320.00","2,200",124.65,132.70,"2,200",-1.30,124.05,29.49,2,1,9,
,167,115,438,36.82,5.50,-0.45,550,3.00,6.80,550,"1,340.00",550,142.75,151.00,550,-4.95,141.90,27.23,3,3,10,
,145,24,247,36.58,3.75,-0.75,550,3.00,4.20,550,"1,360.00","1,650",158.60,170.15,"1,100",-11.00,160.00,-,11,3,6,
,687,174,"1,516",39.37,2.55,-,550,2.30,2.70,"1,100","1,400.00",550,199.50,207.95,"1,650",-1.15,201.85,36.72,10,5,221,
,23,6,13,38.20,1.50,-0.45,550,1.60,6.70,"2,200","1,420.00",-,-,-,-,-,-,-,-,-,-,-
,118,65,92,40.97,1.55,-,"4,400",0.65,1.90,550,"1,440.00","2,200",237.90,249.70,"1,650",-,190.00,-,-,-,1,
,29,-,2,41.09,1.10,-,"3,300",0.40,1.80,"2,750","1,460.00","1,650",257.55,268.40,"2,200",-,275.00,-,-,-,10,
,32,-,2,43.73,1.15,0.30,"3,300",0.35,1.50,550,"1,480.00","2,200",277.35,288.20,"2,200",-,300.00,-,-,-,30,
,43,1,12,45.36,0.75,0.20,550,0.30,0.75,"1,100","1,520.00","3,850",316.70,328.95,"1,650",-,328.00,-,-,-,37,
,18,-,-,-,0.25,-,550,0.25,0.35,550,"1,560.00",-,-,-,-,-,-,-,-,-,-,-
