CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,202.60,-,"2,500",220.75,228.55,"2,500",800.00,"14,375",0.15,0.30,"13,125",-0.05,0.15,40.84,18,-13,138,
,-,-,-,-,-,-,"4,375",200.60,208.65,"2,500",820.00,625,0.15,0.30,625,-,0.25,-,-,-,6,
,-,-,-,-,160.00,-,"4,375",180.60,188.70,"1,875",840.00,"31,250",0.15,0.30,"1,250",-0.05,0.20,34.75,6,-4,387,
,4,-,-,-,138.15,-,"2,500",170.25,178.70,"1,875",850.00,"4,375",0.20,0.25,"6,250",-0.10,0.20,32.92,68,4,809,
,-,-,-,-,-,-,"3,125",160.35,168.80,"1,875",860.00,"11,875",0.20,0.25,"10,000",-0.15,0.20,31.11,47,-4,716,
,-,-,-,-,-,-,"3,125",150.65,159.05,"1,875",870.00,"3,750",0.30,0.40,"3,750",-0.10,0.35,31.53,24,-,272,
,-,-,-,-,-,-,"1,875",140.65,149.25,"1,875",880.00,"1,250",0.45,0.70,"1,875",-0.25,0.45,30.72,54,-10,404,
,-,-,-,-,-,-,"1,875",130.80,138.55,"1,875",890.00,"1,875",0.50,0.80,"2,500",-0.45,0.55,29.67,449,207,641,
,153,-10,11,-,124.90,5.90,"2,500",124.35,125.50,625,900.00,"2,500",1.10,1.15,"8,125",-0.30,1.10,31.16,507,92,"1,367",
,4,-,-,-,84.75,-,"1,875",112.00,120.00,"1,875",910.00,"1,250",1.35,1.50,"1,250",-0.35,1.40,30.39,324,87,380,
,38,-,-,-,99.50,-,"1,250",104.95,110.25,"5,000",920.00,"1,250",1.75,1.95,"1,250",-0.45,1.80,29.68,329,48,597,
,104,-,-,-,86.75,-,"6,250",94.65,100.45,"2,500",930.00,"3,125",2.25,3.10,625,-0.60,2.30,28.95,432,4,502,
,181,-1,4,-,81.30,-0.20,"1,250",85.95,90.85,"2,500",940.00,"2,500",2.85,3.00,625,-0.65,2.95,28.26,418,-89,600,
,303,-45,94,20.13,77.90,6.50,"1,250",76.45,78.50,625,950.00,"1,875",3.55,3.80,"1,250",-0.80,3.60,27.20,"1,152",12,"1,611",
,287,-85,179,20.43,68.75,6.80,"15,625",66.85,69.95,625,960.00,"1,250",4.25,4.55,"1,250",-1.00,4.50,26.30,870,47,816,
,373,14,42,19.99,59.65,6.30,"1,250",58.85,62.25,625,970.00,625,5.50,6.50,"1,250",-1.20,5.70,25.53,"1,165",45,900,
,519,-41,367,20.76,51.60,6.25,"1,875",50.30,53.70,625,980.00,625,6.80,7.20,"2,500",-1.65,7.15,24.69,"1,518",-35,"1,370",
,720,9,501,20.47,43.50,5.45,"1,250",42.00,43.50,625,990.00,625,8.55,9.15,"1,250",-2.05,9.05,23.96,"1,623",55,"1,481",
