CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,500",387.65,402.95,"3,500","1,400.00","1,000",0.25,0.35,"1,500",-,0.35,42.49,28,-10,831,
,-,-,-,-,-,-,"1,500",368.25,388.05,"1,500","1,420.00",500,0.25,5.05,"15,000",-,0.55,-,-,-,2,
,-,-,-,-,-,-,"1,500",348.75,363.60,"3,500","1,440.00","1,000",0.40,1.50,"10,000",-,1.20,-,-,-,79,
,-,-,-,-,-,-,"1,500",328.20,343.15,"3,500","1,460.00","4,000",0.20,0.45,"1,000",-0.20,0.20,33.86,53,-46,270,
,-,-,-,-,-,-,"1,500",308.70,323.50,"1,500","1,480.00",500,0.50,1.00,500,-0.35,0.55,35.99,47,-38,70,
,31,-,-,-,257.10,-,"2,000",289.65,302.55,"2,000","1,500.00","7,500",0.65,0.75,500,-0.25,0.70,34.94,45,-10,662,
,3,-,-,-,162.90,-,"1,500",268.75,283.60,500,"1,520.00","1,000",0.95,1.15,500,-0.30,0.95,34.21,4,-,175,
,-,-,-,-,-,-,"1,500",248.70,264.60,"3,500","1,540.00","1,500",0.85,1.30,500,-0.55,1.05,32.43,309,43,321,
,5,-,-,-,172.20,-,"1,500",229.05,244.90,"3,500","1,560.00","1,500",1.25,1.60,"1,500",-0.40,1.55,32.13,257,70,266,
,7,-,-,-,187.45,-3.55,"3,500",210.25,224.35,"2,000","1,580.00",500,1.80,2.10,"1,500",-0.85,1.95,30.99,378,164,404,
,72,-,1,-,195.00,-15.50,500,194.90,204.10,"2,000","1,600.00","1,500",2.65,2.80,"1,000",-0.45,2.75,30.53,463,-124,737,
,15,-,-,-,173.90,-,"2,000",174.70,186.15,"2,000","1,620.00",500,3.50,3.90,"1,500",-0.45,3.75,29.91,143,-17,209,
,88,-,-,-,166.00,-,"2,000",154.80,168.35,"2,000","1,640.00","1,500",4.55,4.80,"1,500",-0.65,4.65,28.65,311,-1,519,
,78,-1,1,17.16,141.10,-10.75,500,140.80,146.25,500,"1,660.00",500,6.25,6.55,500,-0.20,6.60,28.42,267,11,704,
,41,-20,23,20.27,123.45,-27.55,"1,500",117.85,126.75,500,"1,680.00",500,7.05,8.30,500,-0.25,8.30,27.27,335,43,543,
,236,-1,59,22.06,107.10,-7.80,500,105.70,112.55,500,"1,700.00","1,500",10.50,12.40,"1,500",-0.60,10.55,26.19,941,4,"1,288",
,151,-3,9,22.42,91.00,-11.35,500,89.20,94.85,"1,000","1,720.00","1,000",13.85,14.80,500,-0.15,14.35,25.84,487,-34,278,
,267,-42,184,20.91,73.75,-9.95,500,72.20,81.10,"1,000","1,740.00",500,17.10,20.50,500,0.05,18.90,25.30,670,-8,561,
,354,-8,284,21.39,60.40,-7.70,500,60.50,65.40,500,"1,760.00",500,22.70,25.00,500,-0.30,24.05,24.43,"1,066",42,510,
,331,37,471,22.00,49.00,-6.25,"2,000",48.00,49.40,500,"1,780.00",500,31.00,31.55,500,-0.20,31.05,23.93,"1,299",44,376,
,"2,672",349,"3,271",21.69,37.80,-5.65,"2,500",37.75,38.50,"2,500","1,800.00",500,40.00,42.00,500,0.25,40.00,23.72,"1,397",83,787,
,"1,368",255,"1,781",21.64,28.70,-4.85,"1,500",27.40,28.75,500,"1,820.00",500,46.80,52.85,500,1.40,51.25,23.97,292,3,251,
,"1,238",-33,990,21.90,21.75,-3.95,"1,000",21.00,21.80,500,"1,840.00",500,61.65,66.55,500,2.50,64.15,24.33,95,5,184,
,"3,676",315,"1,817",21.87,15.80,-3.70,"1,000",15.20,15.85,500,"1,860.00",500,75.35,83.75,"1,500",5.25,79.55,25.49,32,-,99,
,562,19,765,22.48,12.00,-2.65,"1,000",11.70,12.15,500,"1,880.00",500,90.70,97.45,"2,500",-1.60,95.25,26.21,6,3,14,
,"1,934",62,"1,262",23.32,9.35,-1.90,500,8.95,9.80,500,"1,900.00",500,108.20,118.45,"1,500",0.45,113.70,28.43,42,7,145,
,441,-2,399,23.71,6.90,-1.90,"2,000",6.00,8.70,"1,000","1,920.00","2,000",122.20,135.50,500,-0.15,123.00,21.52,8,8,19,
,513,48,567,24.58,5.45,-1.25,"1,000",5.25,5.50,"2,000","1,940.00","2,000",142.85,150.65,500,9.00,150.50,31.93,19,17,24,
,726,36,450,25.10,4.10,-1.10,"1,500",3.95,4.15,500,"1,960.00","2,000",160.50,170.40,"2,000",10.75,172.05,36.21,6,-,12,
,184,87,243,25.46,3.00,-0.95,"2,000",3.00,3.25,500,"1,980.00","2,000",177.75,192.75,"1,500",-,-,-,-,-,-,
,"1,766",77,"1,000",26.51,2.50,-0.60,"1,000",2.50,2.65,500,"2,000.00",500,200.90,209.85,500,10.45,205.10,34.33,3,-2,366,
,"1,544",180,"1,924",27.70,1.50,-0.20,"1,000",1.40,1.55,500,"2,040.00","2,000",237.15,251.30,"3,500",-,222.00,-,-,-,9,
