CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,370.00,"1,320",0.35,0.50,"1,320",-0.15,0.40,53.67,15,-,20,
-,-,-,-,-,-,-,-,-,-,-,390.00,"1,320",0.50,0.80,"1,320",-0.35,0.65,48.04,2,-1,13,
,1,-,-,-,85.00,-,"9,240",76.25,81.70,"3,960",400.00,"7,920",0.50,0.75,"1,320",-0.35,0.50,41.21,7,-,67,
,-,-,-,-,-,-,"3,960",66.45,71.85,"3,960",410.00,"3,960",0.60,0.95,"1,320",-0.30,0.90,40.84,8,-6,76,
,-,-,-,-,-,-,"3,960",56.70,61.40,"3,960",420.00,"1,320",1.15,1.30,"1,320",-0.35,1.30,38.85,37,-2,93,
,-,-,-,-,-,-,"9,240",51.60,57.60,"9,240",425.00,"1,320",0.45,3.25,"52,800",-,2.10,-,-,-,4,
,3,-,-,-,42.30,-,"3,960",47.75,52.10,"3,960",430.00,"1,320",1.80,1.95,"1,320",-0.50,1.95,37.24,38,-8,190,
,-,-,-,-,-,-,"3,960",43.25,48.70,"3,960",435.00,"1,320",2.30,2.40,"1,320",-0.75,2.35,36.30,24,5,59,
,10,-,-,-,42.00,-,"3,960",39.05,43.45,"9,240",440.00,"1,320",2.85,3.05,"2,640",-0.70,3.00,36.04,69,15,122,
,6,-,-,-,37.95,-,"3,960",35.00,39.35,"3,960",445.00,"1,320",3.65,3.85,"1,320",-0.85,3.90,36.17,20,4,44,
,53,-1,8,-,31.30,-5.10,"3,960",30.50,34.60,"5,280",450.00,"2,640",4.50,4.65,"1,320",-0.90,4.60,35.10,99,14,278,
,17,-,7,20.07,27.90,-4.05,"5,280",26.35,31.45,"5,280",455.00,"1,320",4.65,6.80,"26,400",-0.80,5.85,35.24,54,-6,53,
,35,5,9,22.23,24.30,-1.95,"1,320",23.80,27.75,"1,320",460.00,"1,320",6.05,7.85,"1,320",-1.00,7.10,34.81,128,20,198,
,13,-1,13,26.70,22.15,-2.80,"1,320",21.20,23.10,"1,320",465.00,"1,320",7.30,10.25,"26,400",-0.90,8.80,34.99,174,27,112,
,94,-20,80,24.00,17.70,-2.65,"1,320",17.80,19.75,"1,320",470.00,"2,640",9.40,12.00,"1,320",-1.10,10.60,34.83,436,-50,313,
,57,5,84,27.81,16.30,-1.25,"1,320",13.85,17.30,"1,320",475.00,"1,320",11.10,13.30,"1,320",-0.95,12.85,35.14,100,-16,109,
,290,3,846,27.99,13.70,-1.55,"2,640",13.05,13.75,"2,640",480.00,"2,640",15.00,16.90,"1,320",-1.10,15.30,35.33,597,50,271,
,124,30,295,27.72,11.20,-1.70,"1,320",9.65,13.40,"1,320",485.00,"1,320",16.25,20.75,"15,840",-0.95,18.00,35.54,43,2,97,
,159,27,444,28.32,9.40,-1.50,"1,320",8.55,10.95,"1,320",490.00,"3,960",19.05,22.95,"1,320",-0.20,21.55,37.10,69,3,164,
,67,-8,156,27.71,7.35,-1.85,"2,640",6.65,9.40,"1,320",495.00,"2,640",21.90,26.75,"3,960",0.25,25.25,38.55,27,2,48,
,456,63,533,29.34,6.50,-1.25,"1,320",6.15,6.55,"1,320",500.00,"1,320",26.65,30.00,"1,320",-1.10,28.50,38.56,13,2,70,
,54,1,102,28.02,4.70,-1.65,"1,320",5.20,5.50,"1,320",505.00,"3,960",30.65,33.55,"5,280",-4.60,29.65,32.87,4,-,7,
,121,21,103,29.63,4.20,-1.05,"1,320",4.30,4.50,"1,320",510.00,"7,920",33.90,37.60,"5,280",-3.15,32.15,29.27,2,-,14,
,57,-,24,29.17,3.15,-1.15,"1,320",2.80,3.65,"1,320",515.00,"3,960",37.55,42.20,"5,280",-6.05,35.95,28.34,3,3,7,
,281,39,189,30.55,2.80,-0.90,"1,320",2.85,3.00,"3,960",520.00,"3,960",41.95,46.65,"3,960",-,44.05,-,-,-,15,
,74,24,76,31.08,2.30,-0.90,"2,640",2.25,2.40,"1,320",525.00,"1,320",47.55,51.00,"3,960",-,38.60,-,-,-,9,
,101,6,51,31.18,1.80,-0.85,"1,320",1.75,2.00,"1,320",530.00,"9,240",50.20,55.55,"3,960",-,45.70,-,-,-,19,
,75,14,29,31.02,1.35,-2.20,"1,320",1.45,1.85,"2,640",535.00,"3,960",54.95,60.15,"3,960",-,-,-,-,-,-,
,113,18,75,32.46,1.25,-0.55,"3,960",1.20,1.30,"3,960",540.00,"3,960",59.50,65.10,"5,280",-,52.10,-,-,-,4,
,168,29,83,33.09,0.80,-0.50,"5,280",0.80,1.05,"1,320",550.00,"3,960",70.25,74.75,"3,960",-,71.25,-,-,-,49,
,12,-,-,-,0.95,-,"7,920",0.35,0.90,"1,320",560.00,"3,960",78.95,84.35,"9,240",-4.40,78.60,36.71,1,-,1,
