CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,150.00,"15,750",0.25,0.30,"28,875",-,0.30,68.87,15,-1,194,
,-,-,-,-,-,-,"18,375",45.00,46.70,"10,500",160.00,"10,500",0.35,0.40,"39,375",-0.05,0.35,58.27,17,-1,306,
,-,-,-,-,-,-,"7,875",40.15,41.90,"10,500",165.00,"2,625",0.45,0.55,"5,250",-,0.50,55.97,18,-9,217,
,9,-,-,-,43.15,-,"13,125",35.50,37.00,"10,500",170.00,"13,125",0.60,0.70,"18,375",0.05,0.65,52.63,244,-19,409,
,35,-,-,-,33.75,-,"10,500",30.80,32.15,"2,625",175.00,"10,500",0.80,0.90,"10,500",-,0.85,49.30,172,-16,230,
,109,-,-,-,30.40,-,"13,125",26.15,27.60,"21,000",180.00,"7,875",1.20,1.30,"28,875",-,1.20,46.90,"1,099",-339,"1,056",
,107,-,-,-,26.75,-,"2,625",22.30,23.05,"18,375",185.00,"2,625",1.50,1.75,"18,375",0.10,1.70,44.60,714,-40,523,
,230,-,50,41.68,18.30,-3.30,"2,625",18.05,18.60,"2,625",190.00,"18,375",2.45,2.55,"15,750",0.25,2.50,43.07,"1,620",-1,"1,376",
,384,-2,38,41.73,14.65,-2.80,"2,625",14.20,14.80,"2,625",195.00,"10,500",3.60,3.70,"13,125",0.45,3.60,41.54,859,16,758,
,"1,661",28,410,39.89,11.10,-2.70,"5,250",11.10,11.25,"5,250",200.00,"7,875",5.20,5.25,"18,375",0.75,5.25,40.96,"2,002",-73,"1,652",
,591,40,666,39.65,8.30,-2.25,"2,625",8.25,8.30,"2,625",205.00,"5,250",7.30,7.40,"2,625",1.05,7.25,39.78,"1,581",-57,535,
,"2,054",294,"2,664",38.87,5.90,-2.00,"5,250",5.90,6.00,"47,250",210.00,"5,250",9.80,10.00,"15,750",1.60,10.00,39.93,"1,100",-14,905,
,"1,108",114,"1,249",39.48,4.25,-1.45,"13,125",4.10,4.25,"5,250",215.00,"23,625",12.80,13.30,"2,625",1.90,13.20,39.94,198,-12,219,
,"1,881",61,"1,705",39.41,2.90,-1.15,"2,625",2.85,2.90,"21,000",220.00,"10,500",16.50,17.05,"2,625",2.25,16.85,40.11,79,-12,363,
,937,18,904,39.97,2.00,-0.85,"5,250",1.90,2.00,"10,500",225.00,"2,625",20.55,21.75,"2,625",2.60,20.95,41.00,25,7,128,
,"1,562",278,"1,553",40.43,1.35,-0.65,"15,750",1.30,1.35,"23,625",230.00,"2,625",24.90,26.15,"2,625",0.10,22.45,-,3,-2,198,
,530,14,545,41.49,0.95,-0.45,"36,750",0.90,1.00,"36,750",235.00,"7,875",29.25,30.80,"18,375",-,26.50,-,-,-,22,
,814,20,485,42.24,0.65,-0.35,"7,875",0.65,0.70,"23,625",240.00,"2,625",34.15,34.95,"7,875",2.25,32.75,-,3,-1,265,
,235,9,113,44.02,0.50,-0.25,"42,000",0.40,0.55,"36,750",245.00,"7,875",38.65,39.95,"10,500",-,35.20,-,-,-,27,
,"1,577",27,261,47.01,0.45,-0.10,"2,38,875",0.40,0.45,"1,94,250",250.00,"10,500",43.70,44.70,"10,500",-,41.00,-,-,-,432,
,160,1,8,48.51,0.35,-0.05,"1,18,125",0.25,0.35,"21,000",255.00,"10,500",48.55,49.50,"10,500",-,45.25,-,-,-,43,
,387,-5,44,49.20,0.25,-0.10,"3,36,000",0.20,0.30,"1,20,750",260.00,"7,875",53.45,54.40,"10,500",-,52.00,-,-,-,217,
,202,-6,13,55.69,0.25,0.05,"18,375",0.20,0.25,"21,000",270.00,"18,375",63.40,64.35,"10,500",-,65.40,-,-,-,161,
,305,-2,2,57.46,0.15,-0.05,"84,000",0.15,0.20,"15,750",280.00,"26,250",73.10,74.25,"10,500",2.40,73.40,-,1,-1,468,
,114,1,4,68.22,0.15,-,"2,25,750",0.10,0.20,"10,500",300.00,-,-,-,-,-,-,-,-,-,-,-
