CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,175,"5,195.45","5,432.20",75,"23,000.00",225,1.00,20.00,100,-,-,-,-,-,-,
,-,-,-,-,-,-,75,"4,186.85","4,505.20",100,"24,000.00",250,21.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,175,"3,236.40","3,474.05",175,"25,000.00",500,33.90,52.00,25,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"2,742.30","3,077.90",100,"25,500.00",500,52.15,-,-,-,65.80,-,-,-,3,
,52,52,570,30.71,"2,422.75","-6,753.50",75,"2,341.90","2,591.25",50,"26,000.00",25,105.15,146.95,25,14.60,130.00,31.35,166,10,177,
,34,34,343,33.18,"2,050.15","-5,989.35",75,"1,889.15","2,171.20",50,"26,500.00",25,154.50,238.45,25,25.40,200.95,30.67,32,-12,47,
,34,1,3,28.82,"1,584.25",-238.55,25,"1,529.75","1,738.80",25,"27,000.00",50,255.45,307.15,25,9.75,268.10,28.38,166,7,216,
,-,-,-,-,-,-,175,"1,120.85","1,385.10",50,"27,500.00",25,364.20,437.65,25,38.90,408.90,28.06,52,-11,50,
,172,-1,48,28.12,920.00,-132.65,25,918.35,950.00,25,"28,000.00",25,484.90,634.90,50,61.70,600.00,27.85,157,-9,264,
,198,31,264,28.44,680.00,-81.70,25,623.10,679.35,25,"28,500.00",25,702.85,860.50,50,131.40,885.00,29.21,14,-9,36,
,413,27,276,27.24,451.00,-87.65,750,391.25,464.95,25,"29,000.00",25,"1,014.35","1,208.25",100,125.50,"1,150.00",27.93,17,-3,296,
,184,16,193,27.21,302.00,-66.10,750,260.95,317.95,25,"29,500.00",250,"1,337.00","1,575.70",125,-,940.20,-,-,-,42,
,"1,392",72,"1,091",26.41,180.00,-64.50,25,180.00,200.00,25,"30,000.00",100,"1,736.85","1,975.45",100,293.10,"1,893.10",28.40,40,-6,"1,629",
,60,-,47,26.45,110.10,-50.80,25,110.30,161.05,25,"30,500.00",25,"2,157.70","2,423.70",175,-,"1,949.05",-,-,-,5,
,"1,238",9,493,28.61,88.05,-24.40,25,84.05,90.00,75,"31,000.00",100,"2,602.60","2,775.55",50,190.70,"2,726.90",25.70,757,9,"1,450",
,60,10,32,28.27,49.95,-30.85,25,50.05,77.00,25,"31,500.00",100,"3,063.75","3,315.30",25,476.30,"3,400.65",42.67,260,2,7,
,849,68,352,30.40,42.05,-13.85,25,42.00,50.00,25,"32,000.00",100,"3,568.05","3,783.35",150,-,"3,610.00",-,-,-,30,
,113,-,-,-,45.05,-,500,26.00,45.00,50,"32,500.00",-,-,-,-,-,-,-,-,-,-,-
,163,-12,28,31.46,18.00,-21.75,25,22.00,34.90,25,"33,000.00",75,"4,531.15","4,811.55",100,-,"4,050.00",-,-,-,8,
,20,-,-,-,31.60,0.70,700,2.55,-,-,"33,500.00",-,-,-,-,-,-,-,-,-,-,-
,576,31,89,37.11,20.05,-5.85,450,20.05,24.00,100,"34,000.00",100,"5,526.10","5,809.55",75,-,"5,350.00",-,-,-,2,
,1,-,-,-,800.00,-,700,1.25,-,-,"34,500.00",-,-,-,-,-,-,-,-,-,-,-
,12,-,1,37.65,9.00,-1.00,100,9.10,20.00,100,"35,000.00",75,"6,509.20","6,820.05",75,-,"6,250.00",-,-,-,12,
,40,-,-,-,12.00,-,75,5.00,-,-,"36,000.00",-,-,-,-,-,-,-,-,-,-,-
,15,-,-,-,5.00,-,50,3.05,19.95,125,"36,500.00",-,-,-,-,-,-,-,-,-,-,-
,26,-,-,-,13.00,-,75,1.15,29.95,300,"37,000.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,339.95,-,25,1.05,-,-,"37,500.00",-,-,-,-,-,-,-,-,-,-,-
,34,-,-,-,5.05,-,25,0.20,16.00,25,"38,000.00",-,-,-,-,-,-,-,-,-,-,-
,9,-,-,-,14.00,-,25,1.05,19.95,100,"39,000.00",-,-,-,-,-,-,-,-,-,-,-
