CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,100.00",100,2.10,2.60,200,-1.90,2.55,38.89,92,19,346,
,-,-,-,-,-,-,300,751.00,805.50,300,"4,200.00",500,1.50,7.75,500,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"4,250.00",500,2.80,14.90,500,-,7.50,-,-,-,2,
,-,-,-,-,-,-,300,658.70,707.70,300,"4,300.00",500,2.20,10.90,500,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"4,350.00",100,6.50,9.00,200,-1.80,7.15,34.26,283,31,461,
,-,-,-,-,-,-,500,558.00,612.05,500,"4,400.00",200,7.90,8.20,"1,100",-3.90,8.05,32.72,"1,054",258,787,
,-,-,-,-,-,-,300,503.50,566.50,300,"4,450.00",500,5.10,19.00,500,-,-,-,-,-,-,
,4,-,-,-,546.25,-,700,465.20,516.30,300,"4,500.00",100,15.60,16.85,100,-4.65,15.65,32.76,"1,213",11,654,
,-,-,-,-,-,-,500,421.90,466.60,300,"4,550.00","5,000",9.60,21.00,300,-6.05,20.95,32.68,502,28,123,
,13,-,-,-,419.30,-,400,388.95,429.45,300,"4,600.00",100,25.60,33.00,100,-6.20,28.00,32.74,"1,826",98,552,
,-,-,-,-,-,-,400,332.90,437.70,"5,000","4,650.00","5,000",15.40,-,-,-12.40,36.00,32.56,239,85,87,
,14,5,10,29.24,331.45,28.75,100,320.00,349.05,100,"4,700.00",200,44.00,46.05,100,-9.25,46.00,32.47,"1,325",-92,600,
,7,1,1,19.92,263.30,-34.05,100,273.15,307.60,600,"4,750.00",100,50.05,58.30,100,-10.05,58.70,32.57,899,178,365,
,117,15,116,27.59,250.00,18.25,100,235.90,266.55,300,"4,800.00",500,61.40,72.00,200,-13.25,71.95,32.24,"1,987",147,727,
,32,17,75,27.57,215.60,13.40,100,206.70,233.50,100,"4,850.00",100,79.80,89.50,100,-14.20,89.80,32.47,641,64,168,
,330,165,"1,403",28.44,188.00,14.15,200,189.00,190.00,100,"4,900.00",500,100.00,109.00,200,-15.65,108.95,32.42,"2,527",332,904,
,429,170,"2,276",28.66,160.60,12.20,100,160.00,162.00,300,"4,950.00",100,120.00,130.25,200,-18.80,130.20,32.28,"1,344",203,424,
,"2,538",235,"6,119",29.05,137.00,11.50,500,136.00,138.00,"1,000","5,000.00",100,153.00,157.80,100,-19.15,157.00,32.78,"2,299",-176,"1,452",
,612,55,"1,373",28.61,112.30,7.20,500,112.15,115.00,300,"5,050.00",700,166.20,189.15,200,-10.15,195.65,35.23,288,-45,302,
,"1,347",59,"2,641",29.38,96.00,7.50,100,94.00,98.00,100,"5,100.00",300,201.30,222.85,100,-20.35,218.00,33.75,235,-47,436,
,754,61,832,28.98,77.00,4.65,100,73.05,78.00,200,"5,150.00",100,239.00,255.60,100,-11.85,258.00,35.59,25,-,108,
,"1,862",359,"2,295",29.16,63.00,2.95,100,62.80,64.00,300,"5,200.00",400,268.80,288.25,100,-11.30,297.20,36.90,84,15,315,
,"1,388",85,"1,313",28.97,49.80,0.70,200,49.80,51.00,100,"5,250.00",200,303.25,345.70,300,0.15,345.45,-,-,-,81,
,"1,363",201,"1,820",29.44,41.05,0.70,100,41.00,41.90,100,"5,300.00",100,346.20,370.40,100,-29.85,359.00,34.22,27,-15,177,
,479,120,636,29.42,32.25,-0.70,100,20.00,34.00,100,"5,350.00",300,379.80,417.20,100,-17.35,411.55,37.88,3,-3,41,
,964,169,"1,267",29.72,25.95,-1.25,200,25.00,28.00,400,"5,400.00",300,428.25,458.65,700,-,467.00,-,-,-,38,
,296,38,338,30.26,21.40,-1.20,100,18.00,21.40,100,"5,450.00",300,465.55,517.00,500,-,458.70,-,-,-,5,
,"1,385",242,"1,956",30.89,17.85,-0.85,"2,500",16.20,18.95,200,"5,500.00",100,523.45,544.40,100,97.15,550.00,42.81,5,-4,78,
,130,-2,147,30.91,13.80,-1.80,100,12.00,23.10,"5,000","5,550.00",300,559.30,611.45,700,-,410.00,-,-,-,4,
,451,36,"1,037",31.70,11.80,-1.10,100,10.50,12.50,200,"5,600.00",300,607.05,659.85,700,-,418.60,-,-,-,5,
,175,44,210,31.03,8.15,-2.80,100,3.40,14.00,100,"5,650.00",300,652.15,706.55,700,-,458.60,-,-,-,1,
,714,-106,822,32.29,7.55,-1.50,200,3.05,8.80,100,"5,700.00",300,700.35,750.05,700,-,473.00,-,-,-,6,
,358,52,409,34.01,5.85,-1.80,100,5.85,6.80,100,"5,800.00",500,796.90,852.65,300,-,769.10,-,-,-,2,
,"1,402",-454,"2,392",35.99,4.85,-0.90,100,4.55,5.00,500,"5,900.00",500,895.85,951.40,300,-,-,-,-,-,-,
