CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,000",110.15,114.65,"4,000",420.00,"4,000",0.70,0.90,"2,000",-1.15,0.85,54.78,314,33,33,
,-,-,-,-,-,-,"3,000",90.75,94.60,"4,000",440.00,"2,000",1.25,1.40,"3,000",0.10,1.25,49.27,"1,762",61,75,
-,-,-,-,-,-,-,-,-,-,-,450.00,"1,000",1.65,1.90,"1,000",0.10,1.65,47.34,44,10,51,
,-,-,-,-,-,-,"5,000",71.65,75.60,"3,000",460.00,"1,000",2.15,2.60,"1,000",0.20,2.40,46.58,"1,841",74,102,
,4,-2,2,38.39,64.50,-7.70,"4,000",62.85,66.80,"4,000",470.00,"1,000",3.25,3.60,"1,000",0.40,3.40,45.72,695,25,142,
,1,-,-,-,62.80,-,"7,000",54.45,58.30,"4,000",480.00,"1,000",4.60,4.90,"1,000",0.50,4.75,44.93,302,21,131,
,6,-1,3,39.98,47.90,2.35,"8,000",45.95,51.15,"4,000",490.00,"1,000",5.25,7.65,"20,000",0.85,6.55,44.24,157,-31,117,
,44,1,13,43.01,41.50,-4.25,"3,000",38.70,42.55,"1,000",500.00,"6,000",9.00,10.00,"4,000",1.40,9.25,44.53,211,70,369,
,4,-1,2,53.83,39.70,0.55,"2,000",31.90,35.45,"4,000",510.00,"1,000",11.75,13.90,"20,000",1.70,12.15,43.79,154,27,113,
,35,3,17,41.47,27.90,-3.40,"1,000",27.55,29.00,"4,000",520.00,"1,000",15.50,16.00,"1,000",1.85,15.60,42.88,205,-20,291,
,158,-17,264,41.63,22.60,-2.85,"1,000",22.40,22.60,"3,000",530.00,"1,000",20.00,20.20,"1,000",2.25,20.15,42.80,369,-11,265,
,543,210,751,40.80,17.55,-2.75,"1,000",16.85,17.95,"1,000",540.00,"1,000",24.20,26.35,"1,000",2.70,25.30,42.48,58,2,140,
,481,-20,627,40.79,13.65,-2.45,"2,000",13.65,13.80,"1,000",550.00,"1,000",30.20,33.15,"2,000",2.20,31.50,42.84,34,-14,96,
,319,49,319,40.70,10.40,-2.10,"1,000",10.30,11.55,"4,000",560.00,"1,000",36.70,39.80,"1,000",4.80,38.45,43.44,4,-2,43,
,117,13,142,40.29,7.65,-1.90,"1,000",6.60,9.55,"20,000",570.00,"4,000",43.15,48.75,"4,000",0.45,40.25,29.35,5,-1,17,
,351,36,168,40.90,5.85,-1.40,"1,000",5.60,6.90,"1,000",580.00,"2,000",52.00,55.85,"2,000",3.65,52.55,40.97,15,15,49,
,134,27,121,41.50,4.45,-1.00,"1,000",4.30,4.55,"1,000",590.00,"4,000",60.55,64.65,"3,000",-,65.05,-,-,-,8,
,655,68,383,42.20,3.40,-0.75,"2,000",3.35,3.50,"3,000",600.00,"4,000",69.55,72.25,"3,000",2.05,67.35,29.60,4,-,213,
-,-,-,-,-,-,-,-,-,-,-,610.00,"4,000",78.05,83.45,"5,000",-,80.00,-,-,-,3,
,98,-4,52,43.43,1.95,-0.40,"1,000",1.95,2.10,"2,000",620.00,"3,000",88.00,91.75,"4,000",0.60,84.60,-,7,-,26,
,46,-5,245,45.12,1.65,-0.20,"1,000",1.45,1.70,"2,000",630.00,"3,000",97.55,101.80,"3,000",-,91.20,-,-,-,42,
,171,59,"1,284",45.65,1.25,-0.15,"3,000",1.10,1.40,"5,000",640.00,"7,000",107.05,110.95,"4,000",-,107.00,-,-,-,10,
,29,2,19,48.09,0.85,0.10,"2,000",0.60,0.90,"6,000",660.00,"4,000",126.75,130.50,"9,000",-,120.00,-,-,-,11,
,80,2,35,49.12,0.50,-0.10,"1,000",0.45,0.60,"1,000",680.00,"4,000",146.35,150.30,"5,000",-,149.00,-,-,-,60,
