CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,125,"1,058.80","1,084.15",500,"2,600.00","5,000",0.25,5.95,"5,000",-,-,-,-,-,-,
,-,-,-,-,-,-,125,856.65,882.20,375,"2,800.00","2,125",1.05,2.50,250,-0.90,0.95,47.86,2,1,120,
,-,-,-,-,-,-,125,758.10,788.65,875,"2,900.00","3,500",1.15,11.00,125,-,-,-,-,-,-,
,10,2,2,-,679.65,-24.00,250,664.65,688.60,625,"3,000.00",125,7.00,8.95,375,2.40,7.65,51.42,"1,524",-137,358,
,16,-,2,42.20,597.40,180.05,125,563.15,589.10,500,"3,100.00","1,000",8.65,11.00,"1,500",2.25,11.00,48.29,358,12,131,
,59,-,-,-,549.25,-,250,470.45,500.00,500,"3,200.00",125,14.25,20.00,375,3.05,16.25,45.44,561,12,347,
,26,-,-,-,458.30,-,125,384.80,408.95,125,"3,300.00",250,21.15,31.85,"2,500",3.85,26.15,43.77,340,-5,270,
,173,-10,35,23.64,299.70,-63.20,625,291.00,318.40,125,"3,400.00","3,750",35.35,42.50,125,5.45,42.50,42.74,476,11,240,
,266,-2,113,32.18,233.20,-47.65,250,218.75,256.30,500,"3,500.00",125,56.50,74.00,125,8.00,67.05,42.01,840,75,430,
,574,-17,317,34.54,173.00,-41.35,250,161.20,185.10,375,"3,600.00",125,102.85,106.90,"1,000",14.45,106.00,42.82,942,-21,391,
,613,10,"1,301",36.52,126.00,-33.90,125,116.05,126.00,250,"3,700.00",250,140.10,164.00,125,17.10,152.25,42.60,"1,018",26,423,
,817,-15,"1,487",36.52,84.60,-30.60,125,86.05,89.00,250,"3,800.00",375,210.55,231.95,375,30.25,220.00,45.62,336,25,218,
,593,-64,"1,075",37.42,57.00,-22.75,125,58.05,62.00,125,"3,900.00",250,280.55,301.50,125,41.50,298.40,49.40,11,2,117,
,"1,510",290,"1,767",39.21,40.00,-15.45,125,40.20,42.00,125,"4,000.00",625,358.90,381.35,125,49.90,380.85,52.64,6,1,230,
,525,13,488,39.12,24.50,-13.15,125,25.05,35.00,"2,500","4,100.00",250,440.35,472.65,375,83.60,463.75,54.48,3,-1,21,
,"1,060",6,646,41.69,18.55,-7.30,125,18.15,23.00,125,"4,200.00",125,534.80,552.30,500,55.20,555.20,58.24,253,1,207,
,340,-8,280,43.03,12.85,-4.45,125,11.00,15.70,"2,500","4,300.00",375,626.80,659.35,500,106.65,657.30,65.73,3,-1,178,
,308,62,285,45.11,9.75,-1.95,125,7.55,9.80,125,"4,400.00",250,722.95,753.65,250,-,647.75,-,-,-,59,
,676,36,610,44.23,5.30,-2.90,875,5.25,5.70,125,"4,500.00",500,816.25,851.65,"1,250",96.20,824.90,61.15,1,-,44,
,100,46,653,46.38,4.20,-2.05,"1,000",4.35,5.35,125,"4,600.00",500,914.60,947.95,375,-,837.95,-,-,-,16,
,193,-12,123,48.17,3.25,-0.65,250,2.55,4.80,125,"4,700.00",-,-,-,-,-,-,-,-,-,-,-
,47,-,5,48.60,2.10,-1.90,125,2.05,2.80,125,"4,800.00",500,"1,114.95","1,145.40",500,-,"1,236.75",-,-,-,8,
,22,-,-,-,3.00,-,500,1.15,4.85,500,"4,900.00",500,"1,215.30","1,234.90",500,-,"1,348.90",-,-,-,17,
,375,-14,49,54.45,1.95,-0.60,125,1.75,2.00,125,"5,000.00",500,"1,311.00","1,342.60",125,-,"1,463.30",-,-,-,63,
,17,-,-,-,4.75,-,125,0.80,4.50,500,"5,100.00",500,"1,411.45","1,442.15",875,-,"1,355.00",-,-,-,13,
,28,-2,10,60.23,1.90,-0.15,125,1.35,2.25,125,"5,200.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,3.15,-,"3,500",0.35,5.90,"5,000","5,400.00",875,"1,709.65","1,739.75",875,-,"1,700.00",-,-,-,1,
,1,-,-,-,4.65,-,"5,000",0.25,9.00,125,"5,800.00",-,-,-,-,-,-,-,-,-,-,-
,2,-,1,89.10,4.00,2.10,"5,000",0.25,3.95,250,"6,000.00",-,-,-,-,-,-,-,-,-,-,-
