CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,72.00,"13,500",0.05,0.10,"5,87,250",-,0.05,53.65,5,-,83,
,-,-,-,-,-,-,"47,250",21.00,21.80,"47,250",74.00,"2,90,250",0.05,0.10,"60,750",-,0.10,54.43,1,1,64,
-,-,-,-,-,-,-,-,-,-,-,75.00,"4,18,500",0.05,0.10,"30,57,750",-,0.05,46.82,16,-6,539,
,-,-,-,-,-,-,"47,250",19.05,19.85,"47,250",76.00,"94,500",0.10,0.15,"40,500",-,0.10,49.55,2,-,147,
,-,-,-,-,-,-,"33,750",17.00,18.00,"20,250",78.00,"1,75,500",0.10,0.15,"27,000",-0.05,0.10,44.75,2,-1,105,
,22,1,5,-,15.45,-0.60,"6,750",15.35,15.80,"6,750",80.00,"10,53,000",0.15,0.20,"27,000",-,0.20,45.56,135,-16,683,
,3,-,-,-,14.00,-,"47,250",14.15,14.90,"20,250",81.00,"6,750",0.20,0.25,"13,500",0.05,0.25,45.06,6,-6,54,
,-,-,-,-,-,-,"81,000",13.20,14.00,"27,000",82.00,"1,55,250",0.20,0.30,"27,000",-,0.25,42.40,8,-2,176,
,16,-,-,-,12.00,-,"27,000",12.35,13.00,"27,000",83.00,"1,28,250",0.25,0.35,"20,250",-,0.30,41.47,37,-2,139,
,17,-1,2,-,11.50,-0.45,"33,750",11.40,12.00,"6,750",84.00,"13,500",0.35,0.40,"20,250",0.05,0.40,41.68,126,-30,124,
,180,-3,6,27.96,10.75,-1.20,"6,750",10.65,11.30,"47,250",85.00,"1,35,000",0.40,0.55,"81,000",-,0.45,40.10,323,-71,602,
,21,-,4,39.16,10.20,-0.55,"6,750",9.70,10.20,"6,750",86.00,"13,500",0.50,0.60,"27,000",0.05,0.60,40.54,85,1,202,
,43,-4,44,31.35,9.00,-1.00,"6,750",8.95,9.30,"6,750",87.00,"20,250",0.60,0.70,"20,250",-0.05,0.60,37.44,108,-14,220,
,54,1,15,32.83,8.20,-1.10,"13,500",8.00,8.40,"6,750",88.00,"40,500",0.70,0.80,"60,750",-,0.75,37.10,356,-21,386,
,85,-1,26,32.40,7.35,-0.75,"6,750",7.10,7.60,"54,000",89.00,"67,500",0.85,0.95,"20,250",0.05,0.95,37.09,330,-27,239,
,693,3,141,31.47,6.50,-0.60,"13,500",6.30,6.60,"6,750",90.00,"1,08,000",1.05,1.15,"94,500",-,1.10,35.82,890,-36,"1,247",
,196,-3,75,31.55,5.75,-0.60,"13,500",5.70,5.90,"6,750",91.00,"40,500",1.30,1.35,"27,000",0.15,1.40,36.23,399,20,361,
,531,-12,143,31.64,5.05,-0.55,"13,500",5.00,5.10,"6,750",92.00,"40,500",1.55,1.65,"27,000",0.10,1.65,35.41,715,42,694,
,509,-26,284,31.71,4.40,-0.55,"20,250",4.35,4.45,"6,750",93.00,"27,000",1.90,2.00,"67,500",0.10,1.95,34.73,756,8,531,
,355,12,376,31.75,3.80,-0.50,"13,500",3.75,3.85,"6,750",94.00,"13,500",2.25,2.35,"27,000",0.15,2.35,34.70,"1,099",103,403,
,"2,004",124,"1,754",32.29,3.30,-0.35,"13,500",3.25,3.30,"33,750",95.00,"74,250",2.70,2.80,"20,250",0.15,2.75,34.12,"1,205",-11,"1,448",
,541,44,"1,018",31.67,2.75,-0.40,"47,250",2.70,2.80,"33,750",96.00,"13,500",3.25,3.35,"13,500",0.25,3.30,34.64,964,24,255,
,511,52,"1,417",31.56,2.30,-0.40,"33,750",2.30,2.40,"27,000",97.00,"6,750",3.80,3.90,"6,750",0.30,3.85,34.62,481,35,218,
,821,-72,"1,007",31.98,1.95,-0.35,"40,500",1.90,2.00,"54,000",98.00,"6,750",4.40,4.50,"13,500",0.35,4.50,35.18,265,19,167,
,352,9,807,31.84,1.60,-0.30,"27,000",1.60,1.65,"6,750",99.00,"6,750",5.10,5.20,"6,750",0.40,5.20,35.82,111,17,186,
,"3,523",202,"4,505",31.73,1.30,-0.30,"1,28,250",1.30,1.40,"1,21,500",100.00,"13,500",5.75,5.95,"6,750",0.40,5.85,35.39,200,19,"1,277",
,335,88,602,32.38,1.10,-0.20,"6,750",1.10,1.15,"33,750",101.00,"6,750",6.45,6.80,"6,750",0.70,6.80,38.26,18,11,159,
,361,22,348,32.56,0.90,-0.20,"20,250",0.90,0.95,"67,500",102.00,"13,500",7.20,7.60,"6,750",0.65,7.40,36.22,24,-12,79,
,435,64,451,33.04,0.75,-0.15,"20,250",0.75,0.80,"40,500",103.00,"13,500",8.15,8.50,"13,500",1.20,8.75,44.13,8,2,33,
,165,-19,147,33.07,0.60,-0.15,"27,000",0.60,0.70,"20,250",104.00,"13,500",8.95,9.40,"20,250",0.60,9.10,37.62,3,1,23,
,"1,307",21,"1,157",34.59,0.55,-0.05,"1,08,000",0.50,0.55,"74,250",105.00,"6,750",9.80,10.25,"6,750",0.30,9.80,35.02,4,2,412,
,151,-2,9,34.85,0.45,-0.05,"20,250",0.40,0.45,"13,500",106.00,"6,750",10.65,11.30,"47,250",-,9.75,-,-,-,3,
,106,4,60,34.68,0.35,-0.05,"2,56,500",0.30,0.40,"27,000",107.00,"47,250",11.55,12.30,"20,250",-,15.20,-,-,-,12,
,69,-6,32,35.40,0.30,-0.05,"20,250",0.25,0.35,"27,000",108.00,"6,750",12.50,13.05,"6,750",-4.10,11.80,-,1,-1,8,
,130,2,43,34.16,0.20,-0.05,"40,500",0.20,0.30,"47,250",109.00,"47,250",13.40,14.20,"47,250",-,17.00,-,-,-,3,
,"1,594",-34,597,36.01,0.20,-0.05,"6,750",0.20,0.25,"10,39,500",110.00,"47,250",13.60,14.80,"27,000",0.95,14.40,36.05,1,-,"1,081",
,33,-,-,-,0.20,-,"1,62,000",0.10,0.20,"1,01,250",111.00,-,-,-,-,-,-,-,-,-,-,-
,116,-,2,34.83,0.10,-0.05,"2,02,500",0.10,0.15,"27,000",112.00,"47,250",16.30,17.00,"47,250",-,20.00,-,-,-,7,
,130,-17,17,38.01,0.10,-,"5,67,000",0.10,0.15,"94,500",114.00,"27,000",18.30,18.70,"27,000",-,21.35,-,-,-,42,
,69,-44,62,41.08,0.10,-,"4,65,750",0.05,0.10,"40,500",116.00,"47,250",20.20,20.90,"47,250",-,22.50,-,-,-,6,
,355,-1,55,39.76,0.05,-,"5,94,000",0.05,0.10,"25,38,000",118.00,"47,250",22.15,22.65,"27,000",-,25.20,-,-,-,249,
