CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"6,825",146.90,154.75,"2,925",520.00,975,0.10,1.50,975,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,900",127.80,134.10,"9,750",540.00,"6,825",0.55,1.50,"1,950",-0.10,0.75,47.29,3,-1,47,
,3,-,-,-,101.80,-,"6,825",107.55,115.45,"1,950",560.00,"1,950",0.20,3.40,975,-,0.80,-,-,-,21,
,-,-,-,-,-,-,"3,900",97.85,108.55,"2,925",570.00,"1,950",0.30,5.40,"6,825",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,925",87.55,95.85,"6,825",580.00,975,0.40,3.70,975,-,4.65,-,-,-,2,
,-,-,-,-,-,-,"3,900",78.10,87.45,"6,825",590.00,975,0.25,5.35,"2,925",-,7.60,-,-,-,12,
,-,-,-,-,-,-,"6,825",69.90,76.00,"4,875",600.00,975,2.70,2.95,975,-0.05,2.70,36.33,54,10,242,
,-,-,-,-,-,-,"2,925",59.45,70.25,"3,900",610.00,"29,250",1.70,7.00,975,-,4.55,37.91,3,-,15,
,9,-1,3,35.49,54.95,2.95,"2,925",52.25,58.20,975,620.00,"1,950",4.80,6.50,975,0.90,5.45,35.63,15,6,75,
,-,-,-,-,-,-,"3,900",43.70,50.50,"2,925",630.00,"29,250",5.55,8.10,"19,500",0.50,6.50,33.17,19,16,81,
,-,-,-,-,-,-,"3,900",35.90,44.60,"3,900",640.00,"29,250",7.45,11.05,"19,500",0.75,9.00,32.93,76,23,120,
,107,4,41,29.45,30.00,-6.25,975,31.00,37.40,"8,775",650.00,975,10.40,14.55,975,1.30,11.90,32.27,216,42,170,
,152,16,77,33.12,26.20,-4.40,975,25.05,28.30,"1,950",660.00,975,13.45,16.15,975,1.75,15.70,31.97,99,11,173,
,173,21,173,33.08,21.00,-4.00,975,20.60,22.00,975,670.00,975,18.25,23.80,975,5.35,23.80,37.23,6,3,111,
,324,59,178,33.21,16.65,-3.20,975,16.15,16.95,975,680.00,975,25.05,28.70,975,5.70,29.10,36.93,22,1,69,
,173,14,114,33.33,13.00,-2.65,975,11.45,13.50,"1,950",690.00,"3,900",27.90,35.90,"2,925",-,39.60,-,-,-,26,
,997,320,733,33.90,10.25,-2.30,975,9.20,12.00,"1,950",700.00,"2,925",36.90,43.15,"2,925",2.50,38.55,30.86,4,1,207,
,240,-69,283,34.49,8.05,-1.65,"29,250",6.45,9.00,975,710.00,"2,925",44.35,50.10,"2,925",-,-,-,-,-,-,
,293,5,43,33.42,5.55,-1.80,"10,725",5.35,6.80,975,720.00,"3,900",52.45,58.50,"6,825",15.40,57.40,37.72,5,-,27,
,102,18,45,35.53,4.85,-0.95,975,4.70,5.00,"1,950",730.00,"3,900",61.45,67.35,"2,925",0.70,67.70,42.52,2,2,4,
,112,1,1,37.49,4.25,0.05,975,2.00,3.75,"1,950",740.00,975,69.25,75.70,975,-,96.40,-,-,-,6,
,229,4,46,36.63,2.90,-0.25,"3,900",2.50,3.05,975,750.00,"8,775",78.90,85.10,"3,900",10.90,81.45,32.29,2,1,71,
,51,-,4,37.23,2.25,-0.15,"1,950",1.55,2.90,975,760.00,"3,900",88.10,94.80,"3,900",-,83.00,-,-,-,10,
,32,1,2,37.84,1.75,-0.15,975,1.25,3.95,"29,250",770.00,"1,950",97.80,104.70,"2,925",-,116.60,-,-,-,6,
,88,1,4,38.37,1.35,-0.10,975,1.30,1.75,975,780.00,"6,825",107.85,113.35,"6,825",-,-,-,-,-,-,
,136,-,5,40.95,1.00,-,975,0.65,1.10,"2,925",800.00,"9,750",126.85,133.10,"3,900",-,121.00,-,-,-,30,
,57,-,-,-,1.00,-,"2,925",0.35,0.90,"1,950",840.00,"2,925",167.05,172.00,975,-,180.00,-,-,-,23,
,52,1,1,54.29,0.65,-,"2,925",0.50,0.75,975,880.00,"6,825",206.45,212.10,"6,825",-,220.00,-,-,-,1,
