CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,380.00,"5,700",0.25,0.40,"3,800",-0.30,0.30,60.09,7,-,57,
-,-,-,-,-,-,-,-,-,-,-,390.00,"3,800",0.25,0.65,"1,900",-0.05,0.45,59.11,15,-,29,
-,-,-,-,-,-,-,-,-,-,-,400.00,"1,900",0.40,0.60,"3,800",-0.25,0.45,54.64,38,-1,54,
-,-,-,-,-,-,-,-,-,-,-,410.00,"1,900",0.55,0.75,"1,900",-0.15,0.60,52.62,92,-21,48,
,3,-,-,-,74.50,-,"7,600",96.00,100.15,"5,700",420.00,"7,600",0.60,0.85,"1,900",-0.10,0.75,50.04,173,11,114,
,6,-,-,-,70.65,-,"9,500",85.85,90.25,"5,700",430.00,"5,700",0.65,0.85,"5,700",-0.85,0.60,43.72,253,-3,42,
,7,-,-,-,67.55,-,"7,600",76.15,81.00,"5,700",440.00,"7,600",0.95,1.05,"3,800",-0.95,1.00,43.33,134,33,90,
,8,4,4,-,71.95,13.35,"3,800",67.00,70.75,"1,900",450.00,"5,700",1.30,1.40,"5,700",-1.35,1.40,41.60,374,-6,150,
,21,6,14,-,57.70,-6.45,"3,800",58.35,61.85,"7,600",460.00,"5,700",1.85,1.95,"3,800",-1.95,1.90,39.58,325,-33,113,
,19,2,4,14.08,52.50,9.70,"1,900",49.45,52.55,"3,800",470.00,"5,700",2.70,2.90,"1,900",-2.55,2.75,38.26,625,40,332,
,64,-17,33,-,41.55,-6.65,"3,800",40.95,44.00,"3,800",480.00,"5,700",4.20,4.30,"1,900",-3.25,4.20,37.82,"1,123",-12,222,
,95,1,43,20.52,33.70,-5.25,"1,900",32.15,35.80,"3,800",490.00,"9,500",5.20,6.90,"1,900",-3.75,6.30,37.65,670,5,156,
,293,-101,997,25.38,26.85,-4.50,"1,900",26.00,27.60,"1,900",500.00,"1,900",8.60,9.20,"1,900",-4.45,9.00,37.27,"1,859",160,413,
,186,-56,"1,000",28.56,21.30,-3.95,"1,900",18.00,22.20,"3,800",510.00,"5,700",9.35,13.45,"1,900",-4.40,13.35,38.77,"1,080",20,124,
,433,165,"3,075",29.57,16.10,-4.50,"1,900",15.95,16.20,"3,800",520.00,"1,900",17.50,18.05,"1,900",-4.85,17.80,38.64,"1,367",112,197,
,304,115,"2,734",30.58,12.00,-4.40,"1,900",11.85,12.00,"1,900",530.00,"7,600",22.35,25.05,"1,900",-4.65,24.00,40.39,518,42,89,
,214,62,"1,970",31.37,8.75,-4.40,"1,900",8.65,9.15,"9,500",540.00,"1,900",29.65,32.25,"3,800",-4.30,29.90,39.99,114,5,33,
,497,145,"2,807",32.02,6.25,-3.85,"1,900",6.20,6.40,"3,800",550.00,"9,500",36.50,39.70,"3,800",-3.95,37.35,41.43,54,6,19,
,282,177,"1,520",33.06,4.55,-3.05,"1,900",4.40,4.60,"3,800",560.00,"1,900",44.55,48.40,"1,900",-1.55,45.20,42.59,22,5,8,
,257,143,894,34.05,3.30,-2.45,"3,800",3.20,3.30,"1,900",570.00,"1,900",53.40,57.30,"5,700",-29.30,53.15,42.82,6,4,4,
,360,88,"1,197",34.63,2.30,-2.10,"5,700",2.25,2.35,"1,900",580.00,"1,900",62.35,66.35,"5,700",-0.95,62.10,44.82,8,5,11,
,222,187,"1,104",37.10,1.30,-1.25,"1,900",1.25,1.40,"1,900",600.00,"3,800",80.85,85.10,"3,800",-,82.55,-,-,-,3,
