CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,960.00,625,0.15,6.50,625,-,0.45,-,-,-,10,
-,-,-,-,-,-,-,-,-,-,-,"1,040.00",625,0.45,6.75,"4,375",-0.70,0.30,48.85,1,-,48,
-,-,-,-,-,-,-,-,-,-,-,"1,060.00","1,250",0.35,6.75,"2,500",-,0.70,-,-,-,-,
,-,-,-,-,-,-,"6,250",299.45,312.70,"2,500","1,080.00",625,0.30,3.85,"18,750",-,1.40,-,-,-,7,
,3,-,-,-,156.00,-,"9,375",279.85,290.45,"2,500","1,100.00","3,125",0.95,1.00,"1,250",0.05,0.95,46.99,33,-13,300,
,2,-,-,-,273.35,-,"4,375",260.30,270.15,"2,500","1,120.00","5,000",0.50,2.50,"1,250",-1.00,0.50,40.02,2,-,58,
,24,-,-,-,235.40,-,"4,375",240.75,251.10,"2,500","1,140.00",625,1.15,1.60,625,-0.50,1.50,43.84,29,6,71,
,10,-,-,-,157.05,-,625,220.90,231.45,"2,500","1,160.00",625,1.55,1.60,"4,375",-0.55,1.60,41.04,102,-2,127,
,42,-,-,-,197.35,-,"1,250",201.95,214.10,"2,500","1,180.00",625,2.45,2.65,625,-0.30,2.40,40.76,77,6,145,
,130,-,-,-,191.50,-,"2,500",183.60,192.30,"2,500","1,200.00",625,3.05,3.80,625,-0.20,3.25,39.78,324,19,468,
,75,-,-,-,177.75,-2.05,"2,500",164.95,173.30,"2,500","1,220.00",625,3.80,4.05,625,-0.50,3.90,37.75,253,-7,99,
,79,-,1,37.18,155.00,-5.00,"1,250",147.15,153.65,625,"1,240.00",625,5.00,5.15,625,-0.55,5.10,36.46,215,-27,272,
,317,2,3,-,127.60,-6.80,625,127.95,136.90,625,"1,260.00",625,6.85,8.65,"12,500",-0.85,6.85,35.47,475,6,474,
,226,-2,10,27.27,114.00,-9.00,625,111.25,119.25,"2,500","1,280.00","1,250",9.05,11.70,"12,500",-1.05,9.25,34.63,527,8,272,
,276,-20,63,28.86,98.00,-4.90,"1,250",95.70,102.20,"1,250","1,300.00",625,12.35,13.50,625,-0.95,12.50,33.95,629,1,598,
,193,-7,10,21.14,75.40,-9.60,"1,875",79.95,87.45,625,"1,320.00",625,17.00,20.50,625,-0.90,16.95,33.54,215,14,208,
,164,-32,114,29.42,68.35,-4.00,625,64.55,72.05,625,"1,340.00","2,500",19.25,22.75,"1,875",-1.15,22.40,33.02,397,-12,187,
,338,11,273,30.06,56.25,-2.65,625,54.85,57.00,625,"1,360.00","1,250",27.60,30.90,625,-0.80,29.55,32.85,521,62,370,
,300,58,766,30.50,45.55,-2.00,625,44.80,47.00,625,"1,380.00","1,250",36.85,42.00,625,0.15,38.75,33.18,616,28,231,
,"1,006",135,"2,652",30.22,35.50,-2.15,625,34.60,36.00,625,"1,400.00","1,875",46.55,50.00,625,1.05,49.90,33.88,602,66,265,
,267,49,592,30.72,28.00,-0.75,625,24.50,28.85,625,"1,420.00",625,57.35,64.70,625,1.00,60.20,32.85,120,16,33,
,251,38,601,30.65,21.20,-1.40,625,18.20,23.00,"1,250","1,440.00",625,71.70,78.75,"4,375",1.35,74.65,34.04,83,-10,85,
,273,48,628,30.89,16.05,-0.60,"18,750",13.95,18.15,625,"1,460.00","1,250",85.65,95.25,625,4.70,97.05,41.13,10,1,13,
,242,-13,298,31.45,12.30,-0.75,625,10.35,13.50,625,"1,480.00",625,101.00,110.45,625,-13.60,93.50,22.04,7,4,8,
,583,126,896,32.09,9.45,-,625,9.00,9.70,625,"1,500.00","1,250",118.45,125.65,625,6.00,120.00,33.88,1,-,8,
,488,-41,697,32.38,7.00,0.15,"19,375",5.55,7.05,625,"1,520.00","1,875",135.35,143.75,"1,250",-105.25,141.75,39.64,3,1,8,
,31,20,121,32.52,5.05,0.10,625,4.85,5.00,625,"1,540.00","2,500",153.55,163.20,"3,125",-,-,-,-,-,-,
,73,27,107,32.66,3.60,-,625,3.45,3.65,625,"1,560.00","2,500",172.05,181.95,"3,125",-,-,-,-,-,-,
,11,11,12,33.70,2.00,-15.70,625,1.00,1.85,"1,875","1,600.00","2,500",208.95,218.75,"4,375",-,220.00,-,-,-,1,
