CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,200.00","11,700",0.30,0.40,"1,300",-0.20,0.40,37.67,81,1,601,
,-,-,-,-,-,-,975,228.50,240.40,"1,300","1,240.00","8,125",0.30,0.40,"1,300",-0.20,0.40,32.43,92,-,615,
-,-,-,-,-,-,-,-,-,-,-,"1,260.00","8,125",0.40,0.45,"7,800",-0.60,0.45,30.33,200,5,988,
,4,-,-,-,193.85,-,975,189.40,200.85,"1,300","1,280.00","27,300",0.55,0.65,325,-1.30,0.65,29.23,873,373,883,
,4,-,-,-,147.00,-,975,170.85,181.55,"8,450","1,300.00",650,1.25,1.30,975,-1.55,1.25,29.53,"1,166",-39,541,
,6,-,-,-,109.70,-,"1,300",153.15,161.30,"1,300","1,320.00","1,300",1.95,2.10,650,-2.45,2.00,29.12,525,27,327,
,18,-,-,-,109.70,-0.05,"2,275",133.70,143.45,975,"1,340.00",650,3.00,3.15,975,-3.25,3.15,28.77,391,-83,258,
,18,5,9,-,118.10,24.55,975,114.35,123.30,325,"1,360.00",650,4.30,4.55,650,-4.45,4.50,27.87,474,-81,382,
,47,-4,13,11.85,100.80,23.75,"1,625",98.25,105.25,325,"1,380.00",325,6.35,6.55,325,-6.25,6.40,27.01,468,-10,292,
,422,-3,485,19.52,84.55,23.60,325,84.00,84.75,325,"1,400.00","2,925",9.00,9.15,325,-8.70,9.05,26.18,"1,394",89,791,
,319,1,514,19.91,68.05,20.15,325,65.85,68.40,650,"1,420.00",325,9.60,14.45,325,-11.40,12.45,25.18,"1,209",70,479,
,958,-504,"2,955",20.07,53.10,16.40,325,53.05,53.95,325,"1,440.00",325,17.50,17.75,325,-14.45,17.90,24.92,"2,278",-113,698,
,920,-237,"8,292",20.27,40.20,13.10,650,39.20,40.25,325,"1,460.00",325,24.25,24.60,650,-18.30,24.40,24.26,"3,118",279,960,
,"1,347",595,"8,364",20.09,28.95,9.50,325,28.95,29.15,975,"1,480.00",650,33.00,33.85,325,-22.45,33.05,23.92,"1,140",234,541,
,"4,952","1,939","11,058",19.98,20.00,6.25,"1,950",19.85,20.00,"4,550","1,500.00",325,41.35,44.95,975,-25.00,44.85,24.52,526,82,716,
,619,110,"2,094",20.21,13.60,3.90,325,13.50,13.80,650,"1,520.00",650,54.15,63.40,975,-32.15,58.20,25.02,76,19,56,
,"1,179",466,"1,864",20.71,9.25,2.35,325,9.20,9.45,975,"1,540.00",975,69.25,76.65,650,-31.50,76.00,28.02,1,-,35,
,619,93,"1,022",21.56,6.50,1.60,650,6.50,6.65,650,"1,560.00","1,300",86.90,94.10,"2,275",-30.65,91.00,27.92,20,4,134,
,634,114,538,22.29,4.50,0.95,"1,300",4.40,4.80,325,"1,580.00","2,275",103.35,111.20,650,-11.95,113.15,33.88,1,-,8,
,"1,471",134,"1,240",22.88,3.05,0.55,650,2.95,3.15,325,"1,600.00","2,275",122.60,128.35,650,-14.90,133.00,37.54,13,6,71,
,808,331,"1,151",23.32,2.00,0.45,975,1.90,2.15,650,"1,620.00","1,300",140.45,150.30,"1,625",-,-,-,-,-,-,
,"1,875",261,"3,186",23.04,1.10,0.30,650,1.00,1.10,"2,275","1,640.00","1,300",159.30,171.20,975,-,166.70,-,-,-,3,
,247,35,227,24.20,0.85,0.40,325,0.80,1.00,325,"1,660.00","1,300",178.75,190.45,975,-,185.30,-,-,-,1,
,784,-50,467,25.24,0.65,0.25,"1,625",0.60,0.75,650,"1,680.00","1,300",198.60,210.05,975,-,239.00,-,-,-,5,
