CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,000",129.55,135.80,"4,000",600.00,"1,000",0.50,0.70,"1,000",-,0.35,-,-,-,47,
,-,-,-,-,-,-,"5,000",119.95,127.40,"4,000",610.00,"1,000",0.25,2.75,"1,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,000",110.10,116.10,"7,000",620.00,"1,000",0.70,1.40,"2,000",-,0.75,-,-,-,65,
,-,-,-,-,-,-,"7,000",100.45,107.95,"4,000",630.00,"2,000",0.30,3.20,"5,000",-,-,-,-,-,-,
,3,-,-,-,82.40,-,"3,000",90.40,96.70,"1,000",640.00,"2,000",1.20,1.45,"2,000",0.05,1.30,35.68,62,24,119,
,6,-,-,-,76.50,-,"4,000",82.25,86.80,"1,000",650.00,"30,000",1.40,1.90,"3,000",0.20,1.80,34.85,137,11,333,
,8,-,-,-,81.35,-,"3,000",72.30,77.60,"3,000",660.00,"1,000",2.30,2.45,"1,000",0.25,2.65,34.67,56,36,142,
,4,-,2,-,64.40,-6.75,"3,000",62.50,68.80,"3,000",670.00,"2,000",3.35,3.50,"1,000",0.40,3.45,33.47,90,23,98,
,17,-,4,21.30,55.70,-4.30,"3,000",54.85,60.25,"3,000",680.00,"1,000",4.55,5.45,"1,000",0.35,4.55,32.43,91,-2,216,
,18,-,3,27.22,48.85,-6.50,"3,000",46.40,51.60,"10,000",690.00,"30,000",5.40,7.50,"20,000",0.65,6.35,32.18,116,-3,144,
,99,9,59,27.80,41.25,-6.15,"1,000",41.00,42.00,"1,000",700.00,"1,000",8.50,8.65,"1,000",1.15,8.50,31.64,313,41,563,
,76,-,5,29.19,34.90,-4.95,"1,000",32.05,36.45,"3,000",710.00,"30,000",9.85,13.30,"1,000",1.70,11.50,31.59,107,-1,177,
,238,7,108,27.54,27.45,-4.85,"5,000",26.10,29.50,"2,000",720.00,"28,000",13.25,15.10,"1,000",1.60,14.65,30.76,390,31,467,
,310,8,417,28.28,22.30,-4.05,"1,000",22.05,22.35,"1,000",730.00,"5,000",17.55,19.45,"1,000",2.30,19.15,30.93,407,11,278,
,413,43,515,28.34,17.50,-3.40,"1,000",16.50,17.90,"1,000",740.00,"3,000",22.70,24.45,"1,000",2.90,24.45,31.19,317,24,315,
,729,19,501,28.42,13.50,-3.15,"3,000",13.60,14.00,"2,000",750.00,"4,000",28.90,31.30,"1,000",3.30,30.50,31.52,69,-3,531,
,556,60,383,28.71,10.35,-2.65,"30,000",9.10,11.45,"1,000",760.00,"1,000",35.75,39.40,"2,000",5.20,37.85,32.86,34,8,445,
,434,22,245,29.11,7.90,-2.15,"1,000",7.40,8.20,"1,000",770.00,"5,000",42.70,46.80,"1,000",7.75,47.00,36.32,24,-13,150,
,960,35,491,29.56,6.00,-1.70,"1,000",5.85,6.55,"1,000",780.00,"4,000",50.50,55.40,"3,000",9.05,55.65,38.51,15,-9,178,
,333,10,238,30.07,4.55,-1.40,"1,000",4.55,4.70,"1,000",790.00,"3,000",58.85,63.75,"3,000",-1.25,62.65,37.16,6,1,51,
,"2,090",186,816,31.14,3.65,-0.80,"11,000",3.60,3.70,"1,000",800.00,"12,000",67.60,73.45,"3,000",6.45,70.70,36.89,7,1,291,
,246,7,130,31.60,2.75,-0.65,"1,000",2.60,2.75,"1,000",810.00,"4,000",76.95,82.40,"3,000",-,87.05,-,-,-,25,
,338,10,76,31.80,2.00,-0.55,"1,000",1.95,2.10,"2,000",820.00,"1,000",86.25,91.35,"3,000",-,78.00,-,-,-,36,
,148,24,60,32.73,1.60,-0.35,"1,000",1.45,1.60,"1,000",830.00,"4,000",95.25,100.25,"4,000",-,90.55,-,-,-,9,
,178,1,28,33.18,1.20,-0.35,"1,000",1.00,1.20,"2,000",840.00,"1,000",104.95,110.55,"4,000",-0.90,87.75,-,-,-,34,
,684,-30,865,32.93,0.80,-0.40,"6,000",0.75,0.95,"1,000",850.00,"4,000",114.50,119.00,"3,000",-,130.00,-,-,-,231,
,115,-1,2,35.07,0.80,-0.25,"2,000",0.65,0.95,"6,000",860.00,"1,000",124.55,130.25,"3,000",-,88.50,-,-,-,15,
,110,-,21,35.44,0.60,-,"1,000",0.30,0.55,"1,000",870.00,"4,000",134.00,140.15,"3,000",-,131.00,-,-,-,2,
,135,-2,3,36.39,0.50,-0.15,"2,000",0.40,0.50,"1,000",880.00,"4,000",143.95,150.55,"3,000",-,127.00,-,-,-,5,
,"1,226",-11,62,36.51,0.25,-0.10,"33,000",0.25,0.30,"14,000",900.00,"4,000",163.55,167.40,"4,000",-,154.70,-,-,-,"1,023",
