CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,420.00,"45,000",0.05,0.40,"1,250",-,0.40,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,430.00,"17,500",0.05,2.30,"8,750",-,1.00,-,-,-,4,
-,-,-,-,-,-,-,-,-,-,-,440.00,"6,250",0.10,2.30,"8,750",-,0.35,-,-,-,5,
,-,-,-,-,-,-,"8,750",76.75,81.00,"6,250",450.00,"1,250",0.25,0.35,"2,500",-0.05,0.25,32.52,1,1,211,
,-,-,-,-,-,-,"8,750",67.05,71.50,"5,000",460.00,"2,500",0.25,1.00,"2,500",-,0.40,-,-,-,18,
,-,-,-,-,-,-,"3,750",56.95,61.20,"5,000",470.00,"1,250",0.40,0.55,"1,250",-,0.55,28.54,5,-4,157,
,-,-,-,-,-,-,"5,000",47.60,51.70,"8,750",480.00,"2,500",0.45,0.85,"2,500",0.10,0.80,26.31,64,-1,467,
,-,-,-,-,-,-,"3,750",42.65,46.85,"3,750",485.00,"2,500",0.90,1.05,"2,500",0.05,0.95,25.05,25,-2,23,
,-,-,-,-,-,-,"3,750",38.25,42.10,"3,750",490.00,"3,750",1.30,1.40,"3,750",0.15,1.35,24.87,160,23,322,
,6,2,2,26.86,37.05,-0.55,"1,250",33.90,37.55,"3,750",495.00,"3,750",1.60,1.70,"1,250",0.20,1.70,23.95,310,4,134,
,58,3,15,21.11,31.25,-4.80,"7,500",29.30,32.65,"3,750",500.00,"6,250",2.20,2.30,"8,750",0.30,2.25,23.39,811,17,631,
,9,3,4,24.69,28.25,-9.55,"1,250",26.10,27.90,"2,500",505.00,"1,250",2.95,3.05,"2,500",0.50,3.00,22.95,659,-72,173,
,30,2,13,20.85,23.00,-4.30,"1,250",22.10,23.25,"1,250",510.00,"2,500",3.95,4.05,"2,500",0.65,3.95,22.50,772,32,404,
,44,6,20,20.66,19.25,-5.05,"1,250",18.40,20.50,"2,500",515.00,"1,250",5.15,5.35,"2,500",0.70,5.10,21.96,528,-18,360,
,215,9,245,20.54,15.85,-4.05,"1,250",14.55,17.15,"3,750",520.00,"1,250",6.45,6.85,"1,250",1.20,6.90,22.22,838,-115,467,
,150,51,269,20.62,12.90,-3.50,"1,250",12.55,13.15,"1,250",525.00,"37,500",7.75,9.90,"2,500",1.45,8.80,21.96,224,-19,260,
,501,96,754,20.94,10.45,-3.10,"1,250",10.40,10.55,"1,250",530.00,"1,250",11.10,11.40,"1,250",1.90,11.25,22.11,512,16,503,
,324,23,402,20.91,8.20,-2.85,"1,250",8.20,8.65,"1,250",535.00,"1,250",13.15,14.90,"2,500",2.20,14.10,22.35,242,-17,246,
,"1,017",38,957,21.28,6.50,-2.35,"2,500",6.45,6.70,"1,250",540.00,"1,250",15.90,17.85,"2,500",2.65,17.25,22.53,208,6,537,
,307,77,316,21.40,5.00,-2.05,"1,250",4.95,5.15,"2,500",545.00,"2,500",19.70,21.55,"2,500",3.15,20.85,23.04,79,-5,153,
,"1,521",30,"1,142",21.92,3.95,-1.65,"5,000",3.85,4.00,"25,000",550.00,"1,250",23.80,25.20,"1,250",3.60,24.75,23.66,52,-11,334,
,247,26,171,21.98,2.95,-1.40,"2,500",2.90,3.05,"1,250",555.00,"6,250",27.55,29.60,"2,500",-0.25,25.10,8.26,5,-,55,
,727,45,471,22.47,2.30,-1.10,"2,500",2.30,2.35,"11,250",560.00,"6,250",31.90,34.60,"2,500",-,27.70,-,-,-,49,
,158,-15,158,22.80,1.75,-0.90,"6,250",1.70,1.80,"5,000",565.00,"5,000",36.00,39.20,"5,000",-,32.05,-,-,-,108,
,560,-29,350,23.46,1.40,-0.60,"11,250",1.30,1.40,"5,000",570.00,"5,000",40.40,44.15,"3,750",-,30.55,-,-,-,18,
,197,-29,124,23.45,1.00,-0.55,"2,500",1.00,1.10,"5,000",575.00,"6,250",45.15,47.65,"2,500",-1.20,39.00,-,4,3,39,
,689,119,410,24.41,0.85,-0.40,"8,750",0.80,0.90,"18,750",580.00,"5,000",49.80,52.20,"1,250",-,43.65,-,-,-,19,
,162,-1,24,25.51,0.75,-0.25,"1,250",0.60,0.75,"2,500",585.00,"3,750",54.35,58.45,"3,750",-,-,-,-,-,-,
,435,-5,88,26.04,0.60,-0.25,"2,500",0.50,0.65,"8,750",590.00,"5,000",59.25,63.10,"6,250",2.40,50.10,-,-,-,6,
,"1,097",109,381,26.65,0.35,-0.25,"45,000",0.35,0.40,"10,000",600.00,"5,000",69.30,72.95,"3,750",12.65,69.40,-,1,1,82,
,725,-9,49,28.07,0.25,-0.10,"30,000",0.20,0.25,"6,250",610.00,"6,250",78.50,83.10,"8,750",-,75.70,-,-,-,9,
,4,-,-,-,0.20,-,"6,250",0.10,0.20,"1,250",620.00,"3,750",88.55,91.20,"1,250",-,85.70,-,-,-,1,
