CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,2,2,-,467.60,-376.85,600,475.35,486.70,"1,200","1,900.00",300,1.10,4.00,300,-0.30,1.80,47.00,20,4,151,
-,-,-,-,-,-,-,-,-,-,-,"1,950.00","6,000",0.70,12.00,900,-,10.75,-,-,-,2,
,1,-,-,-,338.25,-,300,372.90,390.10,900,"2,000.00",900,3.80,4.20,300,-1.70,4.00,43.54,257,124,305,
-,-,-,-,-,-,-,-,-,-,-,"2,050.00",300,4.00,18.35,"2,100",-,30.30,-,-,-,1,
,13,-,3,-,279.15,26.50,900,284.05,295.10,"1,200","2,100.00",300,9.50,12.50,300,-2.60,9.80,41.40,165,-6,246,
,30,1,1,-,238.75,5.35,"1,200",236.90,251.00,"1,200","2,150.00","9,000",12.50,17.65,300,-3.05,15.20,40.64,137,-15,140,
,101,-,1,29.11,200.15,16.05,300,197.50,204.00,300,"2,200.00",300,22.70,24.15,300,-5.20,23.55,40.33,227,35,310,
,38,-7,15,33.34,165.00,5.80,"1,200",157.20,172.90,900,"2,250.00","9,000",28.60,38.90,300,-6.15,35.05,40.04,152,22,263,
,326,-34,253,34.49,131.40,13.65,300,127.30,132.00,300,"2,300.00",600,50.10,59.70,300,-7.80,50.50,39.88,264,9,502,
,267,13,848,34.61,100.90,11.35,600,99.00,102.95,300,"2,350.00",300,63.80,80.05,600,-9.05,70.50,39.90,259,-10,235,
,"1,299",-43,"3,038",35.19,76.45,9.30,"1,800",76.00,77.20,300,"2,400.00",300,93.05,104.05,300,-10.20,95.60,40.25,237,3,358,
,233,18,435,35.36,55.95,7.25,300,55.70,58.80,300,"2,450.00",600,119.30,129.05,300,-13.10,126.55,41.32,56,15,29,
,692,10,992,35.74,40.35,6.60,300,40.40,40.95,300,"2,500.00","1,200",153.00,167.95,300,-21.65,159.95,41.78,42,1,177,
,121,22,201,35.90,28.15,4.65,300,27.45,28.50,300,"2,550.00",300,191.20,206.50,900,-23.10,199.90,43.89,2,1,14,
,346,13,404,36.34,19.60,3.55,300,16.00,21.35,300,"2,600.00",300,236.00,238.00,300,-15.60,237.95,43.66,10,-2,174,
,50,17,104,36.82,13.50,3.10,300,11.30,15.20,300,"2,650.00","1,200",275.75,286.50,600,-3.45,293.35,52.57,3,1,11,
,394,78,310,37.41,9.30,1.85,300,9.00,10.00,300,"2,700.00","1,200",321.15,337.05,600,-9.25,320.20,42.04,3,3,9,
,462,4,303,38.06,4.05,0.75,300,4.05,4.25,600,"2,800.00","1,200",415.65,430.15,600,-,478.00,-,-,-,6,
,114,-140,211,39.70,2.00,0.30,"9,000",1.50,2.80,300,"2,900.00","2,100",512.25,530.85,"1,200",-,566.90,-,-,-,26,
,42,8,12,42.02,1.15,0.05,600,0.55,2.40,300,"3,000.00","1,200",612.25,630.70,"3,000",-31.85,630.00,76.75,1,1,6,
