CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,250.00,"10,675",0.35,1.00,"1,525",-1.55,0.45,56.87,8,7,8,
,-,-,-,-,-,-,"10,675",56.35,59.45,"4,575",260.00,"1,525",0.40,1.70,"3,050",-,0.95,-,-,-,40,
,-,-,-,-,-,-,"10,675",47.05,49.55,"4,575",270.00,"15,250",1.10,1.50,"4,575",0.25,1.40,53.60,134,29,106,
,8,2,2,-,41.40,-4.95,"3,050",38.10,40.40,"6,100",280.00,"3,050",2.30,2.40,"3,050",0.25,2.35,52.11,165,14,155,
,8,-1,5,-,37.05,-6.00,"3,050",33.85,36.15,"6,100",285.00,"1,525",3.05,3.50,"1,525",0.30,2.95,51.07,56,2,98,
,28,-1,4,36.76,34.25,-6.40,"3,050",29.70,32.00,"1,525",290.00,"1,525",3.85,3.95,"1,525",0.55,3.95,51.43,171,5,234,
,14,8,13,-,27.40,-5.00,"3,050",25.80,28.20,"1,525",295.00,"1,525",4.95,6.30,"30,500",0.65,4.90,50.58,51,-6,71,
,27,-3,32,32.03,25.00,-3.80,"1,525",22.30,24.50,"1,525",300.00,"1,525",6.25,6.75,"15,250",0.90,6.30,50.84,302,27,276,
,23,7,49,29.94,20.60,-4.65,"4,575",18.65,20.70,"1,525",305.00,"45,750",6.60,9.15,"4,575",1.30,7.95,51.12,95,-11,37,
,69,16,73,30.08,16.95,-4.95,"1,525",15.45,17.60,"1,525",310.00,"6,100",8.60,10.05,"1,525",2.20,10.05,52.09,200,-1,228,
,36,-17,209,31.64,14.10,-4.10,"3,050",13.10,14.90,"1,525",315.00,"4,575",10.70,13.30,"15,250",2.05,12.10,51.96,140,-2,53,
,209,72,464,33.31,11.75,-3.75,"1,525",11.15,11.80,"1,525",320.00,"4,575",13.40,14.80,"1,525",2.40,14.65,52.67,505,10,274,
,240,56,266,34.44,9.65,-2.95,"1,525",9.55,10.10,"1,525",325.00,"1,525",17.10,18.10,"1,525",2.85,17.60,53.85,90,-15,117,
,452,15,471,35.86,8.00,-2.70,"1,525",7.60,8.25,"1,525",330.00,"3,050",19.90,22.30,"4,575",3.25,20.55,54.26,160,-38,95,
,115,-19,108,35.16,6.05,-2.85,"1,525",6.10,6.90,"1,525",335.00,"3,050",22.95,25.15,"1,525",3.35,23.70,54.60,49,1,19,
,317,-39,296,37.71,5.30,-2.20,"45,750",4.15,6.15,"1,525",340.00,"1,525",27.05,29.15,"1,525",4.10,28.10,58.50,67,29,77,
,137,-15,98,38.59,4.30,-1.75,"1,525",4.10,4.40,"1,525",345.00,"3,050",31.15,33.00,"1,525",2.80,29.50,51.28,16,-3,18,
,409,-24,520,39.95,3.60,-1.40,"3,050",3.50,3.60,"1,525",350.00,"6,100",35.05,37.35,"3,050",5.15,36.35,63.03,31,7,34,
,31,-5,36,39.90,2.75,-1.35,"1,525",2.70,3.00,"1,525",355.00,"4,575",39.35,41.55,"1,525",1.15,36.35,-,-,-,16,
,138,3,117,41.15,2.30,-1.00,"1,525",2.35,2.50,"3,050",360.00,"4,575",43.75,46.40,"6,100",1.75,41.70,53.91,21,10,30,
,23,17,29,44.89,2.35,-0.40,"45,750",1.25,3.45,"6,100",365.00,"4,575",47.90,52.10,"22,875",-,43.60,-,-,-,5,
,146,11,245,42.60,1.50,-0.85,"1,525",1.50,1.80,"4,575",370.00,"4,575",53.00,55.50,"1,525",-,46.35,-,-,-,12,
,239,24,182,45.12,1.10,-0.50,"3,050",1.05,1.20,"3,050",380.00,"6,100",62.30,65.05,"10,675",-,55.70,-,-,-,4,
,-,-,-,-,1.40,-,"1,525",0.25,0.90,"1,525",390.00,"4,575",71.50,74.60,"10,675",-,-,-,-,-,-,
,51,-1,2,44.04,0.30,-0.25,"6,100",0.35,0.75,"1,525",400.00,"7,625",81.60,84.25,"10,675",-,72.75,-,-,-,4,
,3,1,1,53.16,0.55,-,"1,525",0.20,1.00,"1,525",410.00,"6,100",91.55,94.65,"7,625",-,90.00,-,-,-,2,
