CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,580.00,"15,675",0.15,0.35,825,-,0.45,-,-,-,76,
,-,-,-,-,-,-,"4,125",163.55,169.60,"4,125",600.00,"13,200",0.25,0.40,"1,650",-,0.35,46.83,42,-26,423,
-,-,-,-,-,-,-,-,-,-,-,610.00,"1,650",0.40,0.50,825,-0.10,0.45,45.68,11,-,154,
,-,-,-,-,-,-,"2,475",143.50,149.95,"4,125",620.00,"1,650",0.50,0.60,825,-0.20,0.50,43.56,12,-2,113,
,1,-,-,-,134.00,-,"2,475",133.50,140.00,"4,125",630.00,"1,650",0.35,0.80,825,-0.20,0.80,43.94,6,-1,50,
,-,-,-,-,-,-,"2,475",123.90,130.60,"4,125",640.00,"2,475",0.85,0.95,825,-0.25,0.90,41.85,203,43,169,
,1,-,-,-,65.00,-,"2,475",114.80,121.65,"4,125",650.00,825,1.20,2.10,825,-0.30,1.25,41.33,237,-10,468,
,47,-1,1,73.02,122.20,22.90,825,107.45,110.80,"2,475",660.00,"5,775",1.50,1.65,"1,650",-0.30,1.55,39.95,173,-16,152,
,60,-,-,-,78.55,-,"5,775",95.85,101.20,"1,650",670.00,"2,475",1.95,2.10,"2,475",-0.40,2.05,39.13,183,13,144,
,70,-1,4,-,88.35,4.35,825,88.60,91.60,825,680.00,"4,125",2.55,2.80,"1,650",-0.45,2.60,37.97,438,-38,419,
,109,-,-,-,82.85,-,"2,475",77.10,83.30,"3,300",690.00,825,3.40,3.90,825,-0.55,3.45,37.29,517,38,205,
,342,-33,75,25.19,70.60,-0.30,825,71.10,73.00,"1,650",700.00,"3,300",4.40,4.50,825,-0.50,4.45,36.39,"1,168",-15,"1,231",
,182,-2,9,28.27,62.40,-,825,62.55,64.30,825,710.00,825,5.60,5.80,825,-0.50,5.75,35.58,557,9,391,
,492,-21,73,28.95,54.20,0.50,825,53.80,57.95,825,720.00,825,7.15,8.20,825,-0.55,7.55,35.12,853,33,875,
,330,-15,74,29.64,46.65,0.25,"1,650",46.25,50.55,"8,250",730.00,825,9.25,11.50,825,-0.55,9.60,34.35,676,-43,523,
,339,-,191,29.67,39.40,0.45,825,39.40,40.70,825,740.00,"1,650",12.05,14.00,825,-0.75,12.25,33.81,"1,220",-63,823,
,918,-45,"1,253",29.99,33.00,0.70,825,33.00,33.95,"1,650",750.00,"1,650",15.40,15.60,"1,650",-0.90,15.50,33.37,"1,884",77,"1,124",
,853,-19,"1,982",30.19,27.25,0.75,"1,650",27.20,27.45,825,760.00,825,19.05,19.60,"1,650",-1.30,19.35,32.93,"1,948",173,805,
,"1,685",-156,"6,014",30.64,22.40,0.95,"2,475",22.00,22.30,825,770.00,825,24.00,24.60,825,-0.90,24.60,33.53,"2,500",164,689,
,"1,446",523,"5,613",30.33,17.70,0.70,825,17.65,17.75,825,780.00,"1,650",29.05,29.90,"1,650",-1.40,29.50,32.77,"2,238",187,404,
,639,264,"2,895",30.38,13.95,0.70,"1,650",13.50,14.00,"27,225",790.00,825,34.50,36.50,"1,650",-0.70,36.05,33.43,484,121,242,
,"2,779",669,"6,973",30.70,11.00,0.70,"2,475",10.80,10.95,825,800.00,825,42.05,43.90,825,-0.80,43.00,33.86,503,19,386,
,415,38,"1,278",30.77,8.45,0.60,825,8.20,8.75,"1,650",810.00,"1,650",48.40,51.75,"2,475",-6.80,44.45,23.81,29,3,32,
,"1,035",85,"1,944",30.55,6.25,0.30,"1,650",6.30,6.40,825,820.00,"2,475",56.85,59.15,"1,650",4.80,59.60,36.94,63,26,398,
,329,-17,"1,179",30.95,4.80,0.30,"8,250",4.75,4.90,"2,475",830.00,825,65.25,67.70,"2,475",4.80,69.95,41.37,9,-5,82,
,468,-7,"1,130",31.17,3.60,0.20,"2,475",3.55,3.70,"2,475",840.00,"5,775",73.80,76.05,"1,650",-,76.35,38.15,24,6,71,
,"1,019",66,"2,189",31.16,2.60,0.10,"1,650",2.60,2.70,"4,950",850.00,825,82.80,85.70,"2,475",-4.15,77.95,-,5,1,82,
,191,47,407,31.91,2.05,0.15,825,2.00,2.10,"3,300",860.00,"3,300",91.85,95.05,"1,650",-24.65,87.35,-,2,-1,30,
,201,103,605,32.33,1.55,0.10,"1,650",1.50,1.60,"4,125",870.00,"3,300",100.85,106.50,"2,475",-0.25,116.00,-,-,-,121,
,248,9,153,33.17,1.25,0.15,825,1.10,1.30,"1,650",880.00,"4,125",110.45,116.20,"2,475",-,125.00,-,-,-,28,
,176,21,124,33.27,0.90,0.10,825,0.75,0.90,"1,650",890.00,"4,125",119.95,126.65,"2,475",-,145.00,-,-,-,1,
,701,144,633,34.25,0.75,0.20,"2,475",0.70,0.80,"9,900",900.00,825,130.50,134.10,825,-,129.50,-,-,-,257,
,140,-7,94,33.96,0.50,0.05,"49,500",0.25,0.60,"1,650",910.00,"4,125",139.65,146.45,"3,300",-,148.00,-,-,-,7,
,93,-72,85,35.81,0.50,0.10,"30,525",0.50,0.60,"2,475",920.00,"4,125",149.65,153.90,825,-,161.00,-,-,-,40,
,75,-1,1,38.17,0.40,0.10,"3,300",0.30,0.75,"1,650",940.00,"4,125",170.05,173.85,825,4.85,174.85,63.55,2,2,66,
