CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"2,950.00",750,1.00,18.45,"1,050",-1.45,1.05,43.37,4,-4,9,
-,-,-,-,-,-,-,-,-,-,-,"3,000.00",150,2.70,3.80,150,-0.20,3.00,47.13,41,-3,158,
,2,-,-,-,980.70,-,600,658.55,684.75,600,"3,100.00",300,4.10,5.40,150,0.45,4.60,44.32,66,23,45,
-,-,-,-,-,-,-,-,-,-,-,"3,150.00",300,4.60,8.00,150,-,2.70,-,-,-,10,
,-,-,-,-,-,-,600,561.90,586.90,750,"3,200.00",150,6.00,7.70,150,0.70,6.25,40.50,413,-47,221,
-,-,-,-,-,-,-,-,-,-,-,"3,250.00",750,3.10,9.25,150,2.10,9.00,40.31,2,-2,13,
,1,-,-,-,275.00,-,600,464.90,490.30,750,"3,300.00",150,9.00,11.45,150,1.70,9.85,37.76,685,-33,273,
,5,-,-,-,584.65,-,600,417.95,450.60,750,"3,350.00","4,500",9.55,20.90,"3,000",4.40,13.40,37.13,128,1,47,
,11,-,-,-,620.80,-21.25,300,370.85,395.40,300,"3,400.00",150,13.15,17.95,150,4.20,15.25,34.80,658,-116,259,
,7,4,8,27.62,329.60,-62.30,600,328.60,355.70,450,"3,450.00",150,16.25,24.90,"3,000",6.35,19.90,33.77,152,8,92,
,69,2,22,27.84,286.00,-107.45,150,282.40,304.90,300,"3,500.00",150,25.25,28.00,"3,000",8.65,25.30,32.48,"1,352",100,687,
,47,-,19,28.48,245.95,-146.00,600,241.35,263.65,450,"3,550.00","4,500",27.65,35.00,150,12.25,33.40,31.68,690,40,133,
,94,-15,58,29.72,211.00,-95.90,150,207.50,221.70,300,"3,600.00",300,42.00,46.50,150,16.65,43.90,30.97,"1,476",-134,412,
,43,-9,51,29.95,177.00,-82.05,150,165.25,183.50,150,"3,650.00",150,55.25,57.00,150,21.50,57.10,30.28,348,9,128,
,230,26,121,29.42,144.00,-77.75,150,138.05,152.55,600,"3,700.00",450,68.00,76.00,300,29.00,74.15,29.82,"1,644",-57,404,
,144,96,455,29.85,117.90,-131.65,450,114.00,117.95,150,"3,750.00",150,84.95,102.95,150,35.35,96.00,29.75,786,25,135,
,588,172,"1,115",29.16,91.50,-68.05,150,87.00,93.40,150,"3,800.00",300,115.50,122.95,150,42.85,120.55,29.39,"2,582",-97,455,
,299,57,466,29.37,72.00,-56.55,150,68.95,73.45,150,"3,850.00","2,700",138.70,168.15,450,54.40,152.75,30.18,725,-90,149,
,724,64,"2,389",29.93,57.05,-48.10,150,57.00,58.00,150,"3,900.00",450,174.10,204.65,450,64.85,187.70,30.85,507,-91,384,
,254,-55,606,30.71,45.60,-39.70,300,40.00,45.55,150,"3,950.00",450,208.40,238.90,600,75.35,224.50,31.23,201,-55,134,
,"1,575",347,"2,477",31.43,36.25,-32.65,150,34.00,37.00,600,"4,000.00",150,254.15,270.00,300,83.20,268.70,33.38,197,-44,291,
,371,-32,949,31.77,27.90,-26.90,"1,200",24.00,33.85,450,"4,050.00",150,293.85,320.70,150,92.40,314.00,35.48,33,-10,113,
,767,91,"1,132",32.93,23.05,-20.75,150,23.00,24.45,150,"4,100.00",600,339.05,364.30,450,102.20,360.55,37.73,25,-10,178,
,378,31,275,33.85,18.75,-16.65,150,16.00,18.85,150,"4,150.00",600,383.55,410.00,150,156.80,407.20,39.72,5,-2,13,
,"1,322",-112,"2,100",34.83,15.45,-12.90,300,14.05,16.95,150,"4,200.00",450,432.00,457.75,450,137.60,454.60,41.80,4,-,17,
,272,47,397,34.89,11.50,-11.00,150,11.00,17.85,"3,000","4,250.00",750,477.05,508.50,150,116.10,413.15,-,1,1,3,
,475,29,732,36.20,9.95,-7.80,150,9.70,11.25,300,"4,300.00",450,524.60,549.00,150,117.45,498.00,-,2,1,21,
,105,-12,90,37.32,8.50,-6.10,150,8.20,12.15,300,"4,350.00",750,572.80,604.50,"1,050",-,373.10,-,-,-,1,
,629,91,814,37.83,6.75,-5.10,600,6.05,7.40,150,"4,400.00","1,200",621.10,653.10,"1,050",-,417.10,-,-,-,1,
,109,4,180,39.26,6.10,-3.80,150,5.65,6.70,150,"4,450.00",750,670.70,698.70,600,-,531.40,-,-,-,2,
,"1,807",226,"1,556",39.70,4.85,-3.65,450,4.80,5.05,300,"4,500.00",750,718.75,747.80,300,-,557.60,-,-,-,6,
,519,-1,435,40.87,4.30,-2.95,150,4.30,4.70,150,"4,550.00",750,768.10,800.00,450,-,-,-,-,-,-,
