CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,000.00","6,875",0.30,0.85,"5,000",-,0.35,-,-,-,15,
,-,-,-,-,-,-,"4,375",211.55,221.90,"2,500","1,020.00",625,0.20,0.50,"1,875",-0.05,0.45,37.55,2,-1,11,
,-,-,-,-,-,-,"1,875",191.00,204.40,"1,875","1,040.00","6,875",0.30,0.45,625,-,0.30,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"1,050.00","1,875",0.35,0.45,"3,750",-0.25,0.35,31.67,25,-2,570,
,-,-,-,-,-,-,"1,875",171.65,181.00,"2,500","1,060.00","5,000",0.35,0.90,"5,625",-0.50,0.45,31.19,2,-2,23,
-,-,-,-,-,-,-,-,-,-,-,"1,070.00","5,625",0.20,0.65,625,-0.50,0.45,29.61,13,-1,575,
,-,-,-,-,-,-,"1,875",150.10,163.35,"1,875","1,080.00","3,750",0.50,0.80,625,-0.55,0.45,28.04,26,-4,321,
,-,-,-,-,-,-,"1,875",142.95,151.95,"2,500","1,090.00",625,0.85,1.00,625,-1.45,0.85,29.23,12,-5,41,
,7,-,-,-,125.00,-,"16,875",135.05,142.40,"16,875","1,100.00","1,875",1.20,1.30,"2,500",-0.40,1.30,29.70,199,-46,362,
,-,-,-,-,-,-,"1,875",122.95,132.20,"2,500","1,110.00",625,0.40,1.60,625,-0.85,1.45,28.51,52,5,45,
,1,-,-,-,67.50,-,"1,875",114.15,122.80,"2,500","1,120.00","1,250",1.85,2.00,625,-1.00,1.95,28.38,169,-37,89,
,26,-,-,-,81.40,-,"4,375",104.70,113.30,"2,500","1,130.00","1,250",2.35,2.55,"1,250",-1.15,2.65,28.40,64,-6,114,
