CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,270.00,"3,600",0.20,0.35,"5,400",-0.10,0.25,65.56,2,2,5,
,15,-,-,-,75.50,0.65,"1,800",78.45,81.75,"7,200",300.00,"1,800",0.40,0.50,"5,400",0.05,0.55,54.01,31,-6,299,
,-,-,-,-,-,-,"12,600",68.35,71.85,"12,600",310.00,"3,600",0.40,0.55,"5,400",0.10,0.60,48.47,3,-,181,
,1,-,-,-,64.00,-,"5,400",58.75,62.30,"7,200",320.00,"5,400",0.80,0.85,"1,800",0.15,0.85,45.22,18,5,320,
,3,-,-,-,66.00,-,"5,400",53.95,57.75,"5,400",325.00,"3,600",0.80,1.00,"1,800",0.20,1.05,43.93,16,13,105,
,5,-,-,-,42.25,-,"5,400",49.15,52.45,"5,400",330.00,"3,600",1.05,1.25,"1,800",0.35,1.40,43.45,20,-8,180,
,10,-,-,-,53.00,-,"5,400",44.55,47.80,"1,800",335.00,"3,600",1.30,1.50,"3,600",0.30,1.55,41.01,7,4,83,
,56,-,2,32.20,41.75,-5.00,"1,800",41.10,42.65,"1,800",340.00,"3,600",1.75,1.85,"9,000",0.10,1.75,38.70,191,12,275,
,32,-4,4,-,35.50,-3.20,"1,800",36.55,38.20,"5,400",345.00,"5,400",2.20,2.30,"1,800",0.35,2.35,38.34,168,30,383,
,227,5,32,30.17,32.50,-5.50,"1,800",32.40,33.00,"1,800",350.00,"7,200",2.80,2.90,"3,600",0.40,2.85,36.80,390,-2,385,
,79,-,-,-,34.15,-,"1,800",28.25,29.75,"1,800",355.00,"1,800",3.55,3.65,"3,600",0.55,3.60,35.82,135,15,101,
,353,100,220,31.38,24.60,-4.65,"1,800",24.30,25.45,"1,800",360.00,"1,800",4.55,4.65,"1,800",0.75,4.60,35.11,436,35,363,
,103,12,18,31.72,21.05,-4.95,"1,800",20.65,21.95,"1,800",365.00,"1,800",5.70,6.25,"1,800",1.00,5.95,34.81,188,22,188,
,288,17,124,31.06,17.50,-4.45,"1,800",17.40,18.30,"1,800",370.00,"3,600",6.70,7.50,"1,800",1.35,7.55,34.44,332,35,366,
,168,4,200,31.53,14.65,-3.70,"1,800",14.45,15.10,"1,800",375.00,"45,000",8.40,9.80,"1,800",1.80,9.40,33.95,283,4,147,
,471,28,"1,034",31.43,11.95,-3.40,"10,800",11.60,12.00,"21,600",380.00,"3,600",11.55,11.70,"1,800",2.15,11.70,33.86,"2,352",202,599,
,313,41,533,31.47,9.65,-3.00,"1,800",9.50,9.90,"1,800",385.00,"5,400",13.40,14.85,"1,800",2.45,14.40,33.99,184,-9,188,
,637,31,628,31.71,7.75,-2.55,"3,600",7.50,7.80,"1,800",390.00,"1,800",16.55,18.05,"1,800",3.25,17.75,35.09,266,-5,107,
,154,-8,240,32.07,6.20,-2.15,"1,800",6.10,6.35,"1,800",395.00,"18,000",19.75,22.15,"1,800",3.15,20.65,34.07,54,9,27,
,"1,154",150,"1,116",32.04,4.80,-1.85,"5,400",4.75,4.85,"3,600",400.00,"1,800",23.70,24.85,"1,800",4.30,24.85,36.19,35,-,263,
,104,15,173,31.41,3.50,-1.75,"3,600",3.60,3.75,"1,800",405.00,"1,800",27.45,29.00,"3,600",6.15,29.75,40.12,16,10,47,
,337,-6,436,32.39,2.85,-1.20,"1,800",2.60,2.95,"7,200",410.00,"3,600",30.75,33.15,"5,400",2.05,30.40,27.24,1,-,22,
,92,6,220,32.75,2.20,-1.00,"1,800",2.15,2.25,"1,800",415.00,"1,800",35.95,37.55,"1,800",6.60,38.70,44.28,6,1,16,
,490,-28,444,33.44,1.75,-0.75,"9,000",1.65,1.75,"5,400",420.00,"3,600",40.20,42.85,"7,200",-,36.25,-,-,-,45,
,81,-12,195,33.18,1.25,-0.75,"3,600",1.30,1.40,"5,400",425.00,"1,800",44.90,46.75,"1,800",5.05,45.70,38.12,4,3,21,
,215,7,208,33.94,1.00,-0.55,"5,400",0.95,1.10,"7,200",430.00,"7,200",49.10,52.55,"5,400",0.20,45.90,-,-,-,28,
,211,-14,139,34.90,0.60,-0.40,"19,800",0.60,0.65,"19,800",440.00,"12,600",58.15,61.50,"1,800",-,50.00,-,-,-,45,
,355,-20,53,37.22,0.45,-0.25,"19,800",0.40,0.45,"7,200",450.00,"7,200",68.45,71.30,"7,200",-,65.00,-,-,-,81,
,144,-2,8,37.54,0.25,-0.20,"1,800",0.25,0.35,"37,800",460.00,"7,200",78.30,81.75,"12,600",-,74.00,-,-,-,47,
,8,-,-,-,0.40,-,"1,800",0.20,0.40,"1,800",470.00,"5,400",88.20,91.35,"5,400",-,102.00,-,-,-,3,
,53,-3,11,43.20,0.20,-0.10,"14,400",0.20,0.25,"19,800",480.00,"7,200",98.10,101.20,"7,200",-,112.00,-,-,-,34,
,58,-,1,46.46,0.20,-,"54,000",0.10,0.25,"7,200",490.00,"5,400",108.15,111.35,"7,200",-,125.00,-,-,-,35,
,492,-49,67,47.84,0.15,-0.10,"2,12,400",0.15,0.20,"39,600",500.00,"1,800",118.00,120.30,"7,200",7.00,120.00,71.68,25,-15,212,
-,-,-,-,-,-,-,-,-,-,-,520.00,"7,200",137.65,141.10,"5,400",-0.35,134.65,-,3,-3,169,
