CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"15,000",33.05,34.75,"20,000",150.00,"85,000",0.05,0.40,"30,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"20,000",28.10,29.55,"20,000",155.00,"2,80,000",0.15,0.20,"10,000",-,0.20,39.64,7,-3,188,
,-,-,-,-,-,-,"50,000",25.65,27.65,"20,000",157.50,"60,000",0.10,0.80,"20,000",-,0.30,-,-,-,-,
,-,-,-,-,-,-,"10,000",23.35,24.70,"10,000",160.00,"5,000",0.30,0.40,"1,70,000",-,0.35,37.43,75,21,361,
,18,-,-,-,19.85,-,"20,000",20.95,22.30,"25,000",162.50,"15,000",0.35,0.45,"5,000",-,0.45,36.12,24,-13,57,
,15,-1,8,-,19.00,-1.30,"5,000",18.70,19.60,"10,000",165.00,"15,000",0.55,0.60,"30,000",-,0.60,35.12,76,-2,332,
,40,1,23,-,17.00,-0.80,"30,000",16.35,17.55,"20,000",167.50,"15,000",0.70,0.80,"25,000",-0.10,0.70,32.91,55,4,112,
,34,-1,19,16.00,14.80,-0.80,"5,000",14.50,15.05,"10,000",170.00,"45,000",0.95,1.05,"25,000",-0.05,1.00,32.59,188,-15,471,
,39,-2,19,21.33,12.65,-0.80,"15,000",12.15,13.30,"20,000",172.50,"5,000",1.30,1.40,"5,000",-0.05,1.40,32.30,77,-17,66,
,78,-15,50,22.25,10.55,-0.85,"5,000",10.55,10.90,"10,000",175.00,"20,000",1.80,1.90,"15,000",0.05,1.90,31.88,103,-14,331,
,54,-2,40,24.17,8.80,-0.65,"5,000",8.35,9.15,"10,000",177.50,"20,000",2.40,2.50,"15,000",-,2.45,30.91,211,19,204,
,311,7,243,25.51,7.25,-0.50,"10,000",7.15,7.30,"5,000",180.00,"15,000",3.25,3.35,"15,000",0.10,3.30,30.95,560,16,"1,068",
,233,9,228,25.38,5.70,-0.55,"10,000",5.70,5.80,"5,000",182.50,"5,000",4.20,4.30,"15,000",0.15,4.30,30.84,238,-1,258,
,946,29,"1,187",26.00,4.50,-0.40,"20,000",4.45,4.55,"15,000",185.00,"5,000",5.25,5.60,"5,000",0.20,5.50,30.84,489,-13,570,
,249,9,290,25.96,3.40,-0.35,"10,000",3.35,3.45,"5,000",187.50,"50,000",6.40,7.55,"10,000",0.15,6.80,30.38,107,-5,167,
,932,66,"1,006",26.50,2.60,-0.30,"20,000",2.55,2.60,"10,000",190.00,"5,000",8.40,9.10,"10,000",0.30,8.60,31.84,116,7,517,
,193,24,271,26.91,1.95,-0.20,"15,000",1.85,1.95,"5,000",192.50,"20,000",9.90,10.95,"10,000",0.35,10.45,32.78,30,3,65,
,605,-14,451,26.57,1.35,-0.25,"45,000",1.35,1.40,"10,000",195.00,"20,000",11.85,13.00,"15,000",0.50,12.35,33.24,26,-11,126,
,145,16,64,26.70,0.95,-0.20,"15,000",1.00,1.10,"15,000",197.50,"20,000",13.95,15.20,"20,000",0.45,14.55,35.13,12,-,12,
,"1,170",2,446,28.42,0.80,-0.10,"60,000",0.75,0.80,"80,000",200.00,"5,000",16.50,17.10,"5,000",0.60,16.80,36.96,14,-,422,
,158,2,37,28.41,0.55,-0.05,"15,000",0.50,0.65,"5,000",202.50,"20,000",18.50,19.70,"10,000",1.25,19.15,39.26,7,2,15,
,328,4,86,29.70,0.45,-0.05,"2,15,000",0.40,0.45,"1,05,000",205.00,"5,000",21.10,21.85,"10,000",0.45,21.45,40.83,4,-1,67,
,133,3,4,29.59,0.30,-0.05,"15,000",0.30,0.35,"5,000",207.50,"20,000",23.25,24.45,"20,000",-0.05,22.65,25.35,1,1,10,
,587,20,46,30.85,0.25,-,"8,45,000",0.20,0.25,"1,55,000",210.00,"35,000",25.60,26.45,"5,000",-,25.20,-,-,-,122,
,162,-,12,31.80,0.20,-,"80,000",0.15,0.25,"15,000",212.50,"15,000",28.00,29.55,"65,000",-,28.30,-,-,-,2,
,181,-2,23,32.34,0.15,-,"1,00,000",0.15,0.20,"3,50,000",215.00,"20,000",30.55,31.90,"5,000",-,27.15,-,-,-,6,
,290,1,7,34.20,0.10,-0.05,"1,20,000",0.10,0.15,"4,95,000",220.00,"20,000",35.45,36.30,"5,000",-,37.65,-,-,-,47,
,1,-,-,-,0.10,-,"5,000",0.05,0.65,"30,000",222.50,-,-,-,-,-,-,-,-,-,-,-
,44,-,-,-,0.10,-,"2,65,000",0.05,0.10,"10,000",225.00,"15,000",40.40,41.75,"20,000",-,42.00,-,-,-,2,
,91,13,21,41.45,0.10,-,"3,10,000",0.05,0.15,"70,000",230.00,"20,000",45.40,46.80,"20,000",-,49.40,-,-,-,7,
,4,1,2,44.88,0.10,-,"5,000",0.05,0.10,"55,000",235.00,-,-,-,-,-,-,-,-,-,-,-
