CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,275",336.40,352.95,"1,300","1,160.00","2,600",0.30,7.10,"1,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,625",295.25,308.60,"1,300","1,200.00",325,0.65,1.95,650,-,2.00,-,-,-,13,
,4,-,-,-,204.20,-,975,257.40,269.50,975,"1,240.00","9,750",1.85,3.10,"67,925",-1.60,2.30,45.63,95,49,167,
,-,-,-,-,-,-,"2,275",236.10,254.30,975,"1,260.00","3,900",0.75,8.25,"16,250",-,-,-,-,-,-,
,4,-,-,-,146.85,-,975,220.20,232.10,975,"1,280.00",325,3.90,5.25,325,-6.75,4.05,44.21,49,5,63,
,31,-2,7,53.83,215.00,5.00,"1,300",202.55,210.00,650,"1,300.00",650,5.00,7.85,325,-0.60,6.20,45.23,73,-13,154,
,4,-,-,-,116.35,-,"3,250",182.55,195.80,"1,300","1,320.00","9,750",6.30,10.15,"6,500",-1.95,6.95,42.89,29,-1,136,
,6,-,-,-,159.55,-,"1,625",166.25,177.55,325,"1,340.00",325,8.65,12.25,325,-0.70,10.30,44.06,83,-23,82,
,12,2,3,39.41,153.60,51.55,"1,300",148.20,158.35,650,"1,360.00",325,10.55,15.80,"6,500",-0.95,12.40,42.66,150,18,97,
,22,-,-,-,108.40,-,"1,300",130.75,144.35,975,"1,380.00","9,750",13.40,19.15,325,-1.10,15.90,42.29,140,10,144,
,83,-,15,38.01,120.10,-5.85,"1,625",115.90,127.00,"1,625","1,400.00","9,750",16.25,22.95,325,-1.20,19.75,41.56,234,16,313,
,99,-3,8,42.16,110.05,5.35,325,100.55,111.40,975,"1,420.00","9,750",21.15,25.05,325,-1.30,24.65,41.09,265,12,201,
,147,-6,33,37.72,91.05,-,"2,275",86.05,96.55,650,"1,440.00",325,26.65,31.55,325,-1.70,30.10,40.37,217,-5,176,
,178,-4,272,39.01,80.00,2.05,325,75.30,83.85,975,"1,460.00","9,750",32.15,39.70,650,-1.00,37.45,40.37,334,21,265,
,112,-12,397,37.85,66.85,-0.15,"2,275",61.35,72.00,325,"1,480.00","9,750",40.15,49.45,650,-1.30,45.55,40.13,433,79,218,
,690,-195,"1,998",37.21,55.50,-2.60,325,55.00,56.50,650,"1,500.00",325,53.15,56.00,325,-1.40,54.55,39.77,637,26,243,
,228,51,"1,019",37.75,47.00,-1.00,325,42.60,50.95,650,"1,520.00",325,64.70,68.65,325,-41.95,64.00,38.95,76,20,29,
,248,12,626,37.49,38.50,0.65,325,34.05,43.75,650,"1,540.00",975,70.25,80.40,325,-13.00,74.70,38.23,46,14,37,
,162,26,319,37.63,31.65,0.75,975,27.50,36.85,650,"1,560.00","1,300",83.25,94.20,325,-15.95,88.35,38.85,14,-3,6,
,113,27,136,37.25,25.15,-0.30,325,21.50,30.35,325,"1,580.00",325,97.10,106.95,325,1.65,103.80,40.17,12,7,18,
,228,30,466,37.64,20.55,-0.45,650,20.35,21.95,325,"1,600.00","1,950",111.95,122.70,"2,275",-14.15,111.65,34.39,10,6,44,
,45,-2,91,37.17,15.80,-1.40,325,15.70,19.70,"6,500","1,620.00",975,127.10,138.50,975,-,147.25,-,-,-,2,
,82,-19,69,38.99,14.10,0.80,"9,750",10.45,13.80,325,"1,640.00","1,300",143.30,155.00,"2,275",-30.80,145.40,35.48,4,3,4,
,67,-11,40,37.46,9.80,-0.70,"9,750",7.85,11.95,325,"1,660.00",650,161.40,173.35,"2,925",-,182.45,-,-,-,25,
,81,-7,26,39.18,8.80,0.10,"9,750",6.15,8.90,325,"1,680.00",975,178.35,189.80,"2,275",-,-,-,-,-,-,
,71,3,72,38.06,6.10,-1.00,"9,750",4.85,6.80,325,"1,700.00","1,300",197.05,208.15,"1,300",-3.80,199.25,-,-,-,22,
,79,10,21,40.18,5.80,2.90,"9,750",3.30,6.70,"6,500","1,720.00","1,300",215.00,227.95,975,-,-,-,-,-,-,
,172,1,11,39.44,4.10,0.15,"6,500",1.20,10.25,"16,250","1,740.00",325,234.70,246.80,"1,300",-,280.00,-,-,-,46,
,76,-,2,39.81,3.25,-0.05,325,2.75,9.55,975,"1,760.00",-,-,-,-,-,-,-,-,-,-,-
,185,-2,36,39.96,2.50,-0.10,"9,750",1.75,3.20,"6,500","1,780.00",-,-,-,-,-,-,-,-,-,-,-
,80,5,11,42.07,2.50,0.50,325,1.85,5.00,325,"1,800.00",-,-,-,-,-,-,-,-,-,-,-
,45,-,-,-,1.70,0.75,325,0.60,3.50,"16,250","1,840.00","1,300",330.95,343.85,325,1.90,375.00,-,-,-,42,
